Model,Variant,AUC,PR_AUC,Brier,Brier_gap,FNR_gap,FPR_gap
Logistic,Structured,0.6923,0.276,0.2312,0.0816,0.3851,0.1296
Logistic,Structured+Text,0.6974,0.2822,0.2278,0.0834,0.4104,0.1249
RandomForest,Structured,0.6874,0.2735,0.189,0.0475,0.1521,0.026
RandomForest,Structured+Text,0.6898,0.2744,0.1977,0.0413,0.092,0.0139
XGBoost,Structured,0.6884,0.2761,0.2122,0.0704,0.3578,0.1042
XGBoost,Structured+Text,0.692,0.2802,0.2162,0.0679,0.3022,0.0904
