Model,Variant,AUC,PR_AUC,Brier,Brier_gap,FNR_gap,FPR_gap
Logistic,Structured,0.6923,0.276,0.2312,0.0816,0.432,0.2098
Logistic,Structured+Text,0.6974,0.2822,0.2278,0.0834,0.4915,0.2176
RandomForest,Structured,0.6874,0.2735,0.189,0.0475,0.3404,0.0774
RandomForest,Structured+Text,0.6898,0.2744,0.1977,0.0413,0.2848,0.0901
XGBoost,Structured,0.6884,0.2761,0.2122,0.0704,0.4714,0.1626
XGBoost,Structured+Text,0.692,0.2802,0.2162,0.0679,0.4633,0.1764
