,,AUC,AUC,PR_AUC,PR_AUC,Brier,Brier,GINI,GINI
,,mean,std,mean,std,mean,std,mean,std
Model,Variant,,,,,,,,
Logistic,Structured,0.6884,0.0154,0.2755,0.0313,0.2328,0.014,0.3769,0.0308
Logistic,Structured+FinBERT,0.688,0.0165,0.2728,0.033,0.2351,0.0163,0.376,0.0329
RandomForest,Structured,0.6839,0.0207,0.2711,0.0354,0.2014,0.0137,0.3678,0.0415
RandomForest,Structured+FinBERT,0.6838,0.0205,0.2703,0.0382,0.2076,0.0132,0.3676,0.0409
XGBoost,Structured,0.6876,0.0181,0.276,0.0323,0.224,0.0143,0.3752,0.0363
XGBoost,Structured+FinBERT,0.6866,0.0176,0.273,0.0385,0.2239,0.0165,0.3733,0.0351
