fold,n_components,explained_variance_ratio
1,50,0.881
2,50,0.8816
3,50,0.8837
4,50,0.884
5,50,0.882
6,50,0.8823
7,50,0.882
8,50,0.8825
9,50,0.8795
10,50,0.88
11,50,0.8831
12,50,0.8902
13,50,0.8966
14,50,0.9018
