zip3,total_pop,white_nh,black_nh,hispanic,poverty_count,total_households,median_income_approx,year,share_black,share_hispanic,poverty_rate
006,1211700.0,13101.0,674.0,1194668.0,626196.0,382112.0,16056.64704327527,2012,0.0005562432945448543,0.9859437154411158,0.5167912849715276
007,1366061.0,5916.0,897.0,1358110.0,634895.0,433989.0,19140.37026975338,2012,0.0006566324637040366,0.9941796156979813,0.4647632865589458
009,1136872.0,10275.0,2063.0,1121055.0,396500.0,400923.0,27129.111432868656,2012,0.0018146282079249028,0.9860872640015762,0.34876397694727285
010,470242.0,396267.0,10098.0,43650.0,51535.0,181622.0,59144.092318111245,2012,0.021474049531943127,0.09282454565946896,0.10959250768753111
011,169081.0,69716.0,29847.0,61138.0,42762.0,61398.0,43040.38305808007,2012,0.17652486086550234,0.3615900071563334,0.2529083693614303
012,130447.0,118006.0,3438.0,4524.0,15453.0,55430.0,48875.524860184014,2012,0.02635553136522879,0.03468075156960298,0.11846190406831894
013,83344.0,76868.0,489.0,3006.0,9859.0,34874.0,53327.97981304123,2012,0.005867248992129008,0.03606738337492801,0.1182928585141102
014,212623.0,179398.0,5813.0,18371.0,20773.0,79325.0,69033.45459817207,2012,0.027339469389482795,0.08640175333806785,0.09769874378594978
015,373327.0,327970.0,5311.0,17615.0,21625.0,138052.0,80126.51828296584,2012,0.014226134193347922,0.047183836154363334,0.05792508980063055
016,189019.0,118299.0,18911.0,36934.0,34600.0,72499.0,48253.15794700616,2012,0.10004814330834466,0.19539834619800125,0.18305038117861167
017,380720.0,312319.0,9650.0,22520.0,20633.0,144133.0,96400.70162974476,2012,0.025346711494011347,0.05915108216011767,0.05419468375709183
018,714744.0,529321.0,16731.0,103619.0,68178.0,262552.0,77538.35821856241,2012,0.023408381182633223,0.14497358494789742,0.09538799905980323
019,478051.0,394029.0,15752.0,46673.0,43704.0,187135.0,72549.27047853154,2012,0.03295045926062282,0.09763184262766943,0.09142120819745174
020,401255.0,361552.0,10392.0,9575.0,16915.0,148401.0,96178.83586363973,2012,0.02589874269479508,0.023862630995252397,0.04215523794096024
021,1290378.0,748885.0,191789.0,181374.0,198207.0,519618.0,61655.35821314889,2012,0.14863009133757704,0.14055881299898168,0.1536038277155996
022,25624.0,18388.0,862.0,1728.0,4827.0,9083.0,40434.245623692615,2012,0.033640337183890104,0.06743677802060569,0.1883780830471433
023,441700.0,346230.0,54739.0,18259.0,34857.0,157222.0,73838.63641625851,2012,0.12392800543355219,0.04133801222549242,0.07891555354312882
024,408494.0,315756.0,10988.0,23479.0,26538.0,157003.0,104735.00989790005,2012,0.026898803899200477,0.057476976406018204,0.06496545848898637
025,116149.0,104544.0,2710.0,2641.0,10148.0,47206.0,65482.04501546414,2012,0.023332099286261614,0.0227380347656889,0.08737053267785344
026,148466.0,136530.0,3320.0,3481.0,14183.0,67003.0,58972.93209738331,2012,0.022362022281195694,0.023446445650856088,0.0955302897633128
027,526927.0,452321.0,16501.0,31819.0,63489.0,203138.0,57876.579217083956,2012,0.03131553327121214,0.060385973768662456,0.1204891759200041
