zip3,total_pop,white_nh,black_nh,hispanic,poverty_count,total_households,median_income_approx,year,share_black,share_hispanic,poverty_rate
006,1201024.0,12061.0,548.0,1184489.0,614519.0,386779.0,16372.512574364171,2013,0.00045627731002877543,0.9862325815304274,0.511662547959075
007,1356592.0,5617.0,817.0,1348809.0,633771.0,440989.0,19168.51707412203,2013,0.0006022444478516754,0.9942628292073077,0.4671787833040443
009,1123118.0,10084.0,1867.0,1107803.0,395185.0,402574.0,27008.810096488265,2013,0.001662336459748664,0.9863638549110602,0.3518641852414439
010,471373.0,394742.0,10389.0,45398.0,54906.0,181557.0,58541.50117072795,2013,0.022039870760522984,0.096310140801446,0.11648100336676051
011,169263.0,68167.0,29641.0,62791.0,44120.0,61614.0,43024.60551173435,2013,0.17511801161506058,0.37096707490709724,0.26065944713256883
012,130218.0,117417.0,3404.0,4707.0,15952.0,55156.0,49435.60140329248,2013,0.026140779308544134,0.03614707644104502,0.12250226543181435
013,83271.0,76647.0,513.0,3197.0,10320.0,35032.0,53718.0730189541,2013,0.006160608134884894,0.038392717752879155,0.1239327016608423
014,213663.0,179322.0,5884.0,19200.0,22780.0,80490.0,67771.64965834265,2013,0.027538694111755427,0.0898611364625602,0.1066164941988084
015,375575.0,330192.0,5260.0,17643.0,24222.0,138542.0,79524.09567495777,2013,0.014005192038873727,0.046975970179058774,0.06449311056380216
016,189580.0,115812.0,20402.0,37956.0,36962.0,71473.0,49054.93803254376,2013,0.10761683721911594,0.20021099272075113,0.19496782361008544
017,384812.0,312575.0,9595.0,24009.0,22330.0,145173.0,97060.2485035096,2013,0.024934253609554795,0.06239150546240762,0.058028335914680415
018,721714.0,527884.0,17494.0,107757.0,70625.0,263354.0,77813.04665962924,2013,0.024239518701313818,0.14930706623399298,0.09785732298389667
019,481414.0,394824.0,16412.0,49092.0,45936.0,187931.0,71888.76935151732,2013,0.034091239556805576,0.10197459982468313,0.09541891178902151
020,404250.0,360299.0,10923.0,11215.0,17519.0,148179.0,97318.47474733836,2013,0.027020408163265307,0.02774273345701917,0.043337043908472477
021,1305345.0,750463.0,193923.0,189491.0,203114.0,519541.0,62534.14303779683,2013,0.14856072532548867,0.14516545434348774,0.15560177577575277
022,26107.0,18241.0,860.0,2038.0,4755.0,8919.0,44316.1270321785,2013,0.0329413567242502,0.07806335465583943,0.18213505956256942
023,443739.0,344700.0,56222.0,18507.0,36237.0,157131.0,73900.50817898288,2013,0.12670060553613724,0.0417069493553643,0.08166286938943838
024,412342.0,317478.0,10630.0,23214.0,24865.0,158110.0,107478.8326059456,2013,0.025779571326714233,0.056297927448574245,0.06030188532819844
025,116425.0,104667.0,2952.0,3087.0,10465.0,47404.0,66073.87112901865,2013,0.025355378999355808,0.026514923770667814,0.08988619282800085
026,147983.0,136184.0,3430.0,3378.0,14220.0,67054.0,59103.172807069925,2013,0.02317833805234385,0.022826946338430767,0.0960921186893089
027,527979.0,450899.0,15992.0,33183.0,66023.0,203487.0,56966.258969860486,2013,0.030289083467334874,0.06284909058883023,0.1250485341273043
028,671340.0,567271.0,22929.0,48972.0,70482.0,268619.0,63550.773786559614,2013,0.03415407989990169,0.07294664402538208,0.10498704084368576
029,380355.0,229245.0,32336.0,86345.0,66762.0,141439.0,48782.899738386484,2013,0.08501531464027028,0.2270116075771319,0.17552549591828687
030,379138.0,341646.0,3399.0,16477.0,22674.0,142738.0,79692.59654051479,2013,0.008965073403351814,0.04345910987555982,0.059804081891026484
031,148843.0,125396.0,5584.0,9681.0,16517.0,58302.0,65215.357620664814,2013,0.03751604039155352,0.06504168822181762,0.11096927635159194
032,187128.0,178779.0,943.0,2581.0,17246.0,74060.0,61082.42647058824,2013,0.005039331366764995,0.013792698046257107,0.09216151511265017
033,61224.0,56690.0,1101.0,1079.0,5313.0,24017.0,60620.708414872795,2013,0.01798314386515092,0.017623807657127923,0.0867796942375539
034,83745.0,79742.0,548.0,1114.0,8518.0,33333.0,57613.80658806588,2013,0.006543674249208908,0.013302286703683802,0.10171353513642606
035,45742.0,43675.0,231.0,689.0,5464.0,20288.0,44676.16418572555,2013,0.005050063399064318,0.015062743211927769,0.11945258187223995
036,13838.0,13166.0,89.0,204.0,1123.0,5845.0,51808.042771599656,2013,0.006431565255094667,0.014742014742014743,0.08115334585922822
