zip3,count
945,2718
112,2559
750,2340
100,2258
606,2247
900,2127
070,1995
331,1917
300,1855
917,1758
770,1667
891,1604
921,1593
330,1542
104,1521
926,1514
117,1442
113,1388
913,1386
021,1327
852,1305
925,1282
941,1276
334,1181
980,1173
928,1159
080,1150
951,1140
956,1138
920,1120
902,1097
601,1067
201,1061
923,1034
604,1023
481,1006
600,1000
802,986
853,983
301,983
940,982
760,975
088,974
773,966
850,949
207,908
958,900
774,865
275,862
114,856
333,849
212,837
840,835
554,834
967,826
303,823
953,819
800,816
787,811
752,806
950,804
553,803
480,799
327,788
890,782
605,778
328,775
981,768
191,752
972,750
190,744
064,739
786,737
200,731
782,722
060,709
775,689
282,680
907,677
906,675
430,664
930,662
210,660
441,657
922,657
970,650
028,649
335,646
483,638
801,637
322,630
302,623
982,622
919,621
337,617
208,616
115,603
761,597
018,593
432,582
105,581
336,572
076,572
751,564
152,559
452,552
799,550
551,546
857,543
103,540
983,537
631,535
935,525
296,513
342,508
077,506
283,501
211,500
908,499
294,490
871,490
109,484
347,483
221,478
339,477
325,470
440,468
550,468
280,463
946,463
142,463
217,461
220,456
329,452
809,447
346,446
641,444
640,443
957,440
074,437
986,435
234,435
180,433
762,429
111,424
194,422
805,419
223,419
232,415
338,415
027,411
968,410
276,408
973,408
305,406
450,403
660,402
532,399
068,399
785,398
073,397
402,397
010,394
954,392
442,392
630,392
740,388
765,387
662,386
410,382
140,380
320,377
959,377
023,376
019,376
700,376
531,374
731,374
130,373
932,373
841,372
705,371
125,371
730,367
927,367
933,366
078,360
949,355
030,353
633,352
934,349
431,347
349,346
462,345
272,339
281,338
985,337
370,335
310,332
974,332
067,330
206,326
488,325
087,324
015,324
984,323
146,323
020,322
952,317
936,317
463,317
120,316
352,313
995,312
530,311
286,310
490,309
065,309
150,305
285,303
170,302
231,301
321,299
222,297
029,296
939,296
209,295
937,294
727,294
701,294
482,292
017,290
894,290
851,290
295,290
193,287
856,286
535,284
085,282
895,279
024,279
910,275
107,274
914,274
916,273
290,271
151,270
071,270
350,269
971,268
704,268
720,263
287,262
238,261
323,258
306,257
240,256
063,256
236,256
273,253
326,252
145,241
992,240
284,240
460,240
189,239
144,239
707,234
461,234
672,234
622,233
741,232
278,232
061,231
038,228
082,228
344,228
446,226
371,226
708,225
780,224
453,224
197,223
245,219
494,218
066,218
110,217
121,217
754,217
086,215
225,215
119,214
549,212
351,212
274,212
454,211
905,211
173,208
083,206
381,205
254,205
912,205
484,203
229,202
224,202
128,201
781,201
721,201
199,201
993,200
297,199
405,199
307,195
495,195
931,193
451,191
703,191
292,189
360,189
230,188
944,186
341,186
380,185
794,181
141,180
079,180
293,179
