zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop
006,0.0005686710075754,0.9859683696087708,0.5191195326388076,16136.529748329844,1204781.25
007,0.000643000312411675,0.9941077480141959,0.4712920564117469,19020.452511310366,1359614.0
009,0.0017553522874305,0.9862244538780132,0.35566292655689113,-1488.8580431445291,1128721.5
010,0.0214176052084995,0.09541710676745338,0.1214759700863065,-19418.350321293336,470743.25
011,0.17720012687194614,0.36362427664700436,0.2651313467334359,43158.116803999364,169200.5
012,0.02641222836411775,0.03544438058445315,0.12414651832362716,49642.06262263122,130279.75
013,0.007012908595147825,0.03673553015653143,0.1221052805096734,53541.76718041024,83246.75
014,0.0277290954463594,0.091362282297822,0.10650024311438257,68385.59164095816,213111.0
015,0.0146547529292534,0.0469809890907592,0.06213967329138875,79787.64318201195,374582.5
016,0.10223266666802378,0.19584577350164906,0.2000004571881929,48333.86718552503,189176.25
017,0.0243605503326767,0.06096450939819102,0.056825693795055046,97151.50165731373,382861.0
018,0.02364051307916245,0.14752811281211675,0.09754146480910107,77924.08744499563,718343.0
019,0.03353150746028617,0.09909620923538637,0.09487439815920815,72220.392681909,479909.25
020,0.026663590078792477,0.0258069753698036,0.04356671242714405,-35441.97519982654,402757.0
021,0.14852079030095175,0.1427029512267314,0.1616058089716294,62184.16409932785,1298328.0
022,0.03262772030503085,0.07602722695608549,0.3362216456641811,43157.38009737044,25838.0
023,0.12493102797734049,0.041560138310742054,0.08138443371148893,25349.479549730095,442896.75
024,0.026902062620587273,0.0578484269278833,0.06725546188394962,94758.60786117481,410494.0
025,0.026136454051634575,0.0224844709158642,0.08990596149900677,27478.770710978526,116494.5
026,0.022146908037302324,0.02402442092352585,0.09635962204042492,-505863.7002020222,148143.5
027,0.030997886608613,0.0616091526085625,0.12464606910507074,45416.33857384237,527383.5
028,0.033792983034325805,0.07093205834033782,0.10699427297110273,-46992.89636258185,672227.25
029,0.08440088764370697,0.22565783485121316,0.18491363915345696,9834.435055527743,380617.0
030,0.009145469569720125,0.04315022106509185,0.0559658572920679,80207.59921120119,378723.0
031,0.03578731553224133,0.06392404228081577,0.11401169965622465,65713.51623653594,148686.5
032,0.004617121183782375,0.013810482675339176,0.09330960370492006,-22308.62563507195,187444.75
033,0.0171287086568219,0.0169977407670422,0.09439081037035245,61430.54019125376,61346.75
034,0.0062993484037497,0.013240523217812475,0.10336646731748078,57950.27946269704,83763.5
035,0.005363823626525475,0.0142827860856635,0.12394888295130976,44279.08188581416,45939.0
036,0.0053369608730134,0.015803112771410926,0.07861978390563143,53315.061993330935,13719.25
037,0.008172788347305799,0.01892019700458795,0.09997951550908935,-550027.4862970987,77818.0
038,0.0064200433115464,0.01649513603725895,0.08581846847767388,28093.73832868572,321036.25
039,0.005967262031282225,0.015662107899741026,0.06095230454268377,67099.99876727547,48741.25
040,0.008616536670138826,0.0123338844703664,0.09800015011967048,24226.703845248325,337993.75
041,0.04517256435010673,0.027059878136399377,0.14753141603117967,55644.516669302844,113005.5
042,0.01100817617111315,0.0143803062370404,0.14545520312791385,-211501.27638678788,176388.0
043,0.00345036249047435,0.0129961189821609,0.11781494605666282,-88012.96255617613,82258.5
044,0.006351197326527775,0.010919154089914174,0.1651092905361615,44027.64457715581,176345.5
045,0.0065581075711188,0.009437567651891025,0.12561403045970435,50124.12211384818,48350.0
046,0.0040099033534326,0.013779556701265525,0.1562117241960524,-304609.1249502775,73672.25
047,0.0058159904110506,0.010125318672785974,0.16401303288988806,37623.64549337026,71985.25
048,0.00495692254645475,0.009020766014797576,0.10650183531184156,49852.955306283315,40043.5
049,0.006208005543290175,0.010488924774652976,0.16956004136331818,-1326686.6674201516,159684.5
050,0.004671891279733425,0.00836416346017575,0.10782296708672527,56691.35915078054,61172.0
051,0.00470288753586245,0.023667286755966827,0.1263834991229996,46842.28207196919,29507.25
052,0.005097353575044575,0.01549257926898975,0.13829682446637376,49054.47003681433,33308.5
053,0.009325951396651775,0.016451445451422526,0.10703524393592223,52142.50860106899,37209.0
054,0.014070403272773174,0.017359578658685076,0.10665197874155423,-101541.62711363492,234849.75
056,0.007633182016604324,0.017203547867569252,0.10496300318872628,-99889.38881447745,85254.75
057,0.0057485059853523,0.0135915865121898,0.12937094458746767,1297.517425865546,82109.5
058,0.006336391002163175,0.012161654175382576,0.15002521734527377,-329209.86925738724,58588.25
059,0.00774905682789245,0.005844429161935575,0.15883551928635814,-272257.26609030116,3680.5
060,0.07529487814740463,0.0968084854713756,0.07827575499179958,74730.92449521302,672810.5
061,0.20824862843670874,0.2637405082951597,0.1889438249717768,55326.78736524774,296663.25
062,0.020128255585896024,0.08257367027074347,0.10426026761514487,-5408.834547431572,166331.25
063,0.05169206079740585,0.08746304412562765,0.08946519707770205,-214520.18919510627,268503.25
064,0.03201300696126873,0.07702389936553625,0.061340338326905997,47898.370307926365,718295.0
065,0.22817880053208692,0.17749204833882604,0.16796293036675852,53869.560156488675,289894.5
066,0.23582324020691955,0.27105549624505476,0.1564292825554252,60079.44756182462,240254.5
067,0.0706187248289319,0.14422061436695732,0.11716201323062725,64283.36118251219,332340.75
068,0.04200355163746783,0.11913840547703562,0.05778533808381677,113205.16437878419,468313.75
069,0.14034415601810418,0.2597338258294189,0.10715814270998392,82882.14419884697,123386.5
070,0.13549996447185056,0.27354833771058046,0.10696985357113009,75829.78933426955,1693708.5
071,0.4725578356429354,0.29679025169418394,0.23594897980019294,42059.75773682354,395623.25
072,0.25617045543114497,0.49021207716788034,0.1640545191786305,47937.04647348001,181351.0
073,0.23975909991241076,0.2763156162448247,0.17859555469998634,63514.73656797439,250016.0
074,0.015234878934982399,0.0865938780321835,0.0399961467644274,102621.53714358961,462114.75
075,0.22509739113012206,0.48278345445763726,0.22435032917436268,47368.327697513516,198170.75
076,0.0779752232874243,0.17558216388678285,0.07060084363523098,86398.18733531403,494277.25
077,0.071478962556431,0.10165650448385188,0.07034479663833147,86650.03158205532,601133.5
078,0.028112807805754002,0.12321270445325597,0.04950148086947345,-141334.81057876773,361191.75
079,0.031000417070200327,0.08531240974549202,0.0456493099888987,37695.18095464451,257041.75
080,0.12576416800012952,0.0628955446888757,0.07266079107410994,66583.83816186228,1160963.5
081,0.28752059632220645,0.3196010064050955,0.2365001156100323,47036.87644480957,158791.0
082,0.09419442641042422,0.12165706792000033,0.10363355168754168,511.83802701801324,251688.75
083,0.1581512794301408,0.2131705432509663,0.13888843983611446,57405.11077195886,242923.0
084,0.26326750574385815,0.2036502085085306,0.2578721057305136,39471.704025837906,57951.75
085,0.054624398437346275,0.07783172632363942,0.04230453813696852,-13484.321403363592,311650.5
086,0.2576558110827625,0.17407936707906901,0.1330629904758359,66240.8114788678,268065.0
087,0.0287088102977828,0.08480180301313067,0.11356351566489548,61554.42836681423,454431.0
088,0.07762704905554821,0.14021358924614016,0.06119498002377392,80023.84557338736,901437.25
089,0.1411644642532157,0.3428032347723935,0.18876317010217974,62912.997245319886,110890.0
100,0.13383699013403638,0.26096542682021595,0.18131463583570223,75101.56511972348,1517381.0
101,0.035881502822374824,0.10341674959494135,0.0733286132994327,99563.71818663747,61647.75
102,0.009698999379129125,0.13122334947488654,0.04190153997252255,170867.9338963499,13876.75
103,0.09576636181188712,0.1727149323574672,0.1163919954721266,72849.49635160409,469038.25
104,0.2989228817063325,0.5394366532984147,0.29523821293626673,36520.27372562448,1392572.25
105,0.10585122198169915,0.1624224717066453,0.0693364990192522,102863.5756931304,647819.0
106,0.15243671784200946,0.2836240343286648,0.0857400985045007,87102.68650493148,81967.5
107,0.14200616342014727,0.3106043525361662,0.13925083439264874,65723.1225846629,228221.5
108,0.17496986850817062,0.24869828214225603,0.10652798830432254,83925.40450696858,86408.0
109,0.09839846958861803,0.1600011465694923,0.12732161274612197,-188462.71083771402,539268.75
110,0.10803646219477844,0.13009698448209367,0.05156376040160378,100087.88219572397,249663.25
111,0.0542927072085244,0.28055663998135705,0.1627862393293231,54062.591222987816,200304.25
