fold,train_cutoff,test_end,Model,Variant,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
9,2012-08,2012-09,Logistic,Structured,0.7,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.5,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.6,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.7,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.5,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.6,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.7,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.5,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.6,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.7,,,,1
10,2012-11,2012-12,Logistic,Structured,0.5,,,,1
10,2012-11,2012-12,Logistic,Structured,0.6,,,,1
10,2012-11,2012-12,Logistic,Structured,0.7,,,,1
10,2012-11,2012-12,Logistic,Structured+Text,0.5,,,,1
10,2012-11,2012-12,Logistic,Structured+Text,0.6,,,,1
10,2012-11,2012-12,Logistic,Structured+Text,0.7,,,,1
10,2012-11,2012-12,XGBoost,Structured,0.5,,,,1
10,2012-11,2012-12,XGBoost,Structured,0.6,,,,1
10,2012-11,2012-12,XGBoost,Structured,0.7,,,,1
10,2012-11,2012-12,XGBoost,Structured+Text,0.5,,,,1
10,2012-11,2012-12,XGBoost,Structured+Text,0.6,,,,1
10,2012-11,2012-12,XGBoost,Structured+Text,0.7,,,,1
11,2013-02,2013-03,Logistic,Structured,0.5,0.1455,0.1214,0.045,5
11,2013-02,2013-03,Logistic,Structured,0.6,0.2972,0.0861,0.045,5
11,2013-02,2013-03,Logistic,Structured,0.7,0.2304,0.0993,0.045,5
11,2013-02,2013-03,Logistic,Structured+Text,0.5,0.25,0.1347,0.044,5
11,2013-02,2013-03,Logistic,Structured+Text,0.6,0.2446,0.0812,0.044,5
11,2013-02,2013-03,Logistic,Structured+Text,0.7,0.2304,0.0861,0.044,5
11,2013-02,2013-03,XGBoost,Structured,0.5,0.1579,0.1486,0.0485,5
11,2013-02,2013-03,XGBoost,Structured,0.6,0.2325,0.0947,0.0485,5
11,2013-02,2013-03,XGBoost,Structured,0.7,0.2446,0.0764,0.0485,5
