Model,Variant,AUC,PR_AUC,Brier,Brier_gap,FNR_gap,FPR_gap
Logistic,Structured,0.884,0.5522,0.147,0.0856,0.332,0.1329
Logistic,Structured+Text,0.8832,0.5507,0.1479,0.0872,0.308,0.1365
XGBoost,Structured,0.8926,0.5778,0.1362,0.0926,0.2697,0.1742
XGBoost,Structured+Text,0.8923,0.58,0.1382,0.0908,0.2592,0.1687
