Model,Variant,AUC,PR_AUC,Brier,Brier_gap,FNR_gap,FPR_gap
Logistic,Structured,0.6941,0.2854,0.2299,0.0788,0.511,0.2011
Logistic,Structured+Text,0.6983,0.2897,0.2267,0.0835,0.4899,0.2036
RandomForest,Structured,0.6888,0.2781,0.1881,0.0465,0.3456,0.0817
RandomForest,Structured+Text,0.6913,0.2793,0.1922,0.044,0.337,0.0763
XGBoost,Structured,0.6916,0.2859,0.2116,0.0704,0.475,0.1706
XGBoost,Structured+Text,0.6957,0.2905,0.2143,0.0631,0.4536,0.1734
