Model,Variant,AUC,PR_AUC,Brier,Brier_gap,FNR_gap,FPR_gap
Logistic,Structured,0.6941,0.2854,0.2299,0.0788,0.3965,0.1257
Logistic,Structured+Text,0.6983,0.2897,0.2267,0.0835,0.373,0.1373
XGBoost,Structured,0.6918,0.2855,0.2118,0.0693,0.3556,0.0966
XGBoost,Structured+Text,0.6958,0.2888,0.2142,0.063,0.3632,0.0951
