,Δ_AUC,Δ_AUC,Δ_PR_AUC,Δ_PR_AUC,Δ_Brier,Δ_Brier,Δ_GINI,Δ_GINI
,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,
Logistic,0.0052,0.0052,0.0061,0.0076,-0.0034,0.0037,0.0104,0.0104
RandomForest,0.0024,0.007,0.0009,0.0063,0.0087,0.0084,0.0047,0.014
XGBoost,0.0036,0.01,0.0041,0.0135,0.004,0.0085,0.0073,0.02
