,,AUC,AUC,PR_AUC,PR_AUC,Brier,Brier,GINI,GINI
,,mean,std,mean,std,mean,std,mean,std
Model,Variant,,,,,,,,
Logistic,Structured,0.6941,0.0149,0.2854,0.0303,0.2299,0.0134,0.3883,0.0299
Logistic,Structured+Text,0.6983,0.0153,0.2897,0.0293,0.2267,0.0135,0.3965,0.0306
RandomForest,Structured,0.6888,0.0169,0.2781,0.0354,0.1881,0.0127,0.3776,0.0338
RandomForest,Structured+Text,0.6913,0.0179,0.2793,0.0361,0.1922,0.0101,0.3826,0.0358
XGBoost,Structured,0.6916,0.0161,0.2859,0.0313,0.2116,0.0148,0.3832,0.0322
XGBoost,Structured+Text,0.6957,0.015,0.2905,0.0298,0.2143,0.0167,0.3914,0.03
