representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,Logistic,SES_group,7,1211,0.6928,676,0.7271,0.6082,0.7321,0.124,-2.1484,0.0317,0.3183,0.367,0.0488,-1.9746,0.0483,0.3592,0.4275,0.0683,-2.9258,0.0034,0.0343,0.1478,0.0615,0.006
structured,Logistic,SES_group,8,1715,0.6746,838,0.7072,0.7353,0.8,0.0647,-1.5475,0.1217,0.4833,0.5177,0.0344,-1.4711,0.1413,0.5283,0.5716,0.0433,-2.0631,0.0391,0.0325,0.2435,0.1648,0.0456
structured,Logistic,SES_group,9,2595,0.7131,1429,0.6891,0.6756,0.6947,0.0191,-0.4865,0.6266,0.3492,0.4273,0.078,-4.4989,0.0,0.3961,0.4696,0.0734,-4.5121,0.0,-0.024,0.8257,0.0,0.0
structured,Logistic,SES_group,10,2711,0.6986,1356,0.694,0.6156,0.6651,0.0495,-1.1878,0.2349,0.3279,0.3993,0.0714,-4.1481,0.0,0.3674,0.4403,0.0729,-4.4884,0.0,-0.0046,0.4111,0.0001,0.0
structured,Logistic,SES_group,11,3647,0.6962,1900,0.7161,0.6452,0.7119,0.0666,-1.9389,0.0525,0.3529,0.4106,0.0577,-3.8875,0.0001,0.394,0.4574,0.0633,-4.5428,0.0,0.0199,0.154,0.0003,0.0
structured,Logistic,SES_group,12,4705,0.702,2608,0.7062,0.672,0.7236,0.0516,-1.8385,0.066,0.373,0.4166,0.0435,-3.35,0.0008,0.4168,0.4689,0.0522,-4.3086,0.0,0.0042,0.154,0.0016,0.0
structured,Logistic,SES_group,13,5686,0.6833,3003,0.7072,0.6428,0.7213,0.0786,-2.9729,0.003,0.3696,0.4293,0.0598,-4.974,0.0,0.4098,0.4785,0.0687,-6.1493,0.0,0.0239,0.0413,0.0,0.0
structured,Logistic,SES_group,14,6707,0.7028,3399,0.7032,0.6413,0.6883,0.0471,-1.8508,0.0642,0.3327,0.378,0.0453,-4.1517,0.0,0.378,0.4272,0.0492,-4.7832,0.0,0.0004,0.154,0.0001,0.0
structured,XGBoost,BlackConcentration,1,180,0.6512,460,0.6834,0.4848,0.4706,-0.0143,0.1346,0.8929,0.3129,0.273,-0.04,0.9165,0.3594,0.3444,0.3022,-0.0423,1.0359,0.3003,0.0322,0.9494,0.5933,0.6005
structured,XGBoost,BlackConcentration,2,186,0.6802,554,0.6662,0.4545,0.4464,-0.0081,0.0649,0.9483,0.2561,0.239,-0.0171,0.4438,0.6572,0.2796,0.2599,-0.0196,0.5253,0.5994,-0.0139,0.9494,0.8251,0.7849
