representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,Logistic,SES_group,7,1211,0.6927,676,0.7271,0.5965,0.7143,0.1178,-2.0227,0.0431,0.3115,0.3457,0.0342,-1.3982,0.1621,0.3518,0.4068,0.055,-2.3721,0.0177,0.0344,0.154,0.1891,0.0225
structured,Logistic,SES_group,8,1715,0.675,838,0.707,0.7353,0.8,0.0647,-1.5475,0.1217,0.4833,0.5206,0.0373,-1.5973,0.1102,0.5283,0.574,0.0457,-2.177,0.0295,0.0321,0.2435,0.1403,0.0344
structured,Logistic,SES_group,9,2595,0.7131,1429,0.6891,0.6756,0.6947,0.0191,-0.4865,0.6266,0.3492,0.4281,0.0789,-4.5461,0.0,0.3961,0.4703,0.0741,-4.5547,0.0,-0.024,0.8378,0.0,0.0
structured,Logistic,SES_group,10,2711,0.6986,1356,0.694,0.6156,0.6651,0.0495,-1.1878,0.2349,0.3279,0.3993,0.0714,-4.1481,0.0,0.3674,0.4403,0.0729,-4.4884,0.0,-0.0046,0.4111,0.0001,0.0
structured,Logistic,SES_group,11,3647,0.6962,1900,0.7161,0.6452,0.7119,0.0666,-1.9389,0.0525,0.3529,0.4106,0.0577,-3.8875,0.0001,0.394,0.4574,0.0633,-4.5428,0.0,0.0199,0.154,0.0003,0.0
structured,Logistic,SES_group,12,4705,0.702,2608,0.7062,0.672,0.7236,0.0516,-1.8385,0.066,0.373,0.4166,0.0435,-3.35,0.0008,0.4168,0.4689,0.0522,-4.3086,0.0,0.0042,0.154,0.0017,0.0
structured,Logistic,SES_group,13,5686,0.6833,3003,0.7072,0.6428,0.7213,0.0786,-2.9729,0.003,0.3696,0.4297,0.0602,-5.0071,0.0,0.4098,0.4789,0.0691,-6.1789,0.0,0.0239,0.0207,0.0,0.0
structured,Logistic,SES_group,14,6707,0.7028,3399,0.7032,0.6413,0.6883,0.0471,-1.8508,0.0642,0.3327,0.378,0.0453,-4.1517,0.0,0.378,0.4272,0.0492,-4.7832,0.0,0.0004,0.154,0.0001,0.0
structured,RandomForest,BlackConcentration,1,180,0.6471,460,0.6607,0.4242,0.4412,0.0169,-0.161,0.8721,0.2857,0.273,-0.0128,0.2949,0.7681,0.3111,0.2978,-0.0133,0.3293,0.742,0.0136,0.9996,0.9881,0.8439
structured,RandomForest,BlackConcentration,2,186,0.7057,554,0.6446,0.5455,0.375,-0.1705,1.3712,0.1703,0.1951,0.1928,-0.0024,0.0661,0.9473,0.2366,0.2112,-0.0254,0.7255,0.4681,-0.061,0.7948,0.996,0.8186
structured,RandomForest,BlackConcentration,3,181,0.7264,661,0.7028,0.4583,0.4043,-0.0541,0.4799,0.6313,0.1592,0.1728,0.0136,-0.4017,0.6879,0.1989,0.2057,0.0069,-0.2026,0.8394,-0.0236,0.8839,0.9881,0.8439
structured,RandomForest,BlackConcentration,4,249,0.6414,841,0.7006,0.6154,0.6614,0.046,-0.5274,0.5979,0.3857,0.3599,-0.0258,0.6816,0.4955,0.4217,0.4055,-0.0162,0.4572,0.6476,0.0592,0.8839,0.9881,0.8439
structured,RandomForest,BlackConcentration,5,293,0.7568,909,0.7461,0.6429,0.6391,-0.0038,0.0442,0.9647,0.2908,0.2668,-0.0241,0.7448,0.4564,0.3413,0.3212,-0.0201,0.6371,0.5241,-0.0106,0.9996,0.9881,0.8186
structured,RandomForest,BlackConcentration,6,349,0.7069,1002,0.6867,0.4833,0.474,-0.0094,0.1269,0.899,0.1972,0.2346,0.0373,-1.3054,0.1917,0.2464,0.2804,0.034,-1.2305,0.2185,-0.0202,0.9996,0.9881,0.8186
