model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,4,0.0361,,-0.0355,0.0006
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,5,-0.0376,,0.0389,0.0013
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,6,0.0271,,-0.0125,0.0146
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,7,-0.0906,,0.0052,-0.0854
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,8,0.086,,-0.022,0.064
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,9,-0.0003,,0.028,0.0277
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,10,0.0546,,-0.0171,0.0375
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,11,-0.0252,,0.0013,-0.0239
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,12,0.0165,,0.0125,0.029
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,13,0.0612,,0.001,0.0622
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,14,0.1062,,-0.0094,0.0968
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,1,-0.0298,,-0.0136,-0.0434
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,2,0.0022,,0.0023,0.0045
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,3,0.0355,,-0.0261,0.0094
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,4,-0.0487,,-0.0112,-0.0599
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,5,0.0217,,-0.0172,0.0045
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,6,-0.0224,,-0.0057,-0.0281
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,7,-0.0381,,0.0128,-0.0253
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,8,0.0468,,0.0058,0.0526
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,9,0.018,,-0.0128,0.0052
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,10,0.0075,,0.0113,0.0188
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,11,0.0148,,-0.005,0.0098
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,12,0.0272,,0.0086,0.0358
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,13,0.0449,,-0.0019,0.043
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,14,0.0342,,0.0051,0.0393
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,1,-0.0278,,0.0015,-0.0263
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,2,-0.0101,,-0.0019,-0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,3,0.0354,,-0.0226,0.0128
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,4,-0.0372,,-0.0152,-0.0524
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,5,0.0142,,-0.0091,0.0051
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,6,-0.0078,,-0.0064,-0.0142
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,7,-0.0459,,0.0117,-0.0342
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,8,0.0554,,0.0006,0.056
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,9,0.0191,,-0.0071,0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,10,0.0217,,0.0076,0.0293
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,11,0.0165,,-0.0037,0.0128
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,12,0.0307,,0.0093,0.04
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,13,0.0541,,-0.0012,0.0529
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,14,0.0486,,0.0028,0.0514
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,1,0.0799,,-0.011,0.0689
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,2,-0.0405,,-0.0184,-0.0589
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,3,0.0009,,0.0108,0.0117
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,4,0.0822,,0.0102,0.0924
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,5,0.0012,,0.015,0.0162
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,6,0.0143,,0.0072,0.0215
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,7,-0.0018,,-0.0098,-0.0116
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,8,0.0063,,0.0046,0.0109
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,9,0.0003,,0.0004,0.0007
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,10,0.0409,,-0.0022,0.0387
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,11,-0.0123,,0.0033,-0.009
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,12,-0.0083,,0.0003,-0.008
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,13,0.0164,,-0.0013,0.0151
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,14,0.0207,,0.0005,0.0212
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,1,,0.0392,0.0753,0.1145
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,2,,-0.1006,0.0,-0.1006
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,3,,0.0559,-0.0417,0.0142
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,4,,0.0361,-0.0355,0.0006
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,5,,-0.0388,0.0401,0.0013
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,6,,0.0042,0.0104,0.0146
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,7,,-0.0487,-0.0367,-0.0854
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,8,,0.0707,-0.0067,0.064
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,9,,0.0089,0.0188,0.0277
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,10,,0.1018,-0.0643,0.0375
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,11,,0.0116,-0.0355,-0.0239
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,12,,0.0388,-0.0098,0.029
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,13,,0.0709,-0.0087,0.0622
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,14,,0.0864,0.0104,0.0968
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,1,,-0.0332,-0.0102,-0.0434
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,2,,-0.0037,0.0082,0.0045
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,3,,0.0409,-0.0315,0.0094
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,4,,-0.0563,-0.0036,-0.0599
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,5,,0.0154,-0.0109,0.0045
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,6,,-0.0197,-0.0084,-0.0281
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,7,,-0.0445,0.0192,-0.0253
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,8,,0.0394,0.0132,0.0526
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,9,,0.0077,-0.0025,0.0052
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,10,,0.0126,0.0062,0.0188
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,11,,0.0168,-0.007,0.0098
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,12,,0.0367,-0.0009,0.0358
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,13,,0.0516,-0.0086,0.043
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,14,,0.042,-0.0027,0.0393
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,1,,-0.0309,0.0046,-0.0263
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,2,,-0.0192,0.0072,-0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,3,,0.0459,-0.0331,0.0128
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,4,,-0.0436,-0.0088,-0.0524
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,5,,0.0087,-0.0036,0.0051
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,6,,-0.0094,-0.0048,-0.0142
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,7,,-0.0451,0.0109,-0.0342
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,8,,0.0466,0.0094,0.056
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,9,,0.0116,0.0004,0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,10,,0.033,-0.0037,0.0293
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,11,,0.0232,-0.0104,0.0128
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,12,,0.0424,-0.0024,0.04
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,13,,0.0612,-0.0083,0.0529
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,14,,0.0521,-0.0007,0.0514
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,1,,0.075,-0.0061,0.0689
