representation,model,grouping,fold,group_level,n,n_defaults,intercept,slope,ECE
structured,RandomForest,BlackConcentration,6,Low,349,60,-1.1685,1.1352,0.2136
structured,RandomForest,BlackConcentration,6,High,1002,192,-1.0933,0.9432,0.195
structured,RandomForest,SES_group,7,Low,1211,171,-1.2404,0.9802,0.1966
structured,RandomForest,SES_group,7,High,676,112,-1.05,1.0953,0.1863
structured,RandomForest,BlackConcentration,7,Low,428,64,-1.2407,1.0539,0.2091
structured,RandomForest,BlackConcentration,7,High,1276,191,-1.1975,0.9545,0.1939
structured,RandomForest,SES_group,8,Low,1715,306,-1.398,0.992,0.2634
structured,RandomForest,SES_group,8,High,838,160,-1.3154,1.3607,0.2529
structured,RandomForest,BlackConcentration,8,Low,555,105,-1.3223,1.0872,0.2514
structured,RandomForest,BlackConcentration,8,High,1783,346,-1.3128,1.0413,0.2551
structured,RandomForest,SES_group,9,Low,2595,373,-1.1072,1.329,0.2059
structured,RandomForest,SES_group,9,High,1429,226,-1.0838,1.2776,0.2065
structured,RandomForest,BlackConcentration,9,Low,1020,143,-1.2151,1.1866,0.2131
structured,RandomForest,BlackConcentration,9,High,2715,412,-1.0776,1.3617,0.2072
structured,RandomForest,SES_group,10,Low,2711,372,-1.295,1.1723,0.2239
structured,RandomForest,SES_group,10,High,1356,209,-1.2544,1.2526,0.2296
structured,RandomForest,BlackConcentration,10,Low,1012,139,-1.4203,1.0116,0.2393
structured,RandomForest,BlackConcentration,10,High,2694,445,-1.1316,1.2423,0.212
structured,RandomForest,SES_group,11,Low,3647,513,-1.5836,1.0917,0.2761
structured,RandomForest,SES_group,11,High,1900,295,-1.5614,1.3722,0.2855
structured,RandomForest,BlackConcentration,11,Low,1378,170,-1.7881,1.059,0.3028
structured,RandomForest,BlackConcentration,11,High,3563,528,-1.5744,1.0876,0.283
structured,RandomForest,SES_group,12,Low,4705,689,-1.3823,1.0834,0.2376
structured,RandomForest,SES_group,12,High,2608,445,-1.2384,1.191,0.2294
structured,RandomForest,BlackConcentration,12,Low,1792,264,-1.3801,1.1333,0.2409
structured,RandomForest,BlackConcentration,12,High,4898,809,-1.2738,1.1437,0.2316
structured,RandomForest,SES_group,13,Low,5686,837,-1.3788,0.9655,0.2322
structured,RandomForest,SES_group,13,High,3003,506,-1.2799,1.1277,0.2338
structured,RandomForest,BlackConcentration,13,Low,2170,307,-1.4499,0.9809,0.2442
structured,RandomForest,BlackConcentration,13,High,5628,929,-1.2653,1.1332,0.2287
structured,RandomForest,SES_group,14,Low,6707,984,-1.2693,1.1279,0.2175
structured,RandomForest,SES_group,14,High,3399,539,-1.2583,1.1637,0.2253
structured,RandomForest,BlackConcentration,14,Low,2684,400,-1.2864,1.0324,0.2181
structured,RandomForest,BlackConcentration,14,High,6570,1054,-1.2136,1.1404,0.2162
structured,XGBoost,SES_group,1,Low,515,76,-1.5919,0.6558,0.2623
structured,XGBoost,SES_group,1,High,214,35,-1.5499,0.6301,0.2824
structured,XGBoost,BlackConcentration,1,Low,180,33,-1.4102,0.6019,0.2576
structured,XGBoost,BlackConcentration,1,High,460,68,-1.5992,0.7138,0.2658
structured,XGBoost,SES_group,2,Low,561,52,-1.9868,0.8896,0.2737
structured,XGBoost,SES_group,2,High,263,41,-1.5524,0.3054,0.2523
structured,XGBoost,SES_group,3,Low,606,64,-2.0466,1.2408,0.3017
structured,XGBoost,SES_group,3,High,292,58,-1.3628,0.6279,0.2633
structured,XGBoost,SES_group,4,Low,814,110,-1.7353,0.6433,0.2896
structured,XGBoost,SES_group,4,High,397,56,-1.8886,1.4255,0.2955
structured,XGBoost,BlackConcentration,4,Low,249,39,-1.617,0.5723,0.2906
structured,XGBoost,BlackConcentration,4,High,841,127,-1.6539,0.8628,0.2837
structured,XGBoost,SES_group,5,Low,910,134,-1.6054,1.026,0.2684
structured,XGBoost,SES_group,5,High,430,63,-1.7891,0.8961,0.3125
structured,XGBoost,BlackConcentration,5,Low,293,42,-1.7062,1.2097,0.2785
structured,XGBoost,BlackConcentration,5,High,909,133,-1.6848,1.2078,0.2764
structured,XGBoost,SES_group,6,Low,959,174,-1.639,1.0968,0.3032
structured,XGBoost,SES_group,6,High,507,104,-1.4393,0.5786,0.3076
structured,XGBoost,BlackConcentration,6,Low,349,60,-1.6896,0.9208,0.3241
structured,XGBoost,BlackConcentration,6,High,1002,192,-1.5591,0.9186,0.2995
structured,XGBoost,SES_group,7,Low,1211,171,-1.6922,0.9287,0.2883
structured,XGBoost,SES_group,7,High,676,112,-1.6228,1.099,0.2929
structured,XGBoost,BlackConcentration,7,Low,428,64,-1.7493,1.0032,0.3096
structured,XGBoost,BlackConcentration,7,High,1276,191,-1.6667,0.9612,0.2926
structured,XGBoost,SES_group,8,Low,1715,306,-1.5576,0.7767,0.294
structured,XGBoost,SES_group,8,High,838,160,-1.5962,1.0606,0.2953
structured,XGBoost,BlackConcentration,8,Low,555,105,-1.5297,0.8597,0.2903
structured,XGBoost,BlackConcentration,8,High,1783,346,-1.5069,0.8373,0.292
structured,XGBoost,SES_group,9,Low,2595,373,-1.7422,1.0923,0.2987
structured,XGBoost,SES_group,9,High,1429,226,-1.7334,1.0102,0.3143
structured,XGBoost,BlackConcentration,9,Low,1020,143,-1.8315,1.0372,0.3162
structured,XGBoost,BlackConcentration,9,High,2715,412,-1.7392,1.0515,0.3073
structured,XGBoost,SES_group,10,Low,2711,372,-1.6826,0.9131,0.2804
structured,XGBoost,SES_group,10,High,1356,209,-1.6822,0.9448,0.2982
structured,XGBoost,BlackConcentration,10,Low,1012,139,-1.7735,0.778,0.3071
structured,XGBoost,BlackConcentration,10,High,2694,445,-1.5531,0.9746,0.2757
structured,XGBoost,SES_group,11,Low,3647,513,-1.7443,0.9132,0.3003
structured,XGBoost,SES_group,11,High,1900,295,-1.8023,1.2152,0.3187
structured,XGBoost,BlackConcentration,11,Low,1378,170,-1.9685,0.9341,0.3323
structured,XGBoost,BlackConcentration,11,High,3563,528,-1.7463,0.9292,0.3117
structured,XGBoost,SES_group,12,Low,4705,689,-1.7631,0.9945,0.3082
