representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,4,Low,6,91,0.5503,0.1209
structured,Logistic,SES_group,4,Low,7,79,0.6178,0.2278
structured,Logistic,SES_group,4,Low,8,74,0.6953,0.2568
structured,Logistic,SES_group,4,Low,9,66,0.8103,0.2424
structured,Logistic,SES_group,4,High,0,32,0.1438,0.0
structured,Logistic,SES_group,4,High,1,44,0.2166,0.0
structured,Logistic,SES_group,4,High,2,46,0.2871,0.0435
structured,Logistic,SES_group,4,High,3,41,0.3563,0.0976
structured,Logistic,SES_group,4,High,4,31,0.4213,0.0645
structured,Logistic,SES_group,4,High,5,39,0.481,0.1026
structured,Logistic,SES_group,4,High,6,33,0.5494,0.0909
structured,Logistic,SES_group,4,High,7,48,0.6205,0.2083
structured,Logistic,SES_group,4,High,8,37,0.6952,0.3243
structured,Logistic,SES_group,4,High,9,46,0.8038,0.413
structured,Logistic,BlackConcentration,4,Low,0,29,0.14,0.069
structured,Logistic,BlackConcentration,4,Low,1,21,0.2245,0.0952
structured,Logistic,BlackConcentration,4,Low,2,16,0.2914,0.125
structured,Logistic,BlackConcentration,4,Low,3,20,0.3633,0.1
structured,Logistic,BlackConcentration,4,Low,4,28,0.4144,0.1071
structured,Logistic,BlackConcentration,4,Low,5,24,0.4828,0.1667
structured,Logistic,BlackConcentration,4,Low,6,26,0.5492,0.0769
structured,Logistic,BlackConcentration,4,Low,7,27,0.6217,0.3333
structured,Logistic,BlackConcentration,4,Low,8,35,0.6906,0.2571
structured,Logistic,BlackConcentration,4,Low,9,23,0.8165,0.1739
structured,Logistic,BlackConcentration,4,High,0,78,0.1343,0.0256
structured,Logistic,BlackConcentration,4,High,1,87,0.2181,0.069
structured,Logistic,BlackConcentration,4,High,2,92,0.2881,0.0543
structured,Logistic,BlackConcentration,4,High,3,88,0.3532,0.1023
structured,Logistic,BlackConcentration,4,High,4,75,0.4184,0.12
structured,Logistic,BlackConcentration,4,High,5,76,0.4822,0.1447
structured,Logistic,BlackConcentration,4,High,6,83,0.5489,0.0964
structured,Logistic,BlackConcentration,4,High,7,79,0.6184,0.2532
structured,Logistic,BlackConcentration,4,High,8,82,0.6986,0.2683
structured,Logistic,BlackConcentration,4,High,9,101,0.8108,0.3465
structured,Logistic,SES_group,5,Low,0,109,0.1514,0.0092
structured,Logistic,SES_group,5,Low,1,90,0.2296,0.0667
structured,Logistic,SES_group,5,Low,2,88,0.2908,0.1023
structured,Logistic,SES_group,5,Low,3,100,0.3485,0.12
structured,Logistic,SES_group,5,Low,4,96,0.4078,0.0729
structured,Logistic,SES_group,5,Low,5,78,0.4675,0.1538
structured,Logistic,SES_group,5,Low,6,88,0.5295,0.1136
structured,Logistic,SES_group,5,Low,7,105,0.593,0.2667
structured,Logistic,SES_group,5,Low,8,95,0.6713,0.2105
structured,Logistic,SES_group,5,Low,9,61,0.7785,0.4754
structured,Logistic,SES_group,5,High,0,33,0.1563,0.0
structured,Logistic,SES_group,5,High,1,38,0.231,0.1053
structured,Logistic,SES_group,5,High,2,35,0.2931,0.0571
structured,Logistic,SES_group,5,High,3,42,0.3526,0.0476
structured,Logistic,SES_group,5,High,4,33,0.4063,0.0606
structured,Logistic,SES_group,5,High,5,54,0.4661,0.1852
structured,Logistic,SES_group,5,High,6,44,0.531,0.1136
structured,Logistic,SES_group,5,High,7,39,0.5894,0.1538
structured,Logistic,SES_group,5,High,8,42,0.6719,0.2857
structured,Logistic,SES_group,5,High,9,70,0.79,0.2857
structured,Logistic,BlackConcentration,5,Low,0,32,0.1566,0.0312
structured,Logistic,BlackConcentration,5,Low,1,27,0.226,0.037
structured,Logistic,BlackConcentration,5,Low,2,38,0.291,0.0526
structured,Logistic,BlackConcentration,5,Low,3,21,0.3502,0.1905
structured,Logistic,BlackConcentration,5,Low,4,27,0.4092,0.0741
structured,Logistic,BlackConcentration,5,Low,5,37,0.4667,0.0541
structured,Logistic,BlackConcentration,5,Low,6,26,0.5266,0.1154
structured,Logistic,BlackConcentration,5,Low,7,27,0.5924,0.2593
structured,Logistic,BlackConcentration,5,Low,8,29,0.6702,0.2414
structured,Logistic,BlackConcentration,5,Low,9,29,0.782,0.4483
structured,Logistic,BlackConcentration,5,High,0,91,0.1485,0.0
structured,Logistic,BlackConcentration,5,High,1,98,0.2294,0.0408
structured,Logistic,BlackConcentration,5,High,2,89,0.2952,0.0787
structured,Logistic,BlackConcentration,5,High,3,95,0.3483,0.0737
structured,Logistic,BlackConcentration,5,High,4,85,0.4047,0.0941
structured,Logistic,BlackConcentration,5,High,5,92,0.4696,0.1739
structured,Logistic,BlackConcentration,5,High,6,95,0.5317,0.0737
structured,Logistic,BlackConcentration,5,High,7,87,0.5911,0.2874
structured,Logistic,BlackConcentration,5,High,8,78,0.6698,0.2179
structured,Logistic,BlackConcentration,5,High,9,99,0.7864,0.4242
structured,Logistic,SES_group,6,Low,0,117,0.2036,0.0513
structured,Logistic,SES_group,6,Low,1,101,0.3066,0.0891
structured,Logistic,SES_group,6,Low,2,98,0.3765,0.1327
structured,Logistic,SES_group,6,Low,3,89,0.4354,0.0562
structured,Logistic,SES_group,6,Low,4,102,0.4891,0.1471
structured,Logistic,SES_group,6,Low,5,88,0.5429,0.125
structured,Logistic,SES_group,6,Low,6,91,0.5969,0.2747
structured,Logistic,SES_group,6,Low,7,97,0.6571,0.2165
structured,Logistic,SES_group,6,Low,8,97,0.7252,0.3711
structured,Logistic,SES_group,6,Low,9,79,0.7977,0.4177
structured,Logistic,SES_group,6,High,0,38,0.2104,0.0526
structured,Logistic,SES_group,6,High,1,43,0.3099,0.1395
structured,Logistic,SES_group,6,High,2,54,0.3736,0.1481
structured,Logistic,SES_group,6,High,3,52,0.436,0.1154
structured,Logistic,SES_group,6,High,4,45,0.4927,0.1778
structured,Logistic,SES_group,6,High,5,53,0.5442,0.2642
structured,Logistic,SES_group,6,High,6,49,0.5988,0.3469
structured,Logistic,SES_group,6,High,7,64,0.6581,0.1719
structured,Logistic,SES_group,6,High,8,49,0.7188,0.3673
structured,Logistic,SES_group,6,High,9,60,0.8101,0.2333
structured,Logistic,BlackConcentration,6,Low,0,26,0.2134,0.0385
structured,Logistic,BlackConcentration,6,Low,1,34,0.3023,0.0882
structured,Logistic,BlackConcentration,6,Low,2,34,0.3742,0.1176
structured,Logistic,BlackConcentration,6,Low,3,38,0.4346,0.0263
structured,Logistic,BlackConcentration,6,Low,4,46,0.489,0.1522
structured,Logistic,BlackConcentration,6,Low,5,42,0.5438,0.1905
structured,Logistic,BlackConcentration,6,Low,6,42,0.5951,0.2857
structured,Logistic,BlackConcentration,6,Low,7,33,0.6543,0.1515
structured,Logistic,BlackConcentration,6,Low,8,27,0.7264,0.2963
structured,Logistic,BlackConcentration,6,Low,9,27,0.8076,0.4074
structured,Logistic,BlackConcentration,6,High,0,111,0.204,0.036
structured,Logistic,BlackConcentration,6,High,1,120,0.3099,0.1083
structured,Logistic,BlackConcentration,6,High,2,88,0.3747,0.1136
structured,Logistic,BlackConcentration,6,High,3,96,0.4369,0.0729
structured,Logistic,BlackConcentration,6,High,4,93,0.491,0.1398
structured,Logistic,BlackConcentration,6,High,5,86,0.542,0.2326
structured,Logistic,BlackConcentration,6,High,6,88,0.5981,0.2841
structured,Logistic,BlackConcentration,6,High,7,101,0.657,0.2673
structured,Logistic,BlackConcentration,6,High,8,109,0.7198,0.3211
structured,Logistic,BlackConcentration,6,High,9,110,0.8067,0.3455
structured,Logistic,SES_group,7,Low,0,156,0.1788,0.0449
structured,Logistic,SES_group,7,Low,1,131,0.2616,0.0687
structured,Logistic,SES_group,7,Low,2,133,0.3172,0.0827
