model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,4,0.0519,,-0.0355,0.0164
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,5,-0.0301,,0.0464,0.0163
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,6,0.0479,,-0.0396,0.0083
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,7,-0.0695,,-0.0314,-0.1009
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,8,0.0889,,-0.0191,0.0698
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,9,-0.0003,,0.028,0.0277
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,10,0.0546,,-0.0171,0.0375
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,11,-0.0252,,0.0013,-0.0239
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,12,0.0165,,0.0125,0.029
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,13,0.0612,,0.001,0.0622
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,14,0.1062,,-0.0094,0.0968
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,1,-0.0357,,-0.0298,-0.0655
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,2,0.0124,,-0.0079,0.0045
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,3,0.0603,,-0.0551,0.0052
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,4,-0.0585,,-0.0264,-0.0849
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,5,0.0307,,-0.0092,0.0215
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,6,-0.0123,,-0.0104,-0.0227
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,7,-0.0289,,-0.0018,-0.0307
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,8,0.0425,,0.0094,0.0519
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,9,0.0176,,-0.0124,0.0052
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,10,0.0075,,0.0113,0.0188
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,11,0.0148,,-0.005,0.0098
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,12,0.0272,,0.0086,0.0358
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,13,0.0447,,-0.0015,0.0432
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,14,0.034,,0.0053,0.0393
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,1,-0.0138,,-0.0338,-0.0476
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,2,-0.0065,,-0.0055,-0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,3,0.0585,,-0.0437,0.0148
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,4,-0.043,,-0.028,-0.071
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,5,0.023,,-0.0012,0.0218
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,6,0.0043,,-0.0152,-0.0109
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,7,-0.0349,,-0.0063,-0.0412
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,8,0.0525,,0.0041,0.0566
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,9,0.0187,,-0.0067,0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,10,0.0217,,0.0076,0.0293
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,11,0.0165,,-0.0037,0.0128
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,12,0.0307,,0.0093,0.04
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,13,0.054,,-0.0009,0.0531
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,14,0.0484,,0.003,0.0514
