model,grouping,metric,comparison,mean_gap_structured,mean_gap_tfidf_full,n_folds,mean_delta,sd_delta,ci_lo,ci_hi,cohens_dz,t_stat,p_ttest,w_stat,p_wilcoxon,mean_gap_finbert_pca50,q_ttest,q_wilcoxon,both_agree_sig,both_agree_sig_BH
RandomForest,BlackConcentration,PPR,finbert_pca50 - structured,-0.0008,,14,0.0105,0.0217,-0.0021,0.023,0.4826,1.8059,0.0941,22.0,0.058,0.0097,0.1948,0.2028,False,False
RandomForest,BlackConcentration,AUC,finbert_pca50 - structured,-0.0009,,14,0.0086,0.0141,0.0005,0.0168,0.6134,2.2953,0.039,31.0,0.1937,0.0078,0.1948,0.3249,False,False
RandomForest,BlackConcentration,TPR,finbert_pca50 - tfidf_full,,0.0273,14,-0.021,0.0439,-0.0463,0.0044,-0.4774,-1.7864,0.0974,29.0,0.1531,0.0063,0.1948,0.3062,False,False
RandomForest,BlackConcentration,FPR,finbert_pca50 - tfidf_full,,0.01,14,-0.0019,0.025,-0.0164,0.0125,-0.0775,-0.2899,0.7764,49.0,0.8552,0.008,0.7764,0.8552,False,False
RandomForest,BlackConcentration,PPR,finbert_pca50 - tfidf_full,,0.0151,14,-0.0054,0.02,-0.0169,0.0062,-0.2686,-1.0052,0.3332,39.0,0.4263,0.0097,0.3998,0.5116,False,False
RandomForest,BlackConcentration,AUC,finbert_pca50 - tfidf_full,,0.0061,14,0.0016,0.0149,-0.007,0.0102,0.1095,0.4098,0.6887,43.5,0.572,0.0078,0.7513,0.624,False,False
RandomForest,SES_group,TPR,tfidf_full - structured,0.0417,0.0264,14,-0.0153,0.0583,-0.049,0.0184,-0.2622,-0.9811,0.3444,32.0,0.3454,,0.6456,0.715,False,False
RandomForest,SES_group,FPR,tfidf_full - structured,0.0211,0.0236,14,0.0025,0.0263,-0.0127,0.0177,0.0943,0.3528,0.7299,48.0,0.8077,,0.8759,0.8077,False,False
RandomForest,SES_group,PPR,tfidf_full - structured,0.0293,0.0303,14,0.001,0.0198,-0.0104,0.0125,0.0526,0.1966,0.8471,45.0,0.6698,,0.9241,0.8038,False,False
RandomForest,SES_group,AUC,tfidf_full - structured,-0.0065,-0.0066,14,-0.0001,0.021,-0.0123,0.012,-0.0061,-0.0229,0.9821,43.0,0.583,,0.9821,0.7773,False,False
RandomForest,SES_group,TPR,finbert_pca50 - structured,0.0417,,14,-0.0086,0.0397,-0.0316,0.0143,-0.2175,-0.8139,0.4304,42.5,0.5301,0.033,0.6456,0.7773,False,False
RandomForest,SES_group,FPR,finbert_pca50 - structured,0.0211,,14,-0.0037,0.0145,-0.0121,0.0047,-0.2537,-0.9494,0.3597,37.0,0.3575,0.0175,0.6456,0.715,False,False
RandomForest,SES_group,PPR,finbert_pca50 - structured,0.0293,,14,-0.0055,0.0129,-0.0129,0.002,-0.424,-1.5865,0.1366,27.0,0.1189,0.0238,0.6456,0.715,False,False
RandomForest,SES_group,AUC,finbert_pca50 - structured,-0.0065,,14,-0.0041,0.0121,-0.0111,0.0029,-0.3393,-1.2697,0.2265,36.0,0.3258,-0.0106,0.6456,0.715,False,False
RandomForest,SES_group,TPR,finbert_pca50 - tfidf_full,,0.0264,14,0.0067,0.0522,-0.0235,0.0368,0.1276,0.4774,0.641,47.0,0.7609,0.033,0.8547,0.8077,False,False
RandomForest,SES_group,FPR,finbert_pca50 - tfidf_full,,0.0236,14,-0.0062,0.0277,-0.0222,0.0098,-0.2223,-0.8316,0.4206,34.0,0.2676,0.0175,0.6456,0.715,False,False
RandomForest,SES_group,PPR,finbert_pca50 - tfidf_full,,0.0303,14,-0.0065,0.0227,-0.0196,0.0066,-0.2871,-1.0742,0.3023,35.0,0.2958,0.0238,0.6456,0.715,False,False
RandomForest,SES_group,AUC,finbert_pca50 - tfidf_full,,-0.0066,14,-0.004,0.0157,-0.013,0.0051,-0.2527,-0.9457,0.3616,42.0,0.5416,-0.0106,0.6456,0.7773,False,False
XGBoost,BlackConcentration,TPR,tfidf_full - structured,-0.0005,0.0041,14,0.0047,0.0832,-0.0433,0.0527,0.0563,0.2105,0.8365,52.0,1.0,,0.9926,1.0,False,False
XGBoost,BlackConcentration,FPR,tfidf_full - structured,0.0007,-0.0117,14,-0.0124,0.0268,-0.0278,0.0031,-0.4616,-1.7271,0.1078,23.0,0.0676,,0.5192,0.3624,False,False
XGBoost,BlackConcentration,PPR,tfidf_full - structured,0.0032,-0.0065,14,-0.0096,0.032,-0.0281,0.0088,-0.3008,-1.1256,0.2807,25.0,0.0906,,0.8421,0.3624,False,False
XGBoost,BlackConcentration,AUC,tfidf_full - structured,0.0106,0.0123,14,0.0018,0.0316,-0.0165,0.02,0.0557,0.2086,0.838,41.0,0.5016,,0.9926,0.8686,False,False
XGBoost,BlackConcentration,TPR,finbert_pca50 - structured,-0.0005,,14,0.0082,0.0574,-0.025,0.0413,0.1425,0.5332,0.6029,35.0,0.2958,0.0076,0.9926,0.7099,False,False
XGBoost,BlackConcentration,FPR,finbert_pca50 - structured,0.0007,,14,-0.0019,0.0176,-0.0121,0.0083,-0.1085,-0.4059,0.6914,43.0,0.583,-0.0013,0.9926,0.8745,False,False
XGBoost,BlackConcentration,PPR,finbert_pca50 - structured,0.0032,,14,0.0001,0.0197,-0.0113,0.0114,0.0025,0.0095,0.9926,45.0,0.9721,0.0032,0.9926,1.0,False,False
XGBoost,BlackConcentration,AUC,finbert_pca50 - structured,0.0106,,14,0.0004,0.0168,-0.0093,0.0101,0.025,0.0936,0.9269,36.0,0.5067,0.011,0.9926,0.8686,False,False
XGBoost,BlackConcentration,TPR,finbert_pca50 - tfidf_full,,0.0041,14,0.0035,0.0679,-0.0357,0.0427,0.0516,0.193,0.85,49.0,0.8552,0.0076,0.9926,1.0,False,False
XGBoost,BlackConcentration,FPR,finbert_pca50 - tfidf_full,,-0.0117,14,0.0104,0.0206,-0.0014,0.0223,0.5077,1.8997,0.0799,31.0,0.1937,-0.0013,0.5192,0.5811,False,False
