fold,representation,Model,n_train,n_test,n_defaults,n_features,AUC,PR_AUC,Brier,GINI,AUC_CI_lo,AUC_CI_hi
4,tfidf_chi2,XGBoost,18165,1762,255,593,0.7006,0.2752,0.2075,0.4012,0.6691,0.7333
4,finbert_768,Logistic,18165,1762,255,861,0.6356,0.2384,0.2394,0.2711,0.5964,0.6733
4,finbert_768,XGBoost,18165,1762,255,861,0.656,0.2342,0.1911,0.312,0.6184,0.6912
4,finbert_pca50,Logistic,18165,1762,255,143,0.7093,0.2875,0.2269,0.4185,0.6751,0.7463
4,finbert_pca50,XGBoost,18165,1762,255,143,0.6891,0.2576,0.1965,0.3783,0.6555,0.7209
5,structured,Logistic,23547,1979,286,92,0.7194,0.3018,0.2151,0.4389,0.6888,0.7517
5,structured,XGBoost,23547,1979,286,92,0.7146,0.3132,0.1945,0.4292,0.6842,0.7474
5,structured_has_desc,Logistic,23547,1979,286,93,0.7196,0.3019,0.2151,0.4392,0.6889,0.752
5,structured_has_desc,XGBoost,23547,1979,286,93,0.7151,0.3101,0.1945,0.4303,0.6845,0.7476
5,lexicon,Logistic,23547,1979,286,100,0.7203,0.3004,0.2152,0.4405,0.6893,0.7513
5,lexicon,XGBoost,23547,1979,286,100,0.7137,0.3057,0.1949,0.4273,0.6839,0.746
5,tfidf_full,Logistic,23547,1979,286,16597,0.7208,0.3072,0.2097,0.4416,0.6904,0.752
5,tfidf_full,XGBoost,23547,1979,286,16597,0.711,0.2901,0.1977,0.4221,0.6799,0.7423
5,tfidf_chi2,Logistic,23547,1979,286,593,0.721,0.3069,0.2148,0.442,0.6898,0.7523
5,tfidf_chi2,XGBoost,23547,1979,286,593,0.7153,0.2933,0.1991,0.4306,0.6847,0.7468
5,finbert_768,Logistic,23547,1979,286,861,0.7123,0.2771,0.2155,0.4245,0.6804,0.7404
5,finbert_768,XGBoost,23547,1979,286,861,0.7156,0.3231,0.182,0.4311,0.6858,0.7448
5,finbert_pca50,Logistic,23547,1979,286,143,0.7221,0.2939,0.2177,0.4441,0.6934,0.7523
5,finbert_pca50,XGBoost,23547,1979,286,143,0.7165,0.313,0.1882,0.4329,0.6852,0.7467
6,structured,Logistic,29671,2190,406,93,0.6709,0.2986,0.2592,0.3418,0.6415,0.6965
6,structured,XGBoost,29671,2190,406,93,0.6827,0.3141,0.2367,0.3654,0.6547,0.7101
6,structured_has_desc,Logistic,29671,2190,406,94,0.6708,0.2986,0.2593,0.3416,0.6413,0.6965
6,structured_has_desc,XGBoost,29671,2190,406,94,0.683,0.3144,0.2366,0.366,0.6541,0.7083
6,lexicon,Logistic,29671,2190,406,101,0.6729,0.3009,0.2599,0.3458,0.6436,0.6991
6,lexicon,XGBoost,29671,2190,406,101,0.6788,0.313,0.239,0.3577,0.6492,0.7054
6,tfidf_full,Logistic,29671,2190,406,19175,0.6767,0.3093,0.2545,0.3533,0.6458,0.7033
6,tfidf_full,XGBoost,29671,2190,406,19175,0.6702,0.3104,0.2425,0.3404,0.6414,0.6964
6,tfidf_chi2,Logistic,29671,2190,406,594,0.6708,0.2994,0.26,0.3416,0.6414,0.6974
6,tfidf_chi2,XGBoost,29671,2190,406,594,0.6824,0.3167,0.2427,0.3647,0.6518,0.7073
6,finbert_768,Logistic,29671,2190,406,862,0.6659,0.3085,0.2574,0.3318,0.6376,0.6946
6,finbert_768,XGBoost,29671,2190,406,862,0.6771,0.3213,0.2261,0.3541,0.6479,0.704
6,finbert_pca50,Logistic,29671,2190,406,144,0.6804,0.305,0.2579,0.3608,0.6516,0.7065
6,finbert_pca50,XGBoost,29671,2190,406,144,0.6836,0.3204,0.232,0.3672,0.6552,0.7107
7,structured,Logistic,36786,2781,413,93,0.7003,0.2905,0.2221,0.4006,0.6743,0.7269
7,structured,XGBoost,36786,2781,413,93,0.6991,0.2994,0.2073,0.3982,0.6726,0.7274
7,structured_has_desc,Logistic,36786,2781,413,94,0.7003,0.2908,0.2221,0.4006,0.6743,0.7269
7,structured_has_desc,XGBoost,36786,2781,413,94,0.6994,0.294,0.207,0.3987,0.6733,0.7265
7,lexicon,Logistic,36786,2781,413,101,0.7001,0.2903,0.2233,0.4002,0.6747,0.7261
7,lexicon,XGBoost,36786,2781,413,101,0.7027,0.2998,0.2084,0.4053,0.6765,0.7289
7,tfidf_full,Logistic,36786,2781,413,21576,0.7041,0.2926,0.2204,0.4082,0.6777,0.729
7,tfidf_full,XGBoost,36786,2781,413,21576,0.6967,0.2767,0.2119,0.3934,0.6704,0.7232
7,tfidf_chi2,Logistic,36786,2781,413,594,0.7025,0.2942,0.2228,0.405,0.6765,0.7273
7,tfidf_chi2,XGBoost,36786,2781,413,594,0.6999,0.2821,0.2118,0.3999,0.6738,0.7269
7,finbert_768,Logistic,36786,2781,413,862,0.6925,0.2732,0.2183,0.385,0.6649,0.7207
7,finbert_768,XGBoost,36786,2781,413,862,0.697,0.2971,0.1974,0.394,0.668,0.7229
7,finbert_pca50,Logistic,36786,2781,413,144,0.7001,0.2903,0.2205,0.4002,0.6734,0.7248
7,finbert_pca50,XGBoost,36786,2781,413,144,0.6917,0.2791,0.1999,0.3833,0.6633,0.7179
8,structured,Logistic,45976,3713,681,99,0.6857,0.3323,0.2617,0.3714,0.6628,0.7056
8,structured,XGBoost,45976,3713,681,99,0.6895,0.3309,0.2377,0.3789,0.6656,0.7101
8,structured_has_desc,Logistic,45976,3713,681,100,0.6859,0.3323,0.261,0.3718,0.663,0.7058
8,structured_has_desc,XGBoost,45976,3713,681,100,0.69,0.3322,0.2365,0.3799,0.6653,0.7102
8,lexicon,Logistic,45976,3713,681,107,0.6867,0.3331,0.2606,0.3734,0.6637,0.7066
8,lexicon,XGBoost,45976,3713,681,107,0.6925,0.3291,0.2356,0.3849,0.6683,0.7124
8,tfidf_full,Logistic,45976,3713,681,24456,0.691,0.3374,0.258,0.3819,0.6671,0.7118
8,tfidf_full,XGBoost,45976,3713,681,24456,0.6865,0.3295,0.2441,0.3731,0.6627,0.7075
8,tfidf_chi2,Logistic,45976,3713,681,600,0.6868,0.331,0.2608,0.3736,0.6639,0.7071
8,tfidf_chi2,XGBoost,45976,3713,681,600,0.6923,0.3333,0.2428,0.3846,0.6674,0.7136
8,finbert_768,Logistic,45976,3713,681,868,0.6704,0.3056,0.2623,0.3409,0.6465,0.6913
8,finbert_768,XGBoost,45976,3713,681,868,0.6852,0.3229,0.232,0.3705,0.6612,0.7057
8,finbert_pca50,Logistic,45976,3713,681,150,0.689,0.3341,0.2611,0.3779,0.6662,0.7082
8,finbert_pca50,XGBoost,45976,3713,681,150,0.6896,0.3276,0.2364,0.3793,0.6651,0.7098
9,structured,Logistic,59483,5975,919,121,0.6996,0.2808,0.231,0.3992,0.6821,0.7181
9,structured,XGBoost,59483,5975,919,121,0.7006,0.2898,0.2037,0.4011,0.6808,0.7183
9,structured_has_desc,Logistic,59483,5975,919,122,0.6993,0.2804,0.2313,0.3985,0.6819,0.718
9,structured_has_desc,XGBoost,59483,5975,919,122,0.6961,0.2836,0.1999,0.3921,0.6772,0.7132
9,lexicon,Logistic,59483,5975,919,129,0.7006,0.2805,0.2316,0.4013,0.6835,0.7196
9,lexicon,XGBoost,59483,5975,919,129,0.6971,0.2836,0.2052,0.3942,0.6785,0.7145
9,tfidf_full,Logistic,59483,5975,919,29195,0.7018,0.2819,0.2282,0.4036,0.6852,0.7197
9,tfidf_full,XGBoost,59483,5975,919,29195,0.7109,0.299,0.231,0.4218,0.693,0.7284
9,tfidf_chi2,Logistic,59483,5975,919,622,0.6981,0.2805,0.2307,0.3962,0.6813,0.7167
9,tfidf_chi2,XGBoost,59483,5975,919,622,0.7111,0.3026,0.22,0.4221,0.6932,0.7292
9,finbert_768,Logistic,59483,5975,919,890,0.6877,0.2798,0.2343,0.3754,0.6708,0.7068
9,finbert_768,XGBoost,59483,5975,919,890,0.7032,0.2933,0.2209,0.4064,0.6854,0.7216
9,finbert_pca50,Logistic,59483,5975,919,172,0.7017,0.2824,0.2303,0.4033,0.6845,0.7188
9,finbert_pca50,XGBoost,59483,5975,919,172,0.7045,0.2966,0.215,0.409,0.6871,0.7221
10,structured,Logistic,77872,5970,893,124,0.6927,0.2885,0.2213,0.3853,0.6745,0.7109
10,structured,XGBoost,77872,5970,893,124,0.6953,0.2903,0.2037,0.3906,0.6775,0.713
10,structured_has_desc,Logistic,77872,5970,893,125,0.6928,0.2888,0.2215,0.3856,0.6747,0.711
10,structured_has_desc,XGBoost,77872,5970,893,125,0.6941,0.2846,0.2037,0.3882,0.6759,0.7115
10,lexicon,Logistic,77872,5970,893,132,0.6942,0.2904,0.2212,0.3885,0.6762,0.7125
10,lexicon,XGBoost,77872,5970,893,132,0.6955,0.2917,0.205,0.391,0.6765,0.7136
10,tfidf_full,Logistic,77872,5970,893,34442,0.6957,0.2925,0.2196,0.3915,0.6771,0.7138
10,tfidf_full,XGBoost,77872,5970,893,34442,0.6903,0.2886,0.2138,0.3806,0.6714,0.709
10,tfidf_chi2,Logistic,77872,5970,893,625,0.6937,0.2885,0.222,0.3875,0.6755,0.7116
10,tfidf_chi2,XGBoost,77872,5970,893,625,0.6942,0.2862,0.209,0.3884,0.6774,0.7126
10,finbert_768,Logistic,77872,5970,893,893,0.6898,0.2868,0.2203,0.3796,0.6709,0.7085
10,finbert_768,XGBoost,77872,5970,893,893,0.6888,0.2888,0.2052,0.3776,0.6707,0.7074
10,finbert_pca50,Logistic,77872,5970,893,175,0.6949,0.2968,0.221,0.3898,0.6757,0.7136
10,finbert_pca50,XGBoost,77872,5970,893,175,0.694,0.2956,0.2021,0.388,0.6757,0.7136
11,structured,Logistic,98111,8184,1164,126,0.6917,0.2513,0.2297,0.3834,0.6746,0.7063
11,structured,XGBoost,98111,8184,1164,126,0.6972,0.2664,0.217,0.3943,0.68,0.7114
11,structured_has_desc,Logistic,98111,8184,1164,127,0.6915,0.2515,0.2304,0.3831,0.6742,0.7063
11,structured_has_desc,XGBoost,98111,8184,1164,127,0.6967,0.2658,0.2172,0.3933,0.6797,0.7114
11,lexicon,Logistic,98111,8184,1164,134,0.6926,0.2525,0.2302,0.3852,0.6754,0.7073
11,lexicon,XGBoost,98111,8184,1164,134,0.6951,0.2667,0.2181,0.3903,0.6782,0.7089
11,tfidf_full,Logistic,98111,8184,1164,39335,0.6959,0.2559,0.2279,0.3918,0.6798,0.7106
11,tfidf_full,XGBoost,98111,8184,1164,39335,0.6906,0.2601,0.2244,0.3812,0.6747,0.7047
11,tfidf_chi2,Logistic,98111,8184,1164,627,0.693,0.2531,0.2305,0.386,0.6755,0.7078
