fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value,q_value
5,XGBoost,finbert_768,0.7146,0.7156,0.0009,-0.1,0.9203,0.966315
5,XGBoost,finbert_pca50,0.7146,0.7165,0.0018,-0.255,0.7984,0.9590000000000001
6,Logistic,structured_has_desc,0.6709,0.6708,-0.0001,0.647,0.5176,0.7246399999999998
6,Logistic,lexicon,0.6709,0.6729,0.002,-1.246,0.2126,0.5411636363636364
6,Logistic,tfidf_full,0.6709,0.6767,0.0058,-1.984,0.0472,0.22026666666666667
6,Logistic,tfidf_chi2,0.6709,0.6708,-0.0001,0.116,0.9077,0.953085
6,Logistic,finbert_768,0.6709,0.6659,-0.005,0.537,0.5909,0.7520545454545454
6,Logistic,finbert_pca50,0.6709,0.6804,0.0095,-2.349,0.0188,0.13160000000000002
6,XGBoost,structured_has_desc,0.6827,0.683,0.0003,-0.174,0.8615,0.966315
6,XGBoost,lexicon,0.6827,0.6788,-0.0039,1.13,0.2583,0.8345076923076923
6,XGBoost,tfidf_full,0.6827,0.6702,-0.0125,1.64,0.1009,0.7628727272727273
6,XGBoost,tfidf_chi2,0.6827,0.6824,-0.0003,0.055,0.9559,0.9792146341463414
6,XGBoost,finbert_768,0.6827,0.6771,-0.0056,0.654,0.5129,0.9590000000000001
6,XGBoost,finbert_pca50,0.6827,0.6836,0.0009,-0.143,0.8867,0.966315
7,Logistic,structured_has_desc,0.7003,0.7003,-0.0,0.182,0.8555,0.9342545454545454
7,Logistic,lexicon,0.7003,0.7001,-0.0002,0.206,0.8368,0.9342545454545454
7,Logistic,tfidf_full,0.7003,0.7041,0.0038,-1.354,0.1757,0.523425
7,Logistic,tfidf_chi2,0.7003,0.7025,0.0022,-1.193,0.233,0.5649599999999999
7,Logistic,finbert_768,0.7003,0.6925,-0.0078,1.003,0.3159,0.6120545454545454
7,Logistic,finbert_pca50,0.7003,0.7001,-0.0002,0.057,0.9549,0.978190243902439
7,XGBoost,structured_has_desc,0.6991,0.6994,0.0003,-0.147,0.8829,0.966315
7,XGBoost,lexicon,0.6991,0.7027,0.0035,-1.282,0.1998,0.7628727272727273
7,XGBoost,tfidf_full,0.6991,0.6967,-0.0024,0.379,0.7047,0.9590000000000001
7,XGBoost,tfidf_chi2,0.6991,0.6999,0.0008,-0.151,0.8801,0.966315
7,XGBoost,finbert_768,0.6991,0.697,-0.0021,0.283,0.777,0.9590000000000001
7,XGBoost,finbert_pca50,0.6991,0.6917,-0.0075,1.348,0.1776,0.7628727272727273
8,Logistic,structured_has_desc,0.6857,0.6859,0.0002,-0.703,0.4821,0.686379661016949
8,Logistic,lexicon,0.6857,0.6867,0.001,-0.993,0.3206,0.6120545454545454
8,Logistic,tfidf_full,0.6857,0.691,0.0053,-2.586,0.0097,0.11004
8,Logistic,tfidf_chi2,0.6857,0.6868,0.0011,-0.787,0.4312,0.6761236363636364
8,Logistic,finbert_768,0.6857,0.6704,-0.0153,2.518,0.0118,0.11004
8,Logistic,finbert_pca50,0.6857,0.689,0.0033,-1.156,0.2478,0.5782
8,XGBoost,structured_has_desc,0.6895,0.69,0.0005,-0.336,0.7367,0.9590000000000001
