fold,representation,model,n_sub,n_val,best_params,best_val_AUC,all_candidates
2,tfidf_full,XGBoost,7914,1979,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6875,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6875}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6675}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6749}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6565}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6626}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6603}]"
2,tfidf_full,RandomForest,7914,1979,"{""min_samples_leaf"": 50}",0.6941,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6802}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6886}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6941}]"
2,finbert_pca50,Logistic,7914,1979,"{""C"": 1}",0.72,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7198}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7192}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7194}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7198}, {""params"": {""C"": 1}, ""val_AUC"": 0.72}]"
2,finbert_pca50,XGBoost,7914,1979,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7059,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7059}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6996}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6892}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6714}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6806}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6868}]"
2,finbert_pca50,RandomForest,7914,1979,"{""min_samples_leaf"": 50}",0.7111,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.7037}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.7069}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7111}]"
3,structured,Logistic,10939,2735,"{""C"": 0.01}",0.6918,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.6918}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.6915}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.6908}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.6898}, {""params"": {""C"": 1}, ""val_AUC"": 0.6898}]"
3,structured,XGBoost,10939,2735,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6962,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6962}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6869}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6916}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6772}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6818}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6823}]"
3,structured,RandomForest,10939,2735,"{""min_samples_leaf"": 10}",0.6987,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6987}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6953}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6956}]"
3,tfidf_full,Logistic,10939,2735,"{""C"": 0.1}",0.693,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.6919}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.6928}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.693}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.6919}, {""params"": {""C"": 1}, ""val_AUC"": 0.6909}]"
3,tfidf_full,XGBoost,10939,2735,"{""max_depth"": 6, ""learning_rate"": 0.05}",0.6957,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6925}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6885}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6936}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6841}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6957}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6772}]"
3,tfidf_full,RandomForest,10939,2735,"{""min_samples_leaf"": 20}",0.6896,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6888}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6896}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.686}]"
3,finbert_pca50,Logistic,10939,2735,"{""C"": 0.01}",0.6894,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.6894}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.6886}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.6876}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.6867}, {""params"": {""C"": 1}, ""val_AUC"": 0.6865}]"
3,finbert_pca50,XGBoost,10939,2735,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7018,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7018}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6868}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6926}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6846}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6877}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.684}]"
3,finbert_pca50,RandomForest,10939,2735,"{""min_samples_leaf"": 10}",0.704,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.704}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.7016}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6998}]"
4,structured,Logistic,14532,3633,"{""C"": 0.01}",0.7076,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7076}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7068}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7063}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7057}, {""params"": {""C"": 1}, ""val_AUC"": 0.7056}]"
