fold,representation,model,n_train,n_test,n_defaults,n_features,best_params,AUC,PR_AUC,Brier,GINI
6,tfidf_full,RandomForest,29671,2190,406,19175,"{""min_samples_leaf"": 10}",0.6732,0.3115,0.2228,0.3463
6,finbert_pca50,Logistic,29671,2190,406,144,"{""C"": 0.01}",0.6812,0.306,0.2545,0.3624
6,finbert_pca50,XGBoost,29671,2190,406,144,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6864,0.3295,0.2402,0.3728
6,finbert_pca50,RandomForest,29671,2190,406,144,"{""min_samples_leaf"": 50}",0.678,0.3187,0.2164,0.356
7,structured,Logistic,36786,2781,413,93,"{""C"": 0.01}",0.7002,0.2911,0.2195,0.4003
7,structured,XGBoost,36786,2781,413,93,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7048,0.3006,0.2115,0.4096
7,structured,RandomForest,36786,2781,413,93,"{""min_samples_leaf"": 10}",0.691,0.2773,0.1603,0.3819
7,tfidf_full,Logistic,36786,2781,413,21576,"{""C"": 1}",0.7041,0.2926,0.2203,0.4081
7,tfidf_full,XGBoost,36786,2781,413,21576,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.697,0.2852,0.2153,0.394
7,tfidf_full,RandomForest,36786,2781,413,21576,"{""min_samples_leaf"": 10}",0.6783,0.2647,0.2096,0.3567
7,finbert_pca50,Logistic,36786,2781,413,144,"{""C"": 0.01}",0.7,0.2907,0.2181,0.4
7,finbert_pca50,XGBoost,36786,2781,413,144,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6957,0.2811,0.2067,0.3914
7,finbert_pca50,RandomForest,36786,2781,413,144,"{""min_samples_leaf"": 50}",0.6898,0.281,0.1874,0.3796
8,structured,Logistic,45976,3713,681,99,"{""C"": 0.03}",0.6857,0.3325,0.2615,0.3713
8,structured,XGBoost,45976,3713,681,99,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.6914,0.3339,0.237,0.3828
8,structured,RandomForest,45976,3713,681,99,"{""min_samples_leaf"": 20}",0.6832,0.3298,0.2118,0.3665
8,tfidf_full,Logistic,45976,3713,681,24456,"{""C"": 1}",0.691,0.3374,0.2578,0.382
8,tfidf_full,XGBoost,45976,3713,681,24456,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.6849,0.3329,0.2438,0.3697
8,tfidf_full,RandomForest,45976,3713,681,24456,"{""min_samples_leaf"": 20}",0.6788,0.3122,0.2421,0.3576
8,finbert_pca50,Logistic,45976,3713,681,150,"{""C"": 0.03}",0.6889,0.3344,0.261,0.3778
8,finbert_pca50,XGBoost,45976,3713,681,150,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6894,0.3329,0.2466,0.3787
8,finbert_pca50,RandomForest,45976,3713,681,150,"{""min_samples_leaf"": 20}",0.6823,0.3119,0.1953,0.3647
9,structured,Logistic,59483,5975,919,121,"{""C"": 0.1}",0.6996,0.2808,0.231,0.3992
9,structured,XGBoost,59483,5975,919,121,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7111,0.2952,0.2199,0.4221
9,structured,RandomForest,59483,5975,919,121,"{""min_samples_leaf"": 10}",0.7058,0.2942,0.1634,0.4117
9,tfidf_full,Logistic,59483,5975,919,29195,"{""C"": 1}",0.7017,0.2818,0.2281,0.4034
9,tfidf_full,XGBoost,59483,5975,919,29195,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7111,0.2972,0.2377,0.4221
9,tfidf_full,RandomForest,59483,5975,919,29195,"{""min_samples_leaf"": 20}",0.6942,0.2769,0.2386,0.3885
9,finbert_pca50,Logistic,59483,5975,919,172,"{""C"": 0.3}",0.7017,0.2824,0.2303,0.4033
9,finbert_pca50,XGBoost,59483,5975,919,172,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.707,0.2996,0.2248,0.4141
9,finbert_pca50,RandomForest,59483,5975,919,172,"{""min_samples_leaf"": 10}",0.6989,0.2785,0.1567,0.3979
10,structured,Logistic,77872,5970,893,124,"{""C"": 0.3}",0.6927,0.2885,0.2213,0.3853
10,structured,XGBoost,77872,5970,893,124,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6945,0.2925,0.2105,0.389
10,structured,RandomForest,77872,5970,893,124,"{""min_samples_leaf"": 20}",0.6941,0.2867,0.1712,0.3883
10,tfidf_full,Logistic,77872,5970,893,34442,"{""C"": 1}",0.6958,0.2925,0.2195,0.3916
10,tfidf_full,XGBoost,77872,5970,893,34442,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6923,0.289,0.2177,0.3846
10,tfidf_full,RandomForest,77872,5970,893,34442,"{""min_samples_leaf"": 10}",0.6905,0.281,0.2265,0.3809
10,finbert_pca50,Logistic,77872,5970,893,175,"{""C"": 0.3}",0.6949,0.2968,0.221,0.3898
10,finbert_pca50,XGBoost,77872,5970,893,175,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6958,0.2973,0.2108,0.3916
10,finbert_pca50,RandomForest,77872,5970,893,175,"{""min_samples_leaf"": 10}",0.6916,0.281,0.1461,0.3831
11,structured,Logistic,98111,8184,1164,126,"{""C"": 0.1}",0.6917,0.2513,0.2297,0.3835
11,structured,XGBoost,98111,8184,1164,126,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6945,0.265,0.2229,0.389
11,structured,RandomForest,98111,8184,1164,126,"{""min_samples_leaf"": 50}",0.6898,0.2584,0.2013,0.3795
11,tfidf_full,Logistic,98111,8184,1164,39335,"{""C"": 1}",0.696,0.2559,0.2278,0.3919
11,tfidf_full,XGBoost,98111,8184,1164,39335,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6909,0.261,0.2267,0.3819
11,tfidf_full,RandomForest,98111,8184,1164,39335,"{""min_samples_leaf"": 10}",0.6866,0.2607,0.2265,0.3731
11,finbert_pca50,Logistic,98111,8184,1164,177,"{""C"": 1}",0.6955,0.2548,0.229,0.3909
11,finbert_pca50,XGBoost,98111,8184,1164,177,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.694,0.2641,0.2141,0.3881
11,finbert_pca50,RandomForest,98111,8184,1164,177,"{""min_samples_leaf"": 50}",0.6899,0.2607,0.1968,0.3797
12,structured,Logistic,125865,10802,1739,126,"{""C"": 0.3}",0.7037,0.2957,0.2301,0.4073
12,structured,XGBoost,125865,10802,1739,126,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.7052,0.3039,0.2252,0.4105
12,structured,RandomForest,125865,10802,1739,126,"{""min_samples_leaf"": 20}",0.7009,0.3,0.182,0.4018
12,tfidf_full,Logistic,125865,10802,1739,44362,"{""C"": 1}",0.7065,0.2962,0.2295,0.413
12,tfidf_full,XGBoost,125865,10802,1739,44362,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.7043,0.3011,0.2311,0.4086
12,tfidf_full,RandomForest,125865,10802,1739,44362,"{""min_samples_leaf"": 10}",0.6904,0.2875,0.2318,0.3807
12,finbert_pca50,Logistic,125865,10802,1739,177,"{""C"": 0.3}",0.7055,0.2973,0.2302,0.411
12,finbert_pca50,XGBoost,125865,10802,1739,177,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.7049,0.3,0.2223,0.4098
12,finbert_pca50,RandomForest,125865,10802,1739,177,"{""min_samples_leaf"": 20}",0.6992,0.298,0.179,0.3984
13,structured,Logistic,161023,12846,2007,127,"{""C"": 0.1}",0.6946,0.2801,0.232,0.3892
13,structured,XGBoost,161023,12846,2007,127,"{""max_depth"": 3, ""learning_rate"": 0.1}",0.6971,0.2829,0.2277,0.3942
13,structured,RandomForest,161023,12846,2007,127,"{""min_samples_leaf"": 20}",0.6909,0.2732,0.182,0.3819
13,tfidf_full,Logistic,161023,12846,2007,49734,"{""C"": 1}",0.6964,0.2805,0.2316,0.3928
13,tfidf_full,XGBoost,161023,12846,2007,49734,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.6948,0.2781,0.2301,0.3896
13,tfidf_full,RandomForest,161023,12846,2007,49734,"{""min_samples_leaf"": 10}",0.6813,0.2694,0.2313,0.3626
13,finbert_pca50,Logistic,161023,12846,2007,178,"{""C"": 0.1}",0.6968,0.2859,0.2318,0.3937
13,finbert_pca50,XGBoost,161023,12846,2007,178,"{""max_depth"": 4, ""learning_rate"": 0.05}",0.6967,0.2826,0.2274,0.3933
13,finbert_pca50,RandomForest,161023,12846,2007,178,"{""min_samples_leaf"": 20}",0.6914,0.2763,0.1786,0.3828
14,structured,Logistic,202442,14845,2263,127,"{""C"": 0.03}",0.7,0.2824,0.2213,0.3999
14,structured,XGBoost,202442,14845,2263,127,"{""max_depth"": 3, ""learning_rate"": 0.1}",0.706,0.2891,0.216,0.412
14,structured,RandomForest,202442,14845,2263,127,"{""min_samples_leaf"": 20}",0.7034,0.2883,0.1723,0.4068
14,tfidf_full,Logistic,202442,14845,2263,55156,"{""C"": 0.03}",0.7026,0.2853,0.2192,0.4053
14,tfidf_full,XGBoost,202442,14845,2263,55156,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7035,0.2859,0.2201,0.407
14,tfidf_full,RandomForest,202442,14845,2263,55156,"{""min_samples_leaf"": 10}",0.6971,0.2808,0.2267,0.3941
14,finbert_pca50,Logistic,202442,14845,2263,178,"{""C"": 0.03}",0.7007,0.2849,0.2217,0.4015
14,finbert_pca50,XGBoost,202442,14845,2263,178,"{""max_depth"": 3, ""learning_rate"": 0.1}",0.7055,0.2914,0.2167,0.411
14,finbert_pca50,RandomForest,202442,14845,2263,178,"{""min_samples_leaf"": 50}",0.7028,0.2861,0.1935,0.4056
