Term,Type,Document_Frequency,Distress
manage,Unigram,1458,0
sell,Unigram,1451,0
care,Unigram,1444,0
date,Unigram,1438,0
quickly,Unigram,1436,0
thank help,Bigram,1433,0
thank add,Bigram,1431,0
payment credit,Bigram,1425,0
steady,Unigram,1409,0
cut,Unigram,1403,0
large,Unigram,1397,0
process,Unigram,1391,0
project,Unigram,1390,0
set,Unigram,1381,0
multiple,Unigram,1372,0
add payoff,Bigram,1363,0
hello,Unigram,1362,0
spend,Unigram,1357,0
minimum payment,Bigram,1351,0
payment lower,Bigram,1351,0
right,Unigram,1347,0
borrow,Unigram,1343,0
need consolidate,Bigram,1341,0
auto,Unigram,1337,0
graduate,Unigram,1332,0
different,Unigram,1328,0
major,Unigram,1308,0
property,Unigram,1302,0
fee,Unigram,1301,0
card monthly,Bigram,1285,0
card make,Bigram,1280,0
think,Unigram,1278,0
excellent credit,Bigram,1276,0
early,Unigram,1273,0
card like,Bigram,1265,0
quicker,Unigram,1256,0
run,Unigram,1254,0
debit,Unigram,1253,0
card use,Bigram,1240,0
love,Unigram,1230,0
consolidation credit,Bigram,1229,0
like credit,Bigram,1228,0
advance,Unigram,1222,0
finally,Unigram,1210,0
reason,Unigram,1208,0
half,Unigram,1196,0
add purpose,Bigram,1194,0
add fund,Bigram,1192,0
add work,Bigram,1192,0
change,Unigram,1183,0
payment make,Bigram,1180,0
support,Unigram,1177,0
consolidation add,Bigram,1176,0
situation,Unigram,1174,0
incur,Unigram,1173,0
roof,Unigram,1166,0
market,Unigram,1152,0
try consolidate,Bigram,1151,0
unexpected,Unigram,1150,1
service,Unigram,1149,0
daughter,Unigram,1147,0
hop,Unigram,1143,0
payment add,Bigram,1141,0
rest,Unigram,1140,0
add hello,Bigram,1131,0
career,Unigram,1121,0
grow,Unigram,1118,0
short,Unigram,1116,0
utility,Unigram,1114,0
child,Unigram,1110,0
open,Unigram,1107,0
away,Unigram,1102,0
plus,Unigram,1099,0
lender,Unigram,1097,0
state,Unigram,1096,0
vacation,Unigram,1094,0
consolidate lower,Bigram,1092,0
bathroom,Unigram,1091,0
raise,Unigram,1091,0
best,Unigram,1089,0
begin,Unigram,1071,0
better rate,Bigram,1065,0
obligation,Unigram,1065,0
dollar,Unigram,1060,0
intend,Unigram,1053,0
add request,Bigram,1037,0
issue,Unigram,1035,0
week,Unigram,1035,0
accumulate,Unigram,1031,0
