Term,Type,Document_Frequency,Distress
really need,Bigram,293,0
research,Unigram,293,0
upcoming,Unigram,293,0
year just,Bigram,293,0
original,Unigram,292,0
add reduce,Bigram,291,0
card accumulate,Bigram,291,0
plan year,Bigram,291,0
story add,Bigram,291,0
time year,Bigram,291,0
transportation,Unigram,291,0
year company,Bigram,291,0
make life,Bigram,289,0
non,Unigram,289,0
year help,Bigram,289,0
car insurance,Bigram,288,0
holiday,Unigram,288,0
lump sum,Bigram,288,0
use home,Bigram,288,0
anticipate,Unigram,287,0
cheaper,Unigram,287,0
com,Unigram,287,0
reduction,Unigram,286,0
unemployed,Unigram,286,1
add business,Bigram,285,0
add great,Bigram,285,0
add wife,Bigram,285,0
card better,Bigram,285,0
divorce,Unigram,285,1
frame,Unigram,285,0
discover card,Bigram,284,0
home add,Bigram,284,0
money save,Bigram,284,0
post,Unigram,284,0
supply,Unigram,284,0
class,Unigram,283,0
end date,Bigram,283,0
improvement add,Bigram,283,0
new year,Bigram,283,0
consolidation home,Bigram,282,0
older,Unigram,282,0
prove,Unigram,282,0
question thank,Bigram,282,0
renovate,Unigram,282,0
truly,Unigram,282,0
card look,Bigram,281,0
fargo,Unigram,281,0
grateful,Unigram,281,0
attend,Unigram,280,0
like lower,Bigram,280,0
stable work,Bigram,280,0
thank opportunity,Bigram,280,0
want rid,Bigram,280,0
winter,Unigram,280,0
make home,Bigram,279,0
software,Unigram,279,0
previously,Unigram,278,0
time credit,Bigram,278,0
doesn,Unigram,277,0
instal,Unigram,277,0
outside,Unigram,277,0
teacher,Unigram,277,0
use card,Bigram,277,0
january,Unigram,276,0
june,Unigram,276,0
credit union,Bigram,275,0
exist lend,Bigram,275,0
boat,Unigram,274,0
current monthly,Bigram,274,0
dent,Unigram,274,0
engagement ring,Bigram,274,0
quick,Unigram,274,0
misc,Unigram,273,0
add family,Bigram,272,0
backyard,Unigram,272,0
grind,Unigram,272,0
regular,Unigram,272,0
lead,Unigram,271,0
payment account,Bigram,271,0
relief,Unigram,271,0
relocation,Unigram,271,0
company work,Bigram,269,0
card single,Bigram,268,0
citibank,Unigram,268,0
delinquent,Unigram,268,1
estimate,Unigram,268,0
saving account,Bigram,268,0
consolidate easy,Bigram,267,0
delinquency,Unigram,267,1
forever,Unigram,267,0
late miss,Bigram,267,0
stable company,Bigram,267,0
add combine,Bigram,266,0
confident,Unigram,266,0
doctor,Unigram,266,0
add employ,Bigram,265,0
peace,Unigram,265,0
job security,Bigram,264,0
expire,Unigram,263,0
payment rate,Bigram,263,0
purchase house,Bigram,263,0
choice,Unigram,262,0
consolidate card,Bigram,262,0
fit,Unigram,262,0
free credit,Bigram,262,0
free month,Bigram,262,0
pocket,Unigram,262,0
seriously,Unigram,262,0
status,Unigram,262,0
add simply,Bigram,261,0
april,Unigram,261,0
balance high,Bigram,261,0
period time,Bigram,261,0
responsible person,Bigram,261,0
electric,Unigram,260,0
pride,Unigram,260,0
quality,Unigram,260,0
tree,Unigram,260,0
allow save,Bigram,258,0
credit good,Bigram,258,0
credit time,Bigram,258,0
organize,Unigram,258,0
really appreciate,Bigram,258,0
sick,Unigram,258,1
thank lend,Bigram,258,0
use higher,Bigram,258,0
card cut,Bigram,257,0
card low,Bigram,257,0
honest,Unigram,257,0
likely,Unigram,257,0
plan free,Bigram,257,0
success,Unigram,257,0
cell phone,Bigram,256,0
public,Unigram,256,0
replacement,Unigram,256,0
thank fund,Bigram,256,0
despite,Unigram,255,0
time work,Bigram,254,0
breathe,Unigram,253,0
expense credit,Bigram,253,0
grad,Unigram,253,0
maintenance,Unigram,253,0
master degree,Bigram,253,0
mention,Unigram,253,0
payment current,Bigram,253,0
road,Unigram,253,0
roughly,Unigram,253,0
sign,Unigram,253,0
train,Unigram,253,0
year good,Bigram,253,0
august,Unigram,252,0
dollar month,Bigram,252,0
energy,Unigram,252,0
near future,Bigram,252,0
pre,Unigram,252,0
tunnel,Unigram,252,0
add couple,Bigram,251,0
december,Unigram,251,0
grocery,Unigram,251,0
payment work,Bigram,251,0
design,Unigram,250,0
help achieve,Bigram,250,0
march,Unigram,250,0
need make,Bigram,250,0
payment life,Bigram,250,0
teach,Unigram,250,0
graduate college,Bigram,249,0
look lower,Bigram,249,0
miss late,Bigram,249,0
operate,Unigram,249,0
partner,Unigram,249,0
time frame,Bigram,249,0
add wed,Bigram,248,0
payment want,Bigram,248,0
consistent,Unigram,247,0
depot,Unigram,247,0
path,Unigram,247,0
slowly,Unigram,247,0
wish consolidate,Bigram,247,0
aside,Unigram,246,0
extra cash,Bigram,246,0
income ratio,Bigram,246,0
light end,Bigram,246,0
little extra,Bigram,246,0
purchase use,Bigram,246,0
serve,Unigram,246,0
time late,Bigram,246,0
like thank,Bigram,245,0
month make,Bigram,245,0
rate currently,Bigram,245,0
roll,Unigram,245,0
fico,Unigram,244,0
payment reduce,Bigram,244,0
quickly possible,Bigram,244,0
rate help,Bigram,244,0
reasonable rate,Bigram,244,0
time consideration,Bigram,244,0
want lower,Bigram,244,0
definitely,Unigram,243,0
dependable,Unigram,243,0
allow consolidate,Bigram,242,0
sound,Unigram,242,0
home equity,Bigram,241,0
month year,Bigram,241,0
time just,Bigram,241,0
anymore,Unigram,240,0
card easy,Bigram,240,0
home purchase,Bigram,240,0
automatic,Unigram,239,0
home depot,Bigram,239,0
loss,Unigram,239,0
remain credit,Bigram,239,0
asset,Unigram,238,0
cover expense,Bigram,238,0
end tunnel,Bigram,238,0
time time,Bigram,238,0
add close,Bigram,237,0
rsquo,Unigram,237,0
currently make,Bigram,236,0
intention,Unigram,236,0
intrest rate,Bigram,236,0
add hop,Bigram,235,0
legal,Unigram,235,0
little bite,Bigram,235,0
payment free,Bigram,235,0
payment good,Bigram,235,0
bank account,Bigram,234,0
month instead,Bigram,234,0
payment able,Bigram,234,0
advertise,Unigram,233,0
current lend,Bigram,233,0
development,Unigram,233,0
drop,Unigram,233,0
especially,Unigram,233,0
guy,Unigram,233,0
sight,Unigram,233,0
title,Unigram,233,0
bath,Unigram,232,0
card cancel,Bigram,232,0
eliminate high,Bigram,232,0
end year,Bigram,232,0
initial,Unigram,232,0
like add,Bigram,232,0
monthly credit,Bigram,232,0
need high,Bigram,232,0
priority,Unigram,232,0
remodel kitchen,Bigram,232,0
repair home,Bigram,232,0
add excellent,Bigram,231,0
visit,Unigram,231,0
year use,Bigram,231,0
bankruptcy,Unigram,230,1
consistently,Unigram,230,0
want able,Bigram,230,0
add late,Bigram,229,0
appreciate consideration,Bigram,229,0
credit payment,Bigram,229,0
like able,Bigram,229,0
like payment,Bigram,229,0
like payoff,Bigram,229,0
wall,Unigram,229,0
want thank,Bigram,229,0
agree,Unigram,228,0
cabinet,Unigram,228,0
financial obligation,Bigram,228,0
jump,Unigram,228,0
make month,Bigram,228,0
new house,Bigram,228,0
payment car,Bigram,228,0
revenue,Unigram,228,0
year need,Bigram,228,0
fail,Unigram,227,0
involve,Unigram,227,0
primarily,Unigram,227,0
probably,Unigram,227,0
rate make,Bigram,227,0
slow,Unigram,227,0
want add,Bigram,227,0
year late,Bigram,227,0
card incur,Bigram,226,0
desire,Unigram,226,0
employ time,Bigram,226,0
intend use,Bigram,226,0
add reason,Bigram,225,0
add remodel,Bigram,225,0
fully fund,Bigram,225,0
medical credit,Bigram,225,0
payment stable,Bigram,225,0
peer,Unigram,225,0
really help,Bigram,225,0
really like,Bigram,225,0
separate,Unigram,225,0
agency,Unigram,224,0
extend,Unigram,224,0
rack,Unigram,224,0
add card,Bigram,223,0
demand,Unigram,223,0
finance charge,Bigram,223,0
payment job,Bigram,223,0
penalty,Unigram,223,0
settle,Unigram,223,0
improvement home,Bigram,222,0
patio,Unigram,222,0
payment minimum,Bigram,222,0
time monthly,Bigram,222,0
tool,Unigram,222,0
twice,Unigram,222,0
commitment,Unigram,221,0
furnace,Unigram,221,0
little help,Bigram,221,0
make time,Bigram,221,0
rate like,Bigram,221,0
consolidate revolve,Bigram,220,0
expense add,Bigram,220,0
just monthly,Bigram,220,0
lose job,Bigram,220,0
material,Unigram,220,0
plumb,Unigram,220,0
recession,Unigram,220,1
stick,Unigram,220,0
higher apr,Bigram,219,0
mainly,Unigram,219,0
refinance high,Bigram,219,0
tile,Unigram,219,0
account add,Bigram,218,0
add tire,Bigram,218,0
rat like,Bigram,218,0
house need,Bigram,217,0
make year,Bigram,217,0
procedure,Unigram,217,0
rate year,Bigram,217,0
recently purchase,Bigram,217,0
rent utility,Bigram,217,0
save future,Bigram,217,0
september,Unigram,217,0
swim,Unigram,217,0
card purchase,Bigram,216,0
help greatly,Bigram,216,0
manageable payment,Bigram,216,0
new business,Bigram,216,0
october,Unigram,216,0
peace mind,Bigram,216,0
principle,Unigram,216,0
reserve,Unigram,216,0
smart,Unigram,216,0
time make,Bigram,216,0
different credit,Bigram,215,0
file,Unigram,215,0
general,Unigram,215,0
hard time,Bigram,215,0
add debit,Bigram,214,0
card charge,Bigram,214,0
consolidate small,Bigram,214,0
develop,Unigram,214,0
directly,Unigram,214,0
leak,Unigram,214,0
payment lend,Bigram,214,0
want payment,Bigram,214,0
greater,Unigram,213,0
month just,Bigram,213,0
month time,Bigram,213,0
piece,Unigram,213,0
brother,Unigram,212,0
entertainment,Unigram,212,0
fund help,Bigram,212,0
job good,Bigram,212,0
license,Unigram,212,0
maybe,Unigram,212,0
possibly,Unigram,212,0
rate save,Bigram,212,0
tough,Unigram,212,0
card bank,Bigram,211,0
fix monthly,Bigram,211,0
god,Unigram,211,0
highly,Unigram,211,0
job make,Bigram,210,0
occur,Unigram,210,0
description,Unigram,209,0
easy monthly,Bigram,209,0
exceed,Unigram,209,0
hear,Unigram,209,0
helpful,Unigram,209,0
industry year,Bigram,209,0
institution,Unigram,209,0
negative,Unigram,209,0
null add,Bigram,209,0
active,Unigram,208,0
direct,Unigram,208,0
minimum monthly,Bigram,208,0
spring,Unigram,208,0
add eliminate,Bigram,207,0
emergency fund,Bigram,207,0
equal,Unigram,207,0
like refinance,Bigram,207,0
mail,Unigram,207,0
need home,Bigram,207,0
payment easier,Bigram,207,0
special,Unigram,207,0
spread,Unigram,207,0
unexpected medical,Bigram,207,0
year look,Bigram,207,0
year monthly,Bigram,207,0
add replace,Bigram,206,0
need extra,Bigram,206,0
organization,Unigram,206,0
payment better,Bigram,206,0
california,Unigram,205,0
card late,Bigram,205,0
fund thank,Bigram,205,0
intrest credit,Bigram,205,0
rate allow,Bigram,205,0
restaurant,Unigram,205,0
rat add,Bigram,204,0
single monthly,Bigram,204,0
true,Unigram,204,0
year month,Bigram,204,0
card money,Bigram,203,0
consolidate help,Bigram,203,0
consolidate single,Bigram,203,0
senior,Unigram,203,0
thank look,Bigram,203,0
want payoff,Bigram,203,0
excellent payment,Bigram,202,0
income tax,Bigram,202,0
late credit,Bigram,202,0
oppose,Unigram,202,0
profitable,Unigram,202,0
rate high,Bigram,202,0
seven,Unigram,202,0
student credit,Bigram,202,0
time minimum,Bigram,202,0
card stable,Bigram,201,0
clothe,Unigram,201,0
cycle,Unigram,201,0
season,Unigram,201,0
venture,Unigram,201,0
able credit,Bigram,200,0
easier manage,Bigram,200,0
free thank,Bigram,200,0
month rent,Bigram,200,0
rat make,Bigram,200,0
reduce payment,Bigram,200,0
combine payment,Bigram,199,0
solution,Unigram,199,0
target,Unigram,199,0
technology,Unigram,199,0
trailer,Unigram,199,0
circumstance,Unigram,198,0
cushion,Unigram,198,0
daily,Unigram,198,0
florida,Unigram,198,0
job time,Bigram,198,0
play,Unigram,198,0
track record,Bigram,198,0
write,Unigram,198,0
york,Unigram,198,0
add rid,Bigram,197,0
better credit,Bigram,197,0
consolidate account,Bigram,197,0
determine,Unigram,197,0
fund purchase,Bigram,197,0
major credit,Bigram,197,0
new york,Bigram,197,0
pick,Unigram,197,0
rely,Unigram,197,0
time stable,Bigram,197,0
web,Unigram,197,0
add house,Bigram,196,0
form,Unigram,196,0
healthcare,Unigram,196,0
hot,Unigram,196,0
kill,Unigram,196,0
mba,Unigram,196,0
new car,Bigram,196,0
overtime,Unigram,196,0
want buy,Bigram,196,0
account close,Bigram,195,0
allow make,Bigram,195,0
college year,Bigram,195,0
consolidate couple,Bigram,195,0
credit credit,Bigram,195,0
minimal,Unigram,195,0
money high,Bigram,195,0
payment high,Bigram,195,0
steadily,Unigram,195,0
time like,Bigram,195,0
vary,Unigram,195,0
add unexpected,Bigram,194,0
card auto,Bigram,194,0
card current,Bigram,194,0
email,Unigram,194,0
affect,Unigram,193,0
clear credit,Bigram,193,0
extremely stable,Bigram,193,0
help reach,Bigram,193,0
add able,Bigram,192,0
compare,Unigram,192,0
consolidation higher,Bigram,192,0
dedicate,Unigram,192,0
gift,Unigram,192,0
instead multiple,Bigram,192,0
make improvement,Bigram,192,0
model,Unigram,192,0
poor,Unigram,192,0
raise credit,Bigram,192,0
start fresh,Bigram,192,0
add month,Bigram,191,0
position year,Bigram,191,0
swim pool,Bigram,191,0
wood,Unigram,191,0
year currently,Bigram,191,0
check account,Bigram,190,0
major purchase,Bigram,190,0
make easy,Bigram,190,0
add additional,Bigram,189,0
add ask,Bigram,189,0
consolidate save,Bigram,189,0
free add,Bigram,189,0
good income,Bigram,189,0
homeowner,Unigram,189,0
revolve account,Bigram,189,0
substantial,Unigram,189,0
accelerate,Unigram,188,0
additionally,Unigram,188,0
buy car,Bigram,188,0
card college,Bigram,188,0
dear,Unigram,188,0
great deal,Bigram,188,0
rental property,Bigram,188,0
stock,Unigram,188,0
value home,Bigram,188,0
current position,Bigram,187,0
grad school,Bigram,187,0
operation,Unigram,187,0
study,Unigram,187,0
work current,Bigram,187,0
budget month,Bigram,186,0
finish basement,Bigram,186,0
live mean,Bigram,186,0
money make,Bigram,186,0
payment home,Bigram,186,0
practice,Unigram,186,0
rise,Unigram,186,0
want start,Bigram,186,0
notice,Unigram,185,0
problem make,Bigram,185,0
pursue,Unigram,185,0
reflect,Unigram,185,0
simple payment,Bigram,185,0
slightly,Unigram,185,0
specific,Unigram,185,0
submit,Unigram,185,0
add major,Bigram,184,0
balance card,Bigram,184,0
month like,Bigram,184,0
add finish,Bigram,183,0
consolidate remain,Bigram,183,0
cut credit,Bigram,183,0
isn,Unigram,183,0
look purchase,Bigram,183,0
lot money,Bigram,183,0
moment,Unigram,183,0
money long,Bigram,183,0
month help,Bigram,183,0
really want,Bigram,183,0
year half,Bigram,183,0
bachelor,Unigram,182,0
bike,Unigram,182,0
club help,Bigram,182,0
completely free,Bigram,182,0
girlfriend,Unigram,182,0
good stable,Bigram,182,0
rate monthly,Bigram,182,0
add responsible,Bigram,181,0
amaze,Unigram,181,0
care credit,Bigram,181,0
payment consolidate,Bigram,181,0
sorry,Unigram,181,0
year term,Bigram,181,0
add second,Bigram,180,0
add vacation,Bigram,180,0
attorney,Unigram,180,0
lesson,Unigram,180,0
numerous,Unigram,180,0
trade,Unigram,180,0
work capital,Bigram,180,0
card remain,Bigram,179,0
ive,Unigram,179,0
originally,Unigram,179,0
sister,Unigram,179,0
town,Unigram,179,0
consult,Unigram,178,0
finance order,Bigram,178,0
grant,Unigram,178,0
heater,Unigram,178,0
plenty,Unigram,178,0
totally,Unigram,178,0
consolidate order,Bigram,177,0
exception,Unigram,177,0
free money,Bigram,177,0
healthy,Unigram,177,0
largest,Unigram,177,0
like just,Bigram,177,0
make credit,Bigram,177,0
profession,Unigram,177,0
sear,Unigram,177,0
year instead,Bigram,177,0
group,Unigram,176,0
national,Unigram,176,0
normal,Unigram,176,0
payoff higher,Bigram,176,0
able consolidate,Bigram,175,0
add build,Bigram,175,0
add marry,Bigram,175,0
car add,Bigram,175,0
credit balance,Bigram,175,0
fico score,Bigram,175,0
honeymoon,Unigram,175,0
make dent,Bigram,175,0
word,Unigram,175,0
army,Unigram,174,0
fell,Unigram,174,0
funeral,Unigram,174,1
good money,Bigram,174,0
help free,Bigram,174,0
history late,Bigram,174,0
hope help,Bigram,174,0
make progress,Bigram,174,0
mastercard,Unigram,174,0
montly,Unigram,174,0
question feel,Bigram,174,0
sufficient,Unigram,174,0
use proceed,Bigram,174,0
additional fund,Bigram,173,0
card minimum,Bigram,173,0
financial future,Bigram,173,0
financial goal,Bigram,173,0
help lower,Bigram,173,0
make sense,Bigram,173,0
net income,Bigram,173,0
team,Unigram,173,0
auto repair,Bigram,172,0
beautiful,Unigram,172,0
charge card,Bigram,172,0
electrical,Unigram,172,0
fund high,Bigram,172,0
refi,Unigram,172,0
approximately month,Bigram,171,0
consolidate multiple,Bigram,171,0
dog,Unigram,171,0
refinance lower,Bigram,171,0
generate,Unigram,170,0
great opportunity,Bigram,170,0
impact,Unigram,170,0
money buy,Bigram,170,0
money need,Bigram,170,0
payment miss,Bigram,170,0
rat card,Bigram,170,0
small home,Bigram,170,0
store card,Bigram,170,0
better financial,Bigram,169,0
debit consolidation,Bigram,169,0
different payment,Bigram,169,0
hard worker,Bigram,169,0
high school,Bigram,169,0
history time,Bigram,169,0
ill,Unigram,169,1
lower overall,Bigram,169,0
payment use,Bigram,169,0
power,Unigram,169,0
shorter time,Bigram,169,0
streamline,Unigram,169,0
work free,Bigram,169,0
year miss,Bigram,169,0
cover insurance,Bigram,168,0
end sight,Bigram,168,0
payment different,Bigram,168,0
previous lend,Bigram,168,0
rate offer,Bigram,168,0
restructure,Unigram,168,0
aid,Unigram,167,0
convenient,Unigram,167,0
depend,Unigram,167,0
driveway,Unigram,167,0
free cash,Bigram,167,0
goal year,Bigram,167,0
house add,Bigram,167,0
money leave,Bigram,167,0
need purchase,Bigram,167,0
past month,Bigram,167,0
raise rat,Bigram,167,0
redo,Unigram,167,0
seek consolidate,Bigram,167,0
traditional,Unigram,167,0
budget allow,Bigram,166,0
collection,Unigram,166,1
currently employ,Bigram,166,0
goal credit,Bigram,166,0
good investment,Bigram,166,0
income month,Bigram,166,0
november,Unigram,166,0
thousand dollar,Bigram,166,0
time good,Bigram,166,0
tremendously,Unigram,166,0
add note,Bigram,165,0
appreciate thank,Bigram,165,0
breathe room,Bigram,165,0
card buy,Bigram,165,0
card job,Bigram,165,0
employment year,Bigram,165,0
happy answer,Bigram,165,0
kitchen bathroom,Bigram,165,0
mark,Unigram,165,0
money add,Bigram,165,0
payment faster,Bigram,165,0
store credit,Bigram,165,0
variable,Unigram,165,0
consolidate reduce,Bigram,164,0
hole,Unigram,164,0
nearly year,Bigram,164,0
request credit,Bigram,164,0
work history,Bigram,164,0
balance add,Bigram,163,0
close card,Bigram,163,0
consolidation help,Bigram,163,0
credit limit,Bigram,163,0
fortune,Unigram,163,0
impossible,Unigram,163,0
info,Unigram,163,0
like purchase,Bigram,163,0
profile,Unigram,163,0
rate lend,Bigram,163,0
add pool,Bigram,162,0
allow credit,Bigram,162,0
card way,Bigram,162,0
convert,Unigram,162,0
cut card,Bigram,162,0
just buy,Bigram,162,0
mortgage car,Bigram,162,0
timely payment,Bigram,162,0
fair,Unigram,161,0
home renovation,Bigram,161,0
investor help,Bigram,161,0
make just,Bigram,161,0
time help,Bigram,161,0
wipe,Unigram,161,0
add attempt,Bigram,160,0
card leave,Bigram,160,0
certain,Unigram,160,0
comfortably,Unigram,160,0
relationship,Unigram,160,0
tax return,Bigram,160,0
time look,Bigram,160,0
time need,Bigram,160,0
weekend,Unigram,160,0
balance lower,Bigram,159,0
big bank,Bigram,159,0
car note,Bigram,159,0
card miss,Bigram,159,0
cover cost,Bigram,159,0
duty,Unigram,159,0
extremely high,Bigram,159,0
house payment,Bigram,159,0
knock,Unigram,159,0
save lot,Bigram,159,0
tight,Unigram,159,0
ultimately,Unigram,159,0
work stable,Bigram,159,0
younger,Unigram,159,0
add tax,Bigram,158,0
allow faster,Bigram,158,0
clean credit,Bigram,158,0
consolidate personal,Bigram,158,0
money thank,Bigram,158,0
prosper,Unigram,158,0
second lend,Bigram,158,0
yearly,Unigram,158,0
automatically,Unigram,157,0
bigger,Unigram,157,0
commercial,Unigram,157,0
consolidate free,Bigram,157,0
consolodate,Unigram,157,0
help faster,Bigram,157,0
money saving,Bigram,157,0
party,Unigram,157,0
pull,Unigram,157,0
add outstanding,Bigram,156,0
concentrate,Unigram,156,0
consider request,Bigram,156,0
credit late,Bigram,156,0
hesitate,Unigram,156,0
job company,Bigram,156,0
purpose credit,Bigram,156,0
remodel home,Bigram,156,0
sell house,Bigram,156,0
sit,Unigram,156,0
central,Unigram,155,0
college graduate,Bigram,155,0
lot credit,Bigram,155,0
plan month,Bigram,155,0
relatively,Unigram,155,0
similar,Unigram,155,0
sole,Unigram,155,0
speak,Unigram,155,0
try high,Bigram,155,0
wasn,Unigram,155,0
year free,Bigram,155,0
year payment,Bigram,155,0
apply consolidate,Bigram,154,0
club year,Bigram,154,0
end month,Bigram,154,0
invest far,Bigram,154,0
live home,Bigram,154,0
payment close,Bigram,154,0
property tax,Bigram,154,0
sincerely,Unigram,154,0
slate,Unigram,154,0
work credit,Bigram,154,0
year experience,Bigram,154,0
bank credit,Bigram,153,0
county,Unigram,153,0
credit add,Bigram,153,0
dad,Unigram,153,0
mid,Unigram,153,0
miscellaneous,Unigram,153,0
new window,Bigram,153,0
payment house,Bigram,153,0
purchase car,Bigram,153,0
versus,Unigram,153,0
account lower,Bigram,152,0
add receive,Bigram,152,0
address,Unigram,152,0
cancel credit,Bigram,152,0
card accrue,Bigram,152,0
eat,Unigram,152,0
low payment,Bigram,152,0
manageable monthly,Bigram,152,0
month allow,Bigram,152,0
officer,Unigram,152,0
production,Unigram,152,0
rate current,Bigram,152,0
resolve,Unigram,152,0
smaller payment,Bigram,152,0
add daughter,Bigram,151,0
close cost,Bigram,151,0
club offer,Bigram,151,0
correct,Unigram,151,0
goal consolidate,Bigram,151,0
investment property,Bigram,151,0
job just,Bigram,151,0
make mistake,Bigram,151,0
payment total,Bigram,151,0
plan make,Bigram,151,0
resource,Unigram,151,0
spend money,Bigram,151,0
try make,Bigram,151,0
use refinance,Bigram,151,0
adult,Unigram,150,0
card dept,Bigram,150,0
card goal,Bigram,150,0
consider fund,Bigram,150,0
furnish,Unigram,150,0
high payment,Bigram,150,0
income monthly,Bigram,150,0
need additional,Bigram,150,0
register,Unigram,150,0
repair car,Bigram,150,0
add balance,Bigram,149,0
add process,Bigram,149,0
business add,Bigram,149,0
center,Unigram,149,0
corporation,Unigram,149,0
home remodel,Bigram,149,0
low risk,Bigram,149,0
need cash,Bigram,149,0
reduce overall,Bigram,149,0
allow free,Bigram,148,0
cable internet,Bigram,148,0
chase credit,Bigram,148,0
health insurance,Bigram,148,0
home month,Bigram,148,0
immediate,Unigram,148,0
installation,Unigram,148,0
interst,Unigram,148,0
make possible,Bigram,148,0
manage finance,Bigram,148,0
monies,Unigram,148,0
peer peer,Bigram,148,0
ridiculous,Unigram,148,0
unforeseen,Unigram,148,1
add proceed,Bigram,147,0
contribution,Unigram,147,0
die,Unigram,147,0
field year,Bigram,147,0
future thank,Bigram,147,0
hurt,Unigram,147,0
just year,Bigram,147,0
month save,Bigram,147,0
new floor,Bigram,147,0
outstanding balance,Bigram,147,0
payment need,Bigram,147,0
payment new,Bigram,147,0
rate consolidate,Bigram,147,0
speed,Unigram,147,0
time want,Bigram,147,0
add borrow,Bigram,146,0
card improve,Bigram,146,0
club lower,Bigram,146,0
confidence,Unigram,146,0
consolidate smaller,Bigram,146,0
daughter wed,Bigram,146,0
february,Unigram,146,0
know question,Bigram,146,0
min payment,Bigram,146,0
need fix,Bigram,146,0
night,Unigram,146,0
stable career,Bigram,146,0
use remain,Bigram,146,0
weekly,Unigram,146,0
year great,Bigram,146,0
agreement,Unigram,145,0
begin save,Bigram,145,0
buyer,Unigram,145,0
close high,Bigram,145,0
credit make,Bigram,145,0
efficiently,Unigram,145,0
forget,Unigram,145,0
fuel,Unigram,145,0
home owner,Bigram,145,0
hurricane,Unigram,145,0
insurance cover,Bigram,145,0
need work,Bigram,145,0
new furniture,Bigram,145,0
payment end,Bigram,145,0
rate want,Bigram,145,0
rent car,Bigram,145,0
try lower,Bigram,145,0
unemployment,Unigram,145,1
card expense,Bigram,144,0
card lend,Bigram,144,0
dig,Unigram,144,0
fairly,Unigram,144,0
fix term,Bigram,144,0
graduation,Unigram,144,0
look high,Bigram,144,0
month plan,Bigram,144,0
month work,Bigram,144,0
save payment,Bigram,144,0
stable position,Bigram,144,0
add live,Bigram,143,0
enter,Unigram,143,0
financially stable,Bigram,143,0
fund add,Bigram,143,0
fund need,Bigram,143,0
help high,Bigram,143,0
like free,Bigram,143,0
payback,Unigram,143,0
tenure,Unigram,143,0
treatment,Unigram,143,0
year able,Bigram,143,0
year start,Bigram,143,0
add miss,Bigram,142,0
assistant,Unigram,142,0
buy use,Bigram,142,0
excess,Unigram,142,0
faster lower,Bigram,142,0
help appreciate,Bigram,142,0
hsbc,Unigram,142,0
make thing,Bigram,142,0
primary residence,Bigram,142,0
relieve,Unigram,142,0
substantially,Unigram,142,0
thats,Unigram,142,0
approval,Unigram,141,0
card new,Bigram,141,0
destroy,Unigram,141,1
extra payment,Bigram,141,0
kitchen remodel,Bigram,141,0
maxed,Unigram,141,0
payment fix,Bigram,141,0
payment look,Bigram,141,0
reward,Unigram,141,0
social,Unigram,141,0
boost,Unigram,140,0
expansion,Unigram,140,0
federal government,Bigram,140,0
foundation,Unigram,140,0
gainfully,Unigram,140,0
goal thank,Bigram,140,0
good payment,Bigram,140,0
lend tree,Bigram,140,0
live free,Bigram,140,0
look like,Bigram,140,0
look refinance,Bigram,140,0
money monthly,Bigram,140,0
money payment,Bigram,140,0
network,Unigram,140,0
payment great,Bigram,140,0
payment problem,Bigram,140,0
rat lower,Bigram,140,0
rebuild credit,Bigram,140,0
refuse,Unigram,140,0
tub,Unigram,140,0
want refinance,Bigram,140,0
club credit,Bigram,139,0
help reduce,Bigram,139,0
intent,Unigram,139,0
make great,Bigram,139,0
make happen,Bigram,139,0
rate faster,Bigram,139,0
stable time,Bigram,139,0
staff,Unigram,139,0
total payment,Bigram,139,0
card line,Bigram,138,0
card little,Bigram,138,0
commute,Unigram,138,0
couldn,Unigram,138,0
credit year,Bigram,138,0
engine,Unigram,138,0
exactly,Unigram,138,0
game,Unigram,138,0
like buy,Bigram,138,0
live room,Bigram,138,0
money time,Bigram,138,0
proceed use,Bigram,138,0
rat want,Bigram,138,0
add complete,Bigram,137,0
add cover,Bigram,137,0
balance transfer,Bigram,137,0
busy,Unigram,137,0
card fund,Bigram,137,0
charge credit,Bigram,137,0
effect,Unigram,137,0
god bless,Bigram,137,0
good make,Bigram,137,0
hello thank,Bigram,137,0
home thank,Bigram,137,0
hop consolidate,Bigram,137,0
minimum month,Bigram,137,0
pas away,Bigram,137,0
sell home,Bigram,137,0
transmission,Unigram,137,0
win win,Bigram,137,0
actual,Unigram,136,0
approach,Unigram,136,0
balance month,Bigram,136,0
card finance,Bigram,136,0
consolidate car,Bigram,136,0
current rate,Bigram,136,0
exterior,Unigram,136,0
help start,Bigram,136,0
honda,Unigram,136,0
order consolidate,Bigram,136,0
plan high,Bigram,136,0
prevent,Unigram,136,0
storm,Unigram,136,0
throw,Unigram,136,0
want close,Bigram,136,0
water heater,Bigram,136,0
wife work,Bigram,136,0
accord,Unigram,135,0
accumulate credit,Bigram,135,0
add finance,Bigram,135,0
add free,Bigram,135,0
current rat,Bigram,135,0
hardship,Unigram,135,1
like rid,Bigram,135,0
rat thank,Bigram,135,0
rate time,Bigram,135,0
repair house,Bigram,135,0
say thank,Bigram,135,0
statement,Unigram,135,0
texas,Unigram,135,0
able year,Bigram,134,0
counter,Unigram,134,0
couple high,Bigram,134,0
flexibility,Unigram,134,0
high account,Bigram,134,0
interior,Unigram,134,0
like start,Bigram,134,0
look buy,Bigram,134,0
month lower,Bigram,134,0
shape,Unigram,134,0
view,Unigram,134,0
