Term,Type,Document_Frequency
advance,Unigram,1222
finally,Unigram,1210
reason,Unigram,1208
half,Unigram,1196
add purpose,Bigram,1194
add fund,Bigram,1192
add work,Bigram,1192
change,Unigram,1183
payment make,Bigram,1180
support,Unigram,1177
consolidation add,Bigram,1176
situation,Unigram,1174
incur,Unigram,1173
roof,Unigram,1166
market,Unigram,1152
try consolidate,Bigram,1151
unexpected,Unigram,1150
service,Unigram,1149
daughter,Unigram,1147
hop,Unigram,1143
payment add,Bigram,1141
rest,Unigram,1140
add hello,Bigram,1131
career,Unigram,1121
grow,Unigram,1118
short,Unigram,1116
utility,Unigram,1114
child,Unigram,1110
open,Unigram,1107
away,Unigram,1102
plus,Unigram,1099
lender,Unigram,1097
state,Unigram,1096
vacation,Unigram,1094
consolidate lower,Bigram,1092
bathroom,Unigram,1091
raise,Unigram,1091
best,Unigram,1089
begin,Unigram,1071
better rate,Bigram,1065
obligation,Unigram,1065
dollar,Unigram,1060
intend,Unigram,1053
add request,Bigram,1037
issue,Unigram,1035
week,Unigram,1035
accumulate,Unigram,1031
far,Unigram,1028
card year,Bigram,1027
people,Unigram,1027
clear,Unigram,1026
financially,Unigram,1024
make monthly,Bigram,1022
period,Unigram,1019
let,Unigram,1017
second,Unigram,1015
look forward,Bigram,1012
room,Unigram,1008
seek,Unigram,1005
consolidate higher,Bigram,1001
card higher,Bigram,998
capital,Unigram,994
marry,Unigram,988
mean,Unigram,982
just need,Bigram,980
industry,Unigram,979
fund use,Bigram,977
son,Unigram,977
purchase home,Bigram,976
completely,Unigram,972
person,Unigram,972
value,Unigram,972
card account,Bigram,968
car payment,Bigram,966
say,Unigram,961
wish,Unigram,957
monthly expense,Bigram,950
repayment,Unigram,950
require,Unigram,949
add currently,Bigram,946
previous,Unigram,946
default,Unigram,943
add purchase,Bigram,933
null,Unigram,931
bring,Unigram,930
card company,Bigram,926
quot,Unigram,926
believe,Unigram,924
card want,Bigram,924
floor,Unigram,924
add refinance,Bigram,912
greatly,Unigram,911
salary,Unigram,910
smaller,Unigram,905
return,Unigram,903
refinance credit,Bigram,902
ahead,Unigram,899
report,Unigram,898
chase,Unigram,894
pool,Unigram,890
control,Unigram,889
lower payment,Bigram,887
check,Unigram,886
decide,Unigram,884
add higher,Bigram,881
tire,Unigram,873
big,Unigram,871
thank time,Bigram,869
fully,Unigram,866
bite,Unigram,864
note,Unigram,861
addition,Unigram,860
manageable,Unigram,857
consolidate monthly,Bigram,852
thank advance,Bigram,849
higher rat,Bigram,848
food,Unigram,845
reliable,Unigram,841
truck,Unigram,837
sale,Unigram,835
tell,Unigram,833
degree,Unigram,831
flow,Unigram,831
member,Unigram,830
solid,Unigram,830
time job,Bigram,828
stay,Unigram,825
upgrade,Unigram,824
timely,Unigram,821
credit rat,Bigram,809
payment instead,Bigram,808
discover,Unigram,805
focus,Unigram,805
afford,Unigram,803
obtain,Unigram,801
store,Unigram,801
medical expense,Bigram,799
card rat,Bigram,797
cash flow,Bigram,797
payment thank,Bigram,797
dream,Unigram,795
area,Unigram,792
card close,Bigram,792
experience,Unigram,791
payment year,Bigram,791
parent,Unigram,790
longer,Unigram,784
need credit,Bigram,783
improve credit,Bigram,782
professional,Unigram,782
win,Unigram,782
approximately,Unigram,781
gas,Unigram,781
card consolidate,Bigram,778
need help,Bigram,778
overall,Unigram,771
buy house,Bigram,770
expect,Unigram,770
card refinance,Bigram,769
approve,Unigram,766
year add,Bigram,765
extremely,Unigram,762
lendingclub,Unigram,760
assist,Unigram,759
payment history,Bigram,757
close account,Bigram,752
actually,Unigram,745
hold,Unigram,744
revolve credit,Bigram,744
reduce monthly,Bigram,743
ready,Unigram,742
step,Unigram,739
meet,Unigram,730
clean,Unigram,729
phone,Unigram,729
single payment,Bigram,728
field,Unigram,727
work hard,Bigram,727
intrest,Unigram,726
sure,Unigram,726
credit report,Bigram,719
work time,Bigram,719
easy payment,Bigram,716
simply,Unigram,716
stand,Unigram,716
current job,Bigram,714
year old,Bigram,712
add make,Bigram,710
enable,Unigram,710
cancel,Unigram,703
card just,Bigram,703
update,Unigram,703
deal,Unigram,701
maintain,Unigram,701
dental,Unigram,696
help consolidate,Bigram,695
thank consider,Bigram,694
card car,Bigram,693
reasonable,Unigram,693
result,Unigram,693
need money,Bigram,692
goal free,Bigram,691
record,Unigram,691
water,Unigram,691
answer,Unigram,690
card free,Bigram,690
card personal,Bigram,687
freedom,Unigram,685
add year,Bigram,684
employer year,Bigram,683
home repair,Bigram,683
friend,Unigram,681
use high,Bigram,680
follow,Unigram,679
equipment,Unigram,673
furniture,Unigram,673
health,Unigram,672
base,Unigram,671
security,Unigram,670
simple,Unigram,670
limit,Unigram,669
card medical,Bigram,668
option,Unigram,667
card credit,Bigram,666
recent,Unigram,663
husband,Unigram,662
make good,Bigram,662
card help,Bigram,660
risk,Unigram,660
add recently,Bigram,659
line credit,Bigram,659
master,Unigram,659
creditor,Unigram,658
easily,Unigram,658
economy,Unigram,658
add buy,Bigram,657
available,Unigram,656
start save,Bigram,655
household,Unigram,653
education,Unigram,652
list,Unigram,652
turn,Unigram,652
happy,Unigram,650
accrue,Unigram,649
achieve,Unigram,649
retirement,Unigram,647
add personal,Bigram,643
balance credit,Bigram,640
chance,Unigram,640
bad,Unigram,638
point,Unigram,638
card thank,Bigram,637
carry,Unigram,635
fund consolidate,Bigram,635
lower rat,Bigram,633
year thank,Bigram,631
story,Unigram,627
add new,Bigram,626
employee,Unigram,625
window,Unigram,625
establish,Unigram,624
money use,Bigram,624
rid credit,Bigram,623
feel free,Bigram,622
reach,Unigram,622
real,Unigram,617
fresh,Unigram,616
lose,Unigram,616
year plan,Bigram,616
america,Unigram,615
equity,Unigram,615
exist credit,Bigram,615
new home,Bigram,615
close credit,Bigram,614
hopefully,Unigram,613
apartment,Unigram,612
number,Unigram,612
hospital,Unigram,611
card time,Bigram,605
assistance,Unigram,603
motorcycle,Unigram,603
create,Unigram,602
important,Unigram,601
current credit,Bigram,599
expand,Unigram,599
payment monthly,Bigram,597
information,Unigram,593
surgery,Unigram,592
average,Unigram,591
card rate,Bigram,590
program,Unigram,588
add money,Bigram,586
owner,Unigram,585
credit account,Bigram,580
buy home,Bigram,578
add time,Bigram,575
home year,Bigram,574
like use,Bigram,572
remainder,Unigram,572
save month,Bigram,571
money credit,Bigram,570
simplify,Unigram,569
travel,Unigram,569
item,Unigram,566
summer,Unigram,566
add job,Bigram,565
earn,Unigram,565
fix rate,Bigram,565
help credit,Bigram,563
card month,Bigram,562
visa,Unigram,562
difficult,Unigram,559
just payment,Bigram,559
perfect,Unigram,559
mother,Unigram,558
work company,Bigram,557
excite,Unigram,556
paint,Unigram,556
steady job,Bigram,556
main,Unigram,554
kid,Unigram,553
