Term,Type,Document_Frequency
visit,Unigram,20
wasn,Unigram,20
year income,Bigram,20
year term,Bigram,20
aren,Unigram,19
breakdown,Unigram,19
buyer,Unigram,19
carpet,Unigram,19
collection,Unigram,19
college graduate,Bigram,19
consider request,Bigram,19
consolidate monthly,Bigram,19
corporate,Unigram,19
correct,Unigram,19
couldn,Unigram,19
count,Unigram,19
current payment,Bigram,19
debt able,Bigram,19
debt use,Bigram,19
debt work,Bigram,19
die,Unigram,19
don know,Bigram,19
equity home,Bigram,19
excellent payment,Bigram,19
exist credit,Bigram,19
expense pay,Bigram,19
fail,Unigram,19
finance charge,Bigram,19
florida,Unigram,19
gap,Unigram,19
grateful,Unigram,19
hear,Unigram,19
heloc,Unigram,19
help greatly,Bigram,19
hour week,Bigram,19
household expense,Bigram,19
initial,Unigram,19
inquiry,Unigram,19
insurance company,Bigram,19
intend use,Bigram,19
international,Unigram,19
original,Unigram,19
pay account,Bigram,19
pay consolidate,Bigram,19
pay use,Bigram,19
payment account,Bigram,19
payment good,Bigram,19
peace,Unigram,19
plan debt,Bigram,19
play,Unigram,19
plumb,Unigram,19
possibly,Unigram,19
production,Unigram,19
progress,Unigram,19
purchase use,Bigram,19
relationship,Unigram,19
relief,Unigram,19
request consolidate,Bigram,19
responsible pay,Bigram,19
settle,Unigram,19
settlement,Unigram,19
space,Unigram,19
steadily,Unigram,19
sufficient,Unigram,19
supervisor,Unigram,19
target,Unigram,19
treatment,Unigram,19
unexpected expense,Bigram,19
value home,Bigram,19
view,Unigram,19
way pay,Bigram,19
work history,Bigram,19
work stable,Bigram,19
year look,Bigram,19
year start,Bigram,19
able save,Bigram,18
accomplish,Unigram,18
accord,Unigram,18
additional question,Bigram,18
administration,Unigram,18
administrator,Unigram,18
annually,Unigram,18
birth,Unigram,18
card apr,Bigram,18
comfortably,Unigram,18
commute,Unigram,18
conservative,Unigram,18
corporation,Unigram,18
cover expense,Bigram,18
credit payment,Bigram,18
damage,Unigram,18
debt save,Bigram,18
debt start,Bigram,18
debt try,Bigram,18
develop,Unigram,18
don pay,Bigram,18
eat,Unigram,18
exactly,Unigram,18
expect pay,Bigram,18
expense add,Bigram,18
fully pay,Bigram,18
fund far,Bigram,18
garage,Unigram,18
good investment,Bigram,18
health insurance,Bigram,18
help family,Bigram,18
highly,Unigram,18
history pay,Bigram,18
honor,Unigram,18
hope help,Bigram,18
income job,Bigram,18
increase rat,Bigram,18
instal,Unigram,18
job stability,Bigram,18
lend money,Bigram,18
live home,Bigram,18
live mean,Bigram,18
locate,Unigram,18
lower credit,Bigram,18
maybe,Unigram,18
month plan,Bigram,18
month use,Bigram,18
monthly credit,Bigram,18
negative,Unigram,18
operation,Unigram,18
pay half,Bigram,18
pay little,Bigram,18
pay personal,Bigram,18
payment home,Bigram,18
payment minimum,Bigram,18
payment try,Bigram,18
peer peer,Bigram,18
pension,Unigram,18
physician,Unigram,18
plant,Unigram,18
plus year,Bigram,18
police,Unigram,18
proof,Unigram,18
pursue,Unigram,18
really help,Bigram,18
reduce monthly,Bigram,18
refund,Unigram,18
register nurse,Bigram,18
rely,Unigram,18
reserve,Unigram,18
simplify,Unigram,18
slow,Unigram,18
spring,Unigram,18
start work,Bigram,18
student credit,Bigram,18
tech,Unigram,18
tenure,Unigram,18
texas,Unigram,18
timely payment,Bigram,18
total month,Bigram,18
trailer,Unigram,18
tree,Unigram,18
use home,Bigram,18
wage,Unigram,18
washington,Unigram,18
worthy,Unigram,18
account close,Bigram,17
active,Unigram,17
amaze,Unigram,17
anymore,Unigram,17
army,Unigram,17
ask help,Bigram,17
aware,Unigram,17
balance apr,Bigram,17
balance card,Bigram,17
bath,Unigram,17
breathe,Unigram,17
central,Unigram,17
check credit,Bigram,17
closer,Unigram,17
collect,Unigram,17
commitment,Unigram,17
completely debt,Bigram,17
driver,Unigram,17
duty,Unigram,17
excess,Unigram,17
executive,Unigram,17
expense mortgage,Bigram,17
explain,Unigram,17
finish pay,Bigram,17
food gas,Bigram,17
fortunate,Unigram,17
fortune,Unigram,17
good money,Bigram,17
good stable,Bigram,17
grad school,Bigram,17
grade,Unigram,17
graduation,Unigram,17
heat,Unigram,17
history late,Bigram,17
hole,Unigram,17
honeymoon,Unigram,17
house add,Bigram,17
hsbc,Unigram,17
investor help,Bigram,17
joint,Unigram,17
kill,Unigram,17
lock,Unigram,17
monthly pay,Bigram,17
pay home,Bigram,17
payment stable,Bigram,17
potential investor,Bigram,17
profession,Unigram,17
raise rate,Bigram,17
receive promotion,Bigram,17
recently promote,Bigram,17
repay debt,Bigram,17
reward,Unigram,17
road,Unigram,17
slightly,Unigram,17
spend money,Bigram,17
tight,Unigram,17
unite,Unigram,17
wouldn,Unigram,17
year debt,Bigram,17
year payment,Bigram,17
accident,Unigram,16
accountant,Unigram,16
add little,Bigram,16
aid,Unigram,16
bachelor degree,Bigram,16
beautiful,Unigram,16
breathe room,Bigram,16
budget allow,Bigram,16
burden,Unigram,16
capable,Unigram,16
car expense,Bigram,16
car note,Bigram,16
card expense,Bigram,16
card purchase,Bigram,16
card work,Bigram,16
concentrate,Unigram,16
consist,Unigram,16
consolidate current,Bigram,16
consolidation credit,Bigram,16
cpa,Unigram,16
credit balance,Bigram,16
credit credit,Bigram,16
debt look,Bigram,16
desire,Unigram,16
discretionary,Unigram,16
division,Unigram,16
electricity,Unigram,16
environment,Unigram,16
estimate,Unigram,16
fairly,Unigram,16
food entertainment,Bigram,16
frame,Unigram,16
fresh start,Bigram,16
help debt,Bigram,16
help help,Bigram,16
help people,Bigram,16
helpful,Unigram,16
home purchase,Bigram,16
hope pay,Bigram,16
house market,Bigram,16
house pay,Bigram,16
independent,Unigram,16
instead pay,Bigram,16
job add,Bigram,16
life add,Bigram,16
look purchase,Bigram,16
low monthly,Bigram,16
low rate,Bigram,16
mastercard,Unigram,16
month job,Bigram,16
month monthly,Bigram,16
monthly basis,Bigram,16
monthly minimum,Bigram,16
new position,Bigram,16
new window,Bigram,16
occur,Unigram,16
path,Unigram,16
pay end,Bigram,16
pay extra,Bigram,16
pay help,Bigram,16
pay plan,Bigram,16
payback,Unigram,16
payment able,Bigram,16
payment house,Bigram,16
payoff high,Bigram,16
personally,Unigram,16
phone car,Bigram,16
pool,Unigram,16
position year,Bigram,16
problem payment,Bigram,16
promptly,Unigram,16
provider,Unigram,16
rat card,Bigram,16
rate increase,Bigram,16
recently pay,Bigram,16
reduce rate,Bigram,16
rent payment,Bigram,16
request pay,Bigram,16
respect,Unigram,16
role,Unigram,16
roommate,Unigram,16
school pay,Bigram,16
separate,Unigram,16
seven,Unigram,16
shop,Unigram,16
slowly,Unigram,16
switch,Unigram,16
thankful,Unigram,16
total debt,Bigram,16
transition,Unigram,16
unemployment,Unigram,16
use debt,Bigram,16
utilization,Unigram,16
weekly,Unigram,16
wise,Unigram,16
work hour,Bigram,16
yard,Unigram,16
year excellent,Bigram,16
year experience,Bigram,16
