fold,Model,Arm_A,Arm_B,AUC_A,AUC_B,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
5,RandomForest,Structured,Structured+TFIDF_chi2,0.715,0.7162,0.0012,-0.337,0.7362,-0.0081,0.0058
5,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7078,0.7162,0.0084,-1.544,0.1226,-0.019,0.0023
6,Logistic,Structured,Structured+TFIDF_full,0.6703,0.6758,0.0055,-1.94,0.0524,-0.011,0.0001
6,Logistic,Structured,Structured+TFIDF_chi2,0.6703,0.6707,0.0003,-0.284,0.7762,-0.0025,0.0018
6,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6758,0.6707,-0.0052,2.04,0.0413,0.0002,0.0101
6,XGBoost,Structured,Structured+TFIDF_full,0.6806,0.668,-0.0126,1.613,0.1067,-0.0027,0.0279
6,XGBoost,Structured,Structured+TFIDF_chi2,0.6806,0.6779,-0.0028,0.491,0.6235,-0.0083,0.0138
6,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.668,0.6779,0.0098,-1.491,0.136,-0.0228,0.0031
6,RandomForest,Structured,Structured+TFIDF_full,0.6743,0.6698,-0.0045,0.625,0.5319,-0.0096,0.0186
6,RandomForest,Structured,Structured+TFIDF_chi2,0.6743,0.6729,-0.0014,0.452,0.6516,-0.0046,0.0073
6,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6698,0.6729,0.0031,-0.516,0.6062,-0.015,0.0088
7,Logistic,Structured,Structured+TFIDF_full,0.7009,0.7047,0.0038,-1.34,0.1802,-0.0093,0.0017
7,Logistic,Structured,Structured+TFIDF_chi2,0.7009,0.7029,0.0021,-1.125,0.2608,-0.0057,0.0015
7,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7047,0.7029,-0.0017,0.867,0.3858,-0.0022,0.0056
7,XGBoost,Structured,Structured+TFIDF_full,0.7002,0.6989,-0.0013,0.201,0.8407,-0.0116,0.0142
7,XGBoost,Structured,Structured+TFIDF_chi2,0.7002,0.7023,0.0021,-0.369,0.7121,-0.0132,0.009
7,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6989,0.7023,0.0034,-0.818,0.4134,-0.0116,0.0048
7,RandomForest,Structured,Structured+TFIDF_full,0.6907,0.6775,-0.0132,2.072,0.0383,0.0007,0.0257
7,RandomForest,Structured,Structured+TFIDF_chi2,0.6907,0.6846,-0.0061,1.603,0.1089,-0.0014,0.0135
7,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6775,0.6846,0.0071,-1.82,0.0688,-0.0148,0.0005
8,Logistic,Structured,Structured+TFIDF_full,0.6855,0.6909,0.0054,-2.639,0.0083,-0.0094,-0.0014
8,Logistic,Structured,Structured+TFIDF_chi2,0.6855,0.6866,0.0011,-0.804,0.4216,-0.0039,0.0016
8,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6909,0.6866,-0.0043,2.834,0.0046,0.0013,0.0072
8,XGBoost,Structured,Structured+TFIDF_full,0.6916,0.6843,-0.0073,1.289,0.1973,-0.0038,0.0184
8,XGBoost,Structured,Structured+TFIDF_chi2,0.6916,0.6887,-0.0029,0.606,0.5448,-0.0065,0.0124
8,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6843,0.6887,0.0044,-1.307,0.1912,-0.011,0.0022
8,RandomForest,Structured,Structured+TFIDF_full,0.6831,0.6771,-0.0061,1.182,0.2373,-0.004,0.0162
8,RandomForest,Structured,Structured+TFIDF_chi2,0.6831,0.6796,-0.0036,1.192,0.2332,-0.0023,0.0095
8,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6771,0.6796,0.0025,-0.721,0.4712,-0.0093,0.0043
9,Logistic,Structured,Structured+TFIDF_full,0.6995,0.7016,0.0021,-1.224,0.221,-0.0054,0.0012
9,Logistic,Structured,Structured+TFIDF_chi2,0.6995,0.698,-0.0015,1.072,0.2836,-0.0012,0.0042
9,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7016,0.698,-0.0035,3.324,0.0009,0.0015,0.0056
9,XGBoost,Structured,Structured+TFIDF_full,0.6972,0.7117,0.0144,-3.009,0.0026,-0.0238,-0.005
9,XGBoost,Structured,Structured+TFIDF_chi2,0.6972,0.7158,0.0186,-4.489,0.0,-0.0267,-0.0105
9,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7117,0.7158,0.0041,-1.521,0.1281,-0.0095,0.0012
9,RandomForest,Structured,Structured+TFIDF_full,0.7043,0.6918,-0.0125,3.006,0.0026,0.0043,0.0206
9,RandomForest,Structured,Structured+TFIDF_chi2,0.7043,0.6981,-0.0062,2.846,0.0044,0.0019,0.0105
9,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6918,0.6981,0.0063,-2.124,0.0337,-0.0121,-0.0005
10,Logistic,Structured,Structured+TFIDF_full,0.6922,0.6955,0.0033,-2.167,0.0302,-0.0064,-0.0003
10,Logistic,Structured,Structured+TFIDF_chi2,0.6922,0.6933,0.0011,-1.066,0.2865,-0.0032,0.0009
10,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6955,0.6933,-0.0022,2.006,0.0449,0.0001,0.0044
10,XGBoost,Structured,Structured+TFIDF_full,0.6945,0.6925,-0.002,0.591,0.5546,-0.0045,0.0085
10,XGBoost,Structured,Structured+TFIDF_chi2,0.6945,0.6952,0.0008,-0.275,0.7837,-0.0062,0.0047
10,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6925,0.6952,0.0027,-1.316,0.1881,-0.0068,0.0013
10,RandomForest,Structured,Structured+TFIDF_full,0.6926,0.6885,-0.0041,0.952,0.3409,-0.0044,0.0126
10,RandomForest,Structured,Structured+TFIDF_chi2,0.6926,0.6945,0.0019,-0.993,0.3208,-0.0057,0.0019
10,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6885,0.6945,0.006,-1.891,0.0586,-0.0123,0.0002
11,Logistic,Structured,Structured+TFIDF_full,0.6917,0.6958,0.004,-2.915,0.0036,-0.0067,-0.0013
11,Logistic,Structured,Structured+TFIDF_chi2,0.6917,0.693,0.0012,-1.288,0.1976,-0.0031,0.0006
11,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6958,0.693,-0.0028,2.729,0.0063,0.0008,0.0048
11,XGBoost,Structured,Structured+TFIDF_full,0.6967,0.6914,-0.0053,1.986,0.047,0.0001,0.0105
11,XGBoost,Structured,Structured+TFIDF_chi2,0.6967,0.6924,-0.0042,1.771,0.0765,-0.0005,0.0089
11,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6914,0.6924,0.0011,-0.647,0.5178,-0.0043,0.0022
11,RandomForest,Structured,Structured+TFIDF_full,0.6909,0.6842,-0.0068,2.022,0.0432,0.0002,0.0133
11,RandomForest,Structured,Structured+TFIDF_chi2,0.6909,0.6898,-0.0012,0.725,0.4684,-0.002,0.0043
11,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6842,0.6898,0.0056,-2.219,0.0265,-0.0105,-0.0007
12,Logistic,Structured,Structured+TFIDF_full,0.7036,0.7064,0.0028,-2.522,0.0117,-0.005,-0.0006
12,Logistic,Structured,Structured+TFIDF_chi2,0.7036,0.7045,0.0009,-1.091,0.2753,-0.0024,0.0007
12,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7064,0.7045,-0.002,2.522,0.0117,0.0004,0.0035
12,XGBoost,Structured,Structured+TFIDF_full,0.7055,0.7047,-0.0007,0.406,0.6849,-0.0029,0.0044
12,XGBoost,Structured,Structured+TFIDF_chi2,0.7055,0.7046,-0.0008,0.489,0.625,-0.0025,0.0041
12,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7047,0.7046,-0.0001,0.065,0.9478,-0.0021,0.0023
12,RandomForest,Structured,Structured+TFIDF_full,0.6999,0.6876,-0.0122,4.547,0.0,0.007,0.0175
12,RandomForest,Structured,Structured+TFIDF_chi2,0.6999,0.6969,-0.003,2.446,0.0144,0.0006,0.0054
12,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6876,0.6969,0.0092,-4.599,0.0,-0.0132,-0.0053
13,Logistic,Structured,Structured+TFIDF_full,0.6946,0.6963,0.0017,-1.718,0.0858,-0.0037,0.0002
13,Logistic,Structured,Structured+TFIDF_chi2,0.6946,0.6952,0.0006,-0.823,0.4103,-0.002,0.0008
13,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6963,0.6952,-0.0011,1.725,0.0846,-0.0002,0.0024
13,XGBoost,Structured,Structured+TFIDF_full,0.696,0.6947,-0.0012,0.737,0.4611,-0.002,0.0044
13,XGBoost,Structured,Structured+TFIDF_chi2,0.696,0.695,-0.0009,0.616,0.5377,-0.0021,0.004
13,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6947,0.695,0.0003,-0.273,0.7845,-0.0022,0.0016
13,RandomForest,Structured,Structured+TFIDF_full,0.6895,0.6775,-0.012,4.556,0.0,0.0068,0.0172
13,RandomForest,Structured,Structured+TFIDF_chi2,0.6895,0.6874,-0.002,1.697,0.0897,-0.0003,0.0044
13,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6775,0.6874,0.01,-5.093,0.0,-0.0138,-0.0061
14,Logistic,Structured,Structured+TFIDF_full,0.6997,0.7027,0.0029,-2.853,0.0043,-0.005,-0.0009
14,Logistic,Structured,Structured+TFIDF_chi2,0.6997,0.7008,0.0011,-1.584,0.1131,-0.0024,0.0003
14,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7027,0.7008,-0.0019,2.418,0.0156,0.0004,0.0034
14,XGBoost,Structured,Structured+TFIDF_full,0.7056,0.7046,-0.0011,0.861,0.3893,-0.0014,0.0035
14,XGBoost,Structured,Structured+TFIDF_chi2,0.7056,0.7047,-0.001,0.848,0.3966,-0.0013,0.0032
14,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7046,0.7047,0.0001,-0.137,0.8911,-0.0018,0.0016
14,RandomForest,Structured,Structured+TFIDF_full,0.704,0.6946,-0.0094,3.976,0.0001,0.0048,0.0141
14,RandomForest,Structured,Structured+TFIDF_chi2,0.704,0.7019,-0.0021,2.045,0.0408,0.0001,0.0042
14,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6946,0.7019,0.0073,-4.107,0.0,-0.0107,-0.0038
