Feature,n_folds_selected,mean_rank_when_selected,mean_importance_share,mean_chi2_score,Model,pct_folds_selected
txt:help,14,17.79,0.006,4.59,Logistic,100.0
txt:ring,14,18.21,0.0058,5.51,Logistic,100.0
txt:ups,14,20.79,0.0055,5.74,Logistic,100.0
txt:engagement,14,25.29,0.0052,6.45,Logistic,100.0
txt:engagement ring,14,42.93,0.0042,5.18,Logistic,100.0
txt:apr,13,9.54,0.0077,5.2,Logistic,92.9
txt:pool,13,25.62,0.0092,11.85,Logistic,92.9
txt:mta,13,65.38,0.004,10.44,Logistic,92.9
txt:motorcycle,13,108.62,0.0028,3.75,Logistic,92.9
txt:help foot,13,293.77,0.0013,4.41,Logistic,92.9
txt:trailer,12,53.92,0.0036,2.72,Logistic,85.7
txt:excellent credit,12,104.58,0.0026,3.43,Logistic,85.7
txt:pay problem,12,149.25,0.002,3.19,Logistic,85.7
txt:buster,12,160.75,0.002,3.53,Logistic,85.7
txt:payday,12,219.08,0.0018,3.31,Logistic,85.7
txt:college,11,2.45,0.0119,4.57,Logistic,78.6
txt:university,11,6.73,0.0105,6.33,Logistic,78.6
txt:walmart,11,45.09,0.0043,5.33,Logistic,78.6
txt:harbor,11,73.91,0.0031,4.01,Logistic,78.6
txt:good payer,11,127.82,0.0022,7.58,Logistic,78.6
txt:refinance,11,168.18,0.0024,5.39,Logistic,78.6
txt:rate,10,8.6,0.0095,9.73,Logistic,71.4
txt:steel,10,22.3,0.0051,4.08,Logistic,71.4
txt:salary,10,33.3,0.0047,3.0,Logistic,71.4
txt:consulting,10,37.4,0.0044,2.98,Logistic,71.4
txt:fresh,10,62.6,0.0035,5.5,Logistic,71.4
txt:refi,10,70.5,0.0034,3.65,Logistic,71.4
txt:state postal,10,89.1,0.0028,3.41,Logistic,71.4
txt:trustworthy,10,120.8,0.0024,2.18,Logistic,71.4
txt:casino,10,133.5,0.0026,3.03,Logistic,71.4
txt:payment debt,10,150.4,0.0021,3.22,Logistic,71.4
txt:verizon communication,10,222.2,0.0016,4.52,Logistic,71.4
txt:know happy,10,278.7,0.0015,3.56,Logistic,71.4
txt:financial debt,10,328.2,0.0012,4.0,Logistic,71.4
txt:state highway,10,334.6,0.0011,3.63,Logistic,71.4
txt:card consolidation,9,14.22,0.0076,6.42,Logistic,64.3
txt:credit,9,25.11,0.0082,2.88,Logistic,64.3
txt:debt consolidation,9,30.78,0.0069,12.79,Logistic,64.3
txt:lockheed,9,53.0,0.0037,3.42,Logistic,64.3
txt:wedding,9,53.33,0.004,3.75,Logistic,64.3
txt:united nation,9,54.11,0.0037,7.37,Logistic,64.3
txt:learning,9,61.11,0.0032,3.38,Logistic,64.3
txt:fresh start,9,69.56,0.0032,6.14,Logistic,64.3
txt:starbucks,9,71.11,0.0035,8.91,Logistic,64.3
txt:marriott,9,72.78,0.0031,3.16,Logistic,64.3
txt:home care,9,78.78,0.0029,4.21,Logistic,64.3
txt:peace,9,93.44,0.0027,3.24,Logistic,64.3
txt:wanna,9,107.11,0.0024,6.39,Logistic,64.3
txt:relief,9,114.89,0.0035,4.66,Logistic,64.3
txt:consilidate,9,121.0,0.0023,4.99,Logistic,64.3
txt:hyundai,9,122.89,0.0023,4.99,Logistic,64.3
txt:vacation vacation,9,126.89,0.0023,3.15,Logistic,64.3
txt:marriott international,9,127.22,0.0022,4.97,Logistic,64.3
txt:jeweler,9,131.0,0.0022,3.82,Logistic,64.3
txt:debt buster,9,179.11,0.0018,4.44,Logistic,64.3
txt:jcpenney,9,179.22,0.002,3.59,Logistic,64.3
txt:suitable,9,260.11,0.0015,4.09,Logistic,64.3
txt:month know,9,382.56,0.001,2.59,Logistic,64.3
txt:debt hospital,9,386.0,0.0009,5.68,Logistic,64.3
txt:engineering,8,18.88,0.0055,3.59,Logistic,57.1
txt:card,8,35.62,0.0065,3.75,Logistic,57.1
txt:debt,8,42.88,0.0049,8.25,Logistic,57.1
txt:credit card,8,43.25,0.0058,3.61,Logistic,57.1
txt:com,8,51.12,0.0036,3.32,Logistic,57.1
txt:high intrest,8,68.38,0.0032,3.18,Logistic,57.1
txt:mother,8,101.5,0.0025,3.59,Logistic,57.1
txt:debt relief,8,103.75,0.0028,2.78,Logistic,57.1
txt:sheetmetal,8,107.12,0.0024,9.22,Logistic,57.1
txt:mind,8,109.88,0.0026,2.92,Logistic,57.1
txt:senate,8,118.12,0.0023,8.23,Logistic,57.1
txt:lausd,8,139.0,0.0022,3.68,Logistic,57.1
txt:nordstrom,8,139.25,0.0023,2.79,Logistic,57.1
txt:inter,8,148.75,0.0019,5.88,Logistic,57.1
txt:consolidation,8,155.25,0.0028,6.71,Logistic,57.1
txt:secure solution,8,162.5,0.0018,5.04,Logistic,57.1
txt:personnel,8,177.12,0.0018,3.11,Logistic,57.1
txt:debt verizon,8,216.75,0.0018,4.96,Logistic,57.1
txt:learning center,8,220.0,0.0016,3.78,Logistic,57.1
txt:pioneer,8,229.0,0.0017,2.76,Logistic,57.1
txt:sarah,8,243.25,0.0015,6.46,Logistic,57.1
txt:enhance,8,249.38,0.0016,3.14,Logistic,57.1
txt:marketing group,8,267.0,0.0013,3.46,Logistic,57.1
txt:wet,8,269.75,0.0013,3.61,Logistic,57.1
txt:happy new,8,281.88,0.0014,3.5,Logistic,57.1
txt:used debt,8,308.88,0.0014,2.57,Logistic,57.1
txt:card refinance,8,309.0,0.0014,3.91,Logistic,57.1
txt:card major,8,345.62,0.0011,3.21,Logistic,57.1
txt:patrick,8,349.25,0.0012,3.62,Logistic,57.1
txt:husband pay,8,350.5,0.0012,2.55,Logistic,57.1
txt:help don,8,379.75,0.001,2.68,Logistic,57.1
txt:money asap,8,424.25,0.0009,3.4,Logistic,57.1
txt:build business,8,470.88,0.0007,4.51,Logistic,57.1
txt:null freedom,8,520.25,0.0006,3.65,Logistic,57.1
txt:card payoff,7,25.43,0.005,2.98,Logistic,50.0
txt:intrest,7,27.0,0.0046,3.14,Logistic,50.0
txt:baby,7,33.86,0.004,2.52,Logistic,50.0
txt:bike,7,41.29,0.004,2.14,Logistic,50.0
txt:metal,7,48.43,0.0038,4.07,Logistic,50.0
txt:lockheed martin,7,55.43,0.0036,3.9,Logistic,50.0
txt:resort,7,59.57,0.0034,4.3,Logistic,50.0
txt:pay pay,7,65.43,0.0035,3.32,Logistic,50.0
txt:trump,7,66.86,0.0031,10.17,Logistic,50.0
txt:verizon,7,67.86,0.0036,4.17,Logistic,50.0
txt:matter,7,71.29,0.003,2.35,Logistic,50.0
txt:personal,7,77.0,0.0038,4.31,Logistic,50.0
txt:card refi,7,82.14,0.0036,4.38,Logistic,50.0
txt:frank,7,86.57,0.0029,3.64,Logistic,50.0
txt:paid consolidation,7,92.14,0.0027,3.81,Logistic,50.0
txt:hair,7,97.43,0.0026,5.41,Logistic,50.0
txt:payment instead,7,107.43,0.0033,5.65,Logistic,50.0
txt:lower monthly,7,114.29,0.0025,2.79,Logistic,50.0
txt:consolidation pacific,7,116.29,0.0025,4.49,Logistic,50.0
txt:help money,7,122.71,0.0025,3.95,Logistic,50.0
txt:debt consolidated,7,153.43,0.0022,3.29,Logistic,50.0
txt:work school,7,160.29,0.0021,3.19,Logistic,50.0
txt:garden,7,162.71,0.0024,2.5,Logistic,50.0
txt:thats,7,164.14,0.0019,2.59,Logistic,50.0
txt:medical medical,7,180.43,0.002,3.21,Logistic,50.0
txt:debt walmart,7,181.71,0.0016,5.79,Logistic,50.0
txt:piece mind,7,186.0,0.002,2.4,Logistic,50.0
txt:breathing,7,190.0,0.0018,2.26,Logistic,50.0
txt:payment new,7,193.0,0.0019,2.99,Logistic,50.0
txt:myloan,7,198.43,0.0019,3.52,Logistic,50.0
txt:home upgrade,7,198.71,0.0018,3.43,Logistic,50.0
txt:guidance,7,200.86,0.0016,5.74,Logistic,50.0
txt:hallmark,7,204.86,0.0015,5.72,Logistic,50.0
txt:atleast,7,207.43,0.0018,4.26,Logistic,50.0
txt:carol,7,219.43,0.0015,3.8,Logistic,50.0
txt:debt general,7,224.0,0.0015,4.77,Logistic,50.0
txt:tube,7,227.43,0.0014,5.28,Logistic,50.0
txt:new equipment,7,235.0,0.0014,3.31,Logistic,50.0
txt:going divorce,7,242.14,0.0017,2.16,Logistic,50.0
txt:dont,7,244.29,0.0018,1.78,Logistic,50.0
txt:chip,7,248.71,0.0014,3.29,Logistic,50.0
txt:ace,7,252.86,0.0016,3.3,Logistic,50.0
txt:life saver,7,258.86,0.0015,4.7,Logistic,50.0
txt:plane ticket,7,261.29,0.0015,3.13,Logistic,50.0
txt:merchandising,7,262.14,0.0015,3.43,Logistic,50.0
txt:printer,7,272.71,0.0012,5.45,Logistic,50.0
txt:disposal,7,274.57,0.0014,3.86,Logistic,50.0
txt:paying rent,7,276.71,0.0013,3.13,Logistic,50.0
txt:servicing,7,279.43,0.0014,2.58,Logistic,50.0
txt:month chase,7,285.86,0.0014,2.87,Logistic,50.0
txt:future investor,7,290.0,0.0014,2.52,Logistic,50.0
txt:swoop,7,324.14,0.0011,3.79,Logistic,50.0
txt:convenience store,7,325.29,0.0011,6.65,Logistic,50.0
txt:simple payment,7,329.57,0.0013,3.23,Logistic,50.0
txt:consolidation needed,7,334.71,0.0012,3.02,Logistic,50.0
txt:cod,7,344.43,0.0011,2.38,Logistic,50.0
txt:good value,7,346.14,0.0011,3.57,Logistic,50.0
txt:declared bankruptcy,7,350.57,0.0012,1.93,Logistic,50.0
txt:pseg,7,358.29,0.0011,4.32,Logistic,50.0
txt:repair damage,7,369.57,0.001,4.05,Logistic,50.0
txt:command,7,383.71,0.001,1.95,Logistic,50.0
txt:plan remain,7,384.43,0.0009,3.82,Logistic,50.0
txt:john debt,7,388.29,0.001,2.95,Logistic,50.0
txt:creates,7,418.0,0.0009,2.71,Logistic,50.0
txt:income employment,7,468.43,0.0008,3.28,Logistic,50.0
txt:odds,7,475.43,0.0007,3.01,Logistic,50.0
txt:income yearly,7,499.14,0.0007,2.82,Logistic,50.0
txt:currently,6,10.67,0.0088,3.09,Logistic,42.9
txt:travel,6,34.0,0.0045,2.35,Logistic,42.9
txt:lower rate,6,49.83,0.0042,9.13,Logistic,42.9
txt:swimming,6,50.5,0.0037,5.06,Logistic,42.9
txt:god,6,52.33,0.0035,2.65,Logistic,42.9
txt:mail,6,56.17,0.0034,2.31,Logistic,42.9
txt:swimming pool,6,56.83,0.0036,4.83,Logistic,42.9
txt:debt help,6,57.33,0.0034,2.92,Logistic,42.9
txt:postal service,6,59.0,0.0037,5.09,Logistic,42.9
txt:heart,6,61.83,0.0033,2.93,Logistic,42.9
txt:worker,6,63.83,0.0033,1.74,Logistic,42.9
txt:backyard,6,65.33,0.0032,4.21,Logistic,42.9
txt:freight,6,71.67,0.0033,3.69,Logistic,42.9
txt:consolidation california,6,79.83,0.0029,4.74,Logistic,42.9
txt:ralph,6,82.17,0.003,5.4,Logistic,42.9
txt:pizza,6,82.33,0.0032,3.21,Logistic,42.9
txt:standard,6,85.83,0.0038,3.76,Logistic,42.9
txt:revenue,6,86.5,0.0029,1.55,Logistic,42.9
txt:agent,6,90.83,0.0028,2.03,Logistic,42.9
txt:improvement home,6,95.17,0.0033,2.49,Logistic,42.9
txt:obtain,6,95.83,0.0028,1.84,Logistic,42.9
txt:stress,6,97.0,0.0029,2.28,Logistic,42.9
txt:bistro,6,107.67,0.0023,6.44,Logistic,42.9
txt:westin,6,110.17,0.0023,10.34,Logistic,42.9
txt:dyncorp,6,112.0,0.0024,3.63,Logistic,42.9
txt:new business,6,112.33,0.0023,4.87,Logistic,42.9
txt:mountain,6,115.17,0.0029,2.29,Logistic,42.9
txt:boat,6,118.5,0.0022,3.32,Logistic,42.9
txt:cosolidation,6,120.5,0.0024,2.65,Logistic,42.9
txt:refinance credit,6,123.5,0.0026,2.41,Logistic,42.9
txt:intrest credit,6,127.33,0.0023,2.14,Logistic,42.9
txt:foot,6,128.67,0.0025,1.85,Logistic,42.9
txt:level communication,6,133.33,0.0022,4.35,Logistic,42.9
txt:dst,6,137.83,0.0023,2.98,Logistic,42.9
txt:cape,6,140.17,0.0019,3.15,Logistic,42.9
txt:forum,6,145.0,0.0022,2.91,Logistic,42.9
txt:personal expense,6,146.0,0.0023,3.47,Logistic,42.9
txt:radiology,6,150.17,0.0022,3.8,Logistic,42.9
txt:debt consoldation,6,154.33,0.0019,3.54,Logistic,42.9
txt:excalibur,6,162.67,0.0017,8.17,Logistic,42.9
txt:internal revenue,6,163.17,0.0022,1.85,Logistic,42.9
txt:revenue service,6,163.17,0.0022,1.85,Logistic,42.9
txt:surface,6,167.17,0.0019,3.6,Logistic,42.9
txt:debt ups,6,168.17,0.002,4.87,Logistic,42.9
txt:toyota,6,175.33,0.0024,2.71,Logistic,42.9
txt:hertz,6,176.67,0.0018,4.02,Logistic,42.9
txt:prospect,6,176.83,0.0021,3.43,Logistic,42.9
txt:beaver,6,178.67,0.0018,3.19,Logistic,42.9
txt:consoladate,6,188.83,0.0017,3.6,Logistic,42.9
txt:famous,6,190.0,0.0017,5.93,Logistic,42.9
txt:atomics,6,190.33,0.0018,5.0,Logistic,42.9
txt:general atomics,6,190.33,0.0018,5.0,Logistic,42.9
txt:scripps,6,191.0,0.0016,3.3,Logistic,42.9
txt:cochran,6,194.5,0.0016,4.94,Logistic,42.9
txt:little breathing,6,194.67,0.0019,3.18,Logistic,42.9
txt:mobility,6,195.17,0.0018,2.73,Logistic,42.9
txt:sheet metal,6,199.0,0.0018,3.72,Logistic,42.9
txt:pool pool,6,200.83,0.0016,3.49,Logistic,42.9
txt:morse,6,204.67,0.0016,3.66,Logistic,42.9
txt:consolidation shaw,6,208.33,0.0015,5.47,Logistic,42.9
txt:consolidation walmart,6,208.5,0.0017,5.41,Logistic,42.9
txt:solomon,6,208.5,0.0015,5.31,Logistic,42.9
txt:kendall,6,210.67,0.0016,4.13,Logistic,42.9
txt:ann,6,214.83,0.0017,3.39,Logistic,42.9
txt:meal,6,215.0,0.0017,2.45,Logistic,42.9
txt:consolidation hope,6,215.67,0.0014,7.79,Logistic,42.9
txt:burger king,6,221.67,0.0014,4.05,Logistic,42.9
txt:pretty good,6,227.17,0.0018,2.11,Logistic,42.9
txt:maintained good,6,227.83,0.0016,4.48,Logistic,42.9
txt:consolidation ups,6,232.33,0.0017,3.45,Logistic,42.9
txt:lower intrest,6,234.67,0.0017,2.44,Logistic,42.9
txt:history paid,6,236.17,0.0017,2.84,Logistic,42.9
txt:pay hospital,6,239.0,0.0015,3.06,Logistic,42.9
txt:fix thing,6,244.0,0.0014,8.83,Logistic,42.9
txt:consolidation vision,6,244.33,0.0014,6.21,Logistic,42.9
txt:gaining,6,250.17,0.0016,3.69,Logistic,42.9
txt:personal debt,6,254.67,0.0016,1.45,Logistic,42.9
txt:debt consalidation,6,266.0,0.0015,3.6,Logistic,42.9
txt:superstore,6,268.5,0.0013,5.26,Logistic,42.9
txt:going vacation,6,284.0,0.0012,3.86,Logistic,42.9
txt:baking,6,284.67,0.0012,4.02,Logistic,42.9
txt:vaction,6,287.0,0.0013,3.18,Logistic,42.9
txt:consolidation kaiser,6,293.33,0.0014,3.08,Logistic,42.9
txt:airtran,6,299.33,0.0012,6.23,Logistic,42.9
txt:tarp,6,299.83,0.0012,3.88,Logistic,42.9
txt:heritage bank,6,302.33,0.0013,5.39,Logistic,42.9
txt:witch,6,302.67,0.0013,2.56,Logistic,42.9
txt:temporarily,6,305.0,0.0013,2.74,Logistic,42.9
txt:paralegal,6,307.33,0.0013,2.34,Logistic,42.9
txt:gca,6,310.0,0.0011,4.95,Logistic,42.9
txt:car service,6,316.83,0.0011,3.55,Logistic,42.9
txt:looking debt,6,333.0,0.0012,1.69,Logistic,42.9
txt:audio visual,6,334.83,0.0011,3.07,Logistic,42.9
txt:new start,6,335.33,0.0011,2.61,Logistic,42.9
txt:year account,6,343.17,0.0012,3.86,Logistic,42.9
txt:debt closing,6,344.5,0.001,3.04,Logistic,42.9
txt:federal gov,6,347.83,0.0012,2.28,Logistic,42.9
txt:bellevue,6,363.5,0.0011,4.31,Logistic,42.9
txt:pay book,6,364.5,0.001,3.31,Logistic,42.9
txt:irs credit,6,370.67,0.0011,2.61,Logistic,42.9
txt:ankle,6,373.17,0.0009,3.69,Logistic,42.9
txt:booming,6,374.17,0.001,2.62,Logistic,42.9
txt:treat,6,375.17,0.0009,3.16,Logistic,42.9
txt:debt consoldiation,6,377.83,0.0009,5.0,Logistic,42.9
txt:pay getting,6,408.0,0.001,3.63,Logistic,42.9
txt:year son,6,408.67,0.001,2.53,Logistic,42.9
txt:vacation year,6,425.67,0.0008,3.15,Logistic,42.9
txt:mushroom,6,430.17,0.0008,4.91,Logistic,42.9
txt:house company,6,433.17,0.0009,3.74,Logistic,42.9
txt:ddi,6,435.0,0.0008,4.26,Logistic,42.9
txt:body work,6,448.17,0.0009,2.47,Logistic,42.9
txt:recover,6,467.67,0.0007,2.02,Logistic,42.9
txt:emergency use,6,480.0,0.0007,2.44,Logistic,42.9
txt:excited started,6,532.83,0.0005,3.99,Logistic,42.9
txt:volunteer work,6,558.5,0.0004,3.19,Logistic,42.9
txt:logo,6,559.17,0.0004,4.36,Logistic,42.9
txt:school,5,2.4,0.0139,4.04,Logistic,35.7
txt:student,5,3.2,0.0075,1.37,Logistic,35.7
txt:water,5,20.4,0.0046,1.3,Logistic,35.7
txt:daughter,5,24.4,0.0044,1.51,Logistic,35.7
txt:brother,5,29.6,0.0042,1.46,Logistic,35.7
txt:change,5,31.0,0.0042,2.44,Logistic,35.7
txt:state university,5,41.0,0.0043,4.36,Logistic,35.7
txt:kid,5,49.6,0.0035,2.49,Logistic,35.7
txt:saver,5,53.2,0.0038,6.51,Logistic,35.7
txt:golf,5,60.0,0.0032,2.26,Logistic,35.7
txt:alot,5,64.6,0.0032,2.4,Logistic,35.7
txt:shaw,5,70.6,0.0031,2.65,Logistic,35.7
txt:commercial,5,78.2,0.0029,3.35,Logistic,35.7
txt:card rate,5,79.2,0.0029,3.55,Logistic,35.7
txt:beautiful,5,80.4,0.0029,2.63,Logistic,35.7
txt:paychex,5,80.6,0.0029,4.52,Logistic,35.7
txt:debt consildation,5,95.8,0.0027,5.36,Logistic,35.7
txt:aunt,5,97.0,0.0027,3.32,Logistic,35.7
txt:accenture,5,104.0,0.0025,2.56,Logistic,35.7
txt:cargill,5,111.8,0.0022,3.5,Logistic,35.7
txt:post office,5,115.6,0.0024,2.3,Logistic,35.7
txt:inground,5,120.6,0.0021,3.07,Logistic,35.7
txt:bailout,5,121.4,0.0022,4.84,Logistic,35.7
txt:michael,5,122.0,0.0023,3.11,Logistic,35.7
txt:personal department,5,123.2,0.0021,4.16,Logistic,35.7
txt:clothing,5,123.6,0.0021,4.04,Logistic,35.7
txt:highland,5,125.8,0.0023,3.8,Logistic,35.7
txt:select,5,127.6,0.0026,2.49,Logistic,35.7
txt:pratt,5,131.4,0.0022,4.12,Logistic,35.7
txt:car walmart,5,134.8,0.0022,3.76,Logistic,35.7
txt:university colorado,5,138.6,0.0022,3.12,Logistic,35.7
txt:alorica,5,139.4,0.0019,9.82,Logistic,35.7
txt:behavioral health,5,140.8,0.0021,3.73,Logistic,35.7
txt:dyncorp international,5,144.4,0.002,4.17,Logistic,35.7
txt:hyatt,5,150.6,0.0024,2.28,Logistic,35.7
txt:consildation,5,153.4,0.0024,4.54,Logistic,35.7
txt:receive fund,5,155.2,0.0022,2.36,Logistic,35.7
txt:pay payment,5,162.6,0.0022,2.24,Logistic,35.7
txt:great debt,5,163.0,0.0022,2.15,Logistic,35.7
txt:consolidation hudson,5,166.4,0.0017,6.93,Logistic,35.7
txt:aegis,5,167.8,0.0019,2.6,Logistic,35.7
txt:consolitation,5,171.6,0.0021,4.14,Logistic,35.7
txt:exterminator,5,180.8,0.0016,7.5,Logistic,35.7
txt:publix,5,181.0,0.0016,3.06,Logistic,35.7
txt:paid high,5,185.2,0.0019,3.12,Logistic,35.7
txt:needing consolidate,5,186.6,0.0019,3.97,Logistic,35.7
txt:midas,5,189.2,0.0016,5.96,Logistic,35.7
txt:consolidation mta,5,189.8,0.0016,6.56,Logistic,35.7
txt:blockbuster,5,191.6,0.0016,4.66,Logistic,35.7
txt:start,5,199.6,0.002,4.35,Logistic,35.7
txt:porter,5,199.8,0.0016,4.13,Logistic,35.7
txt:consolidation prince,5,201.8,0.0015,5.69,Logistic,35.7
txt:rate credit,5,203.4,0.002,4.51,Logistic,35.7
txt:lens,5,206.0,0.0018,2.08,Logistic,35.7
txt:barrel,5,209.4,0.0016,3.14,Logistic,35.7
txt:consolidation air,5,213.8,0.0016,3.04,Logistic,35.7
txt:shop rite,5,215.2,0.0014,4.42,Logistic,35.7
txt:cosolidate,5,220.2,0.0017,3.75,Logistic,35.7
txt:shelly,5,223.0,0.0014,3.58,Logistic,35.7
txt:blessed,5,228.6,0.0017,2.07,Logistic,35.7
txt:state prison,5,234.6,0.0014,3.54,Logistic,35.7
txt:pay ahead,5,236.0,0.0017,1.68,Logistic,35.7
txt:sheet,5,238.2,0.0016,2.53,Logistic,35.7
txt:sailing,5,242.2,0.0014,3.69,Logistic,35.7
txt:debt consolitation,5,244.2,0.0014,4.33,Logistic,35.7
txt:american airline,5,245.2,0.0016,3.31,Logistic,35.7
txt:sprint,5,248.8,0.0019,1.95,Logistic,35.7
txt:knowledge,5,249.0,0.0016,2.17,Logistic,35.7
txt:lifesaver,5,250.2,0.0013,4.27,Logistic,35.7
txt:flex,5,253.2,0.0015,2.8,Logistic,35.7
txt:rate job,5,254.0,0.0016,2.33,Logistic,35.7
txt:payment rent,5,255.6,0.0016,2.21,Logistic,35.7
txt:affordable debt,5,255.8,0.0012,5.11,Logistic,35.7
txt:scottsdale,5,261.0,0.0014,3.71,Logistic,35.7
txt:money way,5,267.4,0.0015,2.47,Logistic,35.7
txt:barker,5,269.0,0.0012,6.24,Logistic,35.7
txt:business start,5,269.4,0.0012,3.39,Logistic,35.7
txt:walsh,5,277.6,0.0012,5.89,Logistic,35.7
txt:surgery center,5,279.6,0.0015,3.55,Logistic,35.7
txt:functional,5,282.4,0.0014,2.19,Logistic,35.7
txt:abramson,5,282.6,0.0011,14.51,Logistic,35.7
txt:crdit card,5,286.6,0.0013,2.89,Logistic,35.7
txt:able budget,5,286.8,0.0015,1.66,Logistic,35.7
txt:crdit,5,288.8,0.0013,2.84,Logistic,35.7
txt:help right,5,289.4,0.0013,3.53,Logistic,35.7
txt:west marine,5,289.8,0.0013,3.97,Logistic,35.7
txt:moved apartment,5,292.0,0.0014,2.08,Logistic,35.7
txt:household bank,5,296.8,0.0013,2.8,Logistic,35.7
txt:auto center,5,301.8,0.0011,4.94,Logistic,35.7
txt:trip europe,5,304.8,0.0011,6.52,Logistic,35.7
txt:know debt,5,307.8,0.0012,2.67,Logistic,35.7
txt:really payment,5,308.8,0.0012,3.74,Logistic,35.7
txt:junior,5,311.4,0.0013,2.26,Logistic,35.7
txt:improvement good,5,311.6,0.0011,4.53,Logistic,35.7
txt:ace hardware,5,322.2,0.0012,3.8,Logistic,35.7
txt:way work,5,326.0,0.0013,2.74,Logistic,35.7
txt:accomplish,5,332.8,0.0012,1.26,Logistic,35.7
txt:singer,5,344.4,0.0012,2.64,Logistic,35.7
txt:card trip,5,344.6,0.001,5.29,Logistic,35.7
txt:fulfill,5,350.0,0.0013,3.17,Logistic,35.7
txt:monthly payment,5,353.2,0.0014,2.56,Logistic,35.7
txt:card hsbc,5,363.8,0.0011,3.13,Logistic,35.7
txt:refer,5,364.0,0.0012,1.6,Logistic,35.7
txt:consolidate debt,5,364.8,0.0009,3.38,Logistic,35.7
txt:pay funeral,5,366.6,0.001,3.04,Logistic,35.7
txt:online business,5,366.8,0.0009,4.42,Logistic,35.7
txt:job decent,5,367.4,0.0011,2.45,Logistic,35.7
txt:email bank,5,371.2,0.0011,2.08,Logistic,35.7
txt:house hold,5,373.0,0.0011,5.26,Logistic,35.7
txt:month installment,5,373.0,0.0009,4.96,Logistic,35.7
txt:recreation,5,374.2,0.0012,1.96,Logistic,35.7
txt:credti,5,379.0,0.0009,4.13,Logistic,35.7
txt:league,5,384.4,0.001,1.94,Logistic,35.7
txt:exsisting,5,385.6,0.0009,4.38,Logistic,35.7
txt:hot tub,5,386.8,0.0009,3.91,Logistic,35.7
txt:upcoming winter,5,390.4,0.0009,3.99,Logistic,35.7
txt:grace,5,390.6,0.001,2.27,Logistic,35.7
txt:morongo casino,5,392.2,0.0009,5.61,Logistic,35.7
txt:investor pay,5,401.8,0.001,2.75,Logistic,35.7
txt:city board,5,402.2,0.0009,4.35,Logistic,35.7
txt:currently job,5,404.0,0.001,1.55,Logistic,35.7
txt:public record,5,427.0,0.0009,1.74,Logistic,35.7
txt:used paid,5,431.2,0.0009,3.63,Logistic,35.7
txt:food debt,5,433.0,0.0009,2.89,Logistic,35.7
txt:transplant,5,435.4,0.0009,2.14,Logistic,35.7
txt:holiday expense,5,439.4,0.0008,4.32,Logistic,35.7
txt:reason high,5,441.8,0.0008,2.78,Logistic,35.7
txt:jus,5,447.4,0.0007,6.03,Logistic,35.7
txt:help lot,5,452.2,0.0008,1.97,Logistic,35.7
txt:lakewood,5,452.4,0.0008,3.56,Logistic,35.7
txt:deal money,5,456.6,0.0008,2.43,Logistic,35.7
txt:track consolidation,5,459.0,0.0008,2.37,Logistic,35.7
txt:debt trouble,5,460.8,0.0007,3.67,Logistic,35.7
txt:social worker,5,470.6,0.0007,3.21,Logistic,35.7
txt:payment business,5,477.0,0.0007,2.71,Logistic,35.7
txt:everyday life,5,487.2,0.0006,3.95,Logistic,35.7
txt:given chance,5,502.4,0.0006,3.91,Logistic,35.7
txt:late plan,5,513.2,0.0006,2.71,Logistic,35.7
txt:total total,5,524.2,0.0006,2.98,Logistic,35.7
txt:consolidation monterey,5,527.2,0.0005,4.53,Logistic,35.7
txt:impacting,5,538.0,0.0005,3.5,Logistic,35.7
txt:help mother,5,545.0,0.0004,2.13,Logistic,35.7
txt:cheney,5,560.4,0.0004,3.76,Logistic,35.7
txt:balance,4,13.0,0.0064,2.53,Logistic,28.6
txt:save money,4,18.25,0.0049,1.48,Logistic,28.6
txt:son,4,21.5,0.0046,1.26,Logistic,28.6
txt:global,4,27.5,0.0045,2.03,Logistic,28.6
txt:quality,4,29.75,0.0044,1.89,Logistic,28.6
txt:marine,4,30.0,0.0042,1.99,Logistic,28.6
txt:isd,4,34.25,0.0048,3.57,Logistic,28.6
txt:technology,4,35.0,0.0052,2.95,Logistic,28.6
txt:finish,4,39.25,0.0039,2.01,Logistic,28.6
txt:product,4,41.75,0.0038,2.55,Logistic,28.6
txt:postal,4,49.0,0.0039,6.32,Logistic,28.6
txt:help save,4,59.5,0.0034,2.23,Logistic,28.6
txt:cablevision,4,62.25,0.0032,2.66,Logistic,28.6
txt:pay faster,4,63.5,0.0033,1.19,Logistic,28.6
txt:credit consolidation,4,71.0,0.0033,1.44,Logistic,28.6
txt:hopefully,4,72.0,0.0032,1.87,Logistic,28.6
txt:clark,4,72.25,0.0031,3.2,Logistic,28.6
txt:great credit,4,77.0,0.003,1.44,Logistic,28.6
txt:apr credit,4,80.5,0.0028,2.99,Logistic,28.6
txt:pay medical,4,80.75,0.0031,2.79,Logistic,28.6
txt:cpa,4,90.0,0.0028,1.28,Logistic,28.6
txt:urban,4,90.75,0.0027,3.86,Logistic,28.6
txt:whitney,4,91.0,0.0026,4.36,Logistic,28.6
txt:productive,4,92.5,0.0027,2.77,Logistic,28.6
txt:caught,4,93.25,0.0026,3.99,Logistic,28.6
txt:refinancing,4,96.5,0.0031,2.96,Logistic,28.6
txt:warner,4,96.5,0.0027,1.85,Logistic,28.6
txt:zone,4,100.0,0.0027,2.8,Logistic,28.6
