fold,Arm,Model,Feature,Kind,Importance_raw,Importance_share,Rank,Chi2_Score
5,Structured+TFIDF_chi2,XGBoost,txt:mom,tfidf,21.860365,0.004086,118,1.743
5,Structured+TFIDF_chi2,XGBoost,txt:money asap,tfidf,0.0,0.0,245,3.205
5,Structured+TFIDF_chi2,XGBoost,txt:money used,tfidf,26.7269,0.004996,57,1.668
5,Structured+TFIDF_chi2,XGBoost,txt:money way,tfidf,0.0,0.0,246,2.899
5,Structured+TFIDF_chi2,XGBoost,txt:month advance,tfidf,0.0,0.0,247,1.706
5,Structured+TFIDF_chi2,XGBoost,txt:month based,tfidf,0.0,0.0,248,1.588
5,Structured+TFIDF_chi2,XGBoost,txt:month bonus,tfidf,0.0,0.0,542,1.524
5,Structured+TFIDF_chi2,XGBoost,txt:month chase,tfidf,21.105026,0.003945,133,3.464
5,Structured+TFIDF_chi2,XGBoost,txt:month know,tfidf,0.0,0.0,560,2.356
5,Structured+TFIDF_chi2,XGBoost,txt:monthly utility,tfidf,0.0,0.0,562,1.866
5,Structured+TFIDF_chi2,XGBoost,txt:motorcycle,tfidf,34.182415,0.006389,15,1.561
5,Structured+TFIDF_chi2,XGBoost,txt:mountain,tfidf,21.107792,0.003945,132,4.226
5,Structured+TFIDF_chi2,XGBoost,txt:moved apartment,tfidf,0.0,0.0,566,2.036
5,Structured+TFIDF_chi2,XGBoost,txt:moving city,tfidf,0.0,0.0,570,1.621
5,Structured+TFIDF_chi2,XGBoost,txt:mta,tfidf,25.569288,0.004779,74,9.407
5,Structured+TFIDF_chi2,XGBoost,txt:multiple high,tfidf,0.0,0.0,575,3.377
5,Structured+TFIDF_chi2,XGBoost,txt:music,tfidf,20.187649,0.003773,150,1.674
5,Structured+TFIDF_chi2,XGBoost,txt:myloan,tfidf,0.0,0.0,578,2.414
5,Structured+TFIDF_chi2,XGBoost,txt:needed debt,tfidf,0.0,0.0,590,2.414
5,Structured+TFIDF_chi2,XGBoost,txt:needing consolidate,tfidf,0.0,0.0,605,4.084
5,Structured+TFIDF_chi2,XGBoost,txt:new company,tfidf,27.308273,0.005104,51,1.535
5,Structured+TFIDF_chi2,XGBoost,txt:new start,tfidf,0.0,0.0,226,3.026
5,Structured+TFIDF_chi2,XGBoost,txt:nordstrom,tfidf,0.0,0.0,227,1.939
5,Structured+TFIDF_chi2,XGBoost,txt:null pay,tfidf,0.0,0.0,228,1.592
5,Structured+TFIDF_chi2,XGBoost,txt:obligation current,tfidf,0.0,0.0,229,4.56
5,Structured+TFIDF_chi2,XGBoost,txt:obtain,tfidf,27.177546,0.00508,52,2.278
5,Structured+TFIDF_chi2,XGBoost,txt:odds,tfidf,0.0,0.0,230,3.341
