,AUC,AUC,PR_AUC,PR_AUC,Brier,Brier,GINI,GINI
,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,
Logistic,0.693,0.0153,0.2767,0.032,0.2313,0.0149,0.386,0.0306
RandomForest,0.6883,0.019,0.2752,0.0333,0.1763,0.0165,0.3766,0.0379
XGBoost,0.693,0.0152,0.2802,0.0334,0.2177,0.0148,0.386,0.0303
