,AUC,AUC,PR_AUC,PR_AUC,Brier,Brier,GINI,GINI
,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,
Logistic,0.6827,0.0242,0.2687,0.035,0.2289,0.0148,0.3654,0.0483
RandomForest,0.6747,0.0179,0.257,0.032,0.2018,0.0111,0.3494,0.0357
XGBoost,0.689,0.0202,0.2777,0.0391,0.2148,0.0196,0.3781,0.0404
