fold,Model,config,Arm_A,Arm_B,AUC_A,AUC_B,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
4,Logistic,grid,Structured,Structured+FinBERT-768,0.7001,0.6578,-0.0423,3.497,0.0005,0.0186,0.066
4,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7001,0.7076,0.0075,-1.733,0.0831,-0.016,0.001
4,XGBoost,grid,Structured,Structured+FinBERT-768,0.6835,0.6838,0.0003,-0.029,0.9765,-0.0201,0.0195
4,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6835,0.6933,0.0098,-1.326,0.1849,-0.0242,0.0047
4,RandomForest,grid,Structured,Structured+FinBERT-768,0.6875,0.6727,-0.0148,1.361,0.1735,-0.0065,0.0361
4,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6875,0.6885,0.0009,-0.164,0.8697,-0.012,0.0101
5,Logistic,fixed,Structured,Structured+FinBERT-768,0.7194,0.7124,-0.007,0.602,0.5471,-0.0158,0.0298
5,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.7194,0.722,0.0026,-0.559,0.5759,-0.0116,0.0064
5,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7112,0.7149,0.0037,-0.392,0.6949,-0.0222,0.0148
5,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7112,0.7189,0.0077,-1.074,0.283,-0.0219,0.0064
5,RandomForest,fixed,Structured,Structured+FinBERT-768,0.7175,0.6826,-0.0349,2.866,0.0042,0.011,0.0587
5,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.7175,0.7101,-0.0074,1.508,0.1315,-0.0022,0.017
5,Logistic,grid,Structured,Structured+FinBERT-768,0.7193,0.7203,0.001,-0.104,0.9173,-0.0204,0.0183
5,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7193,0.722,0.0026,-0.561,0.5746,-0.0119,0.0066
5,XGBoost,grid,Structured,Structured+FinBERT-768,0.7148,0.7161,0.0014,-0.179,0.8578,-0.0166,0.0139
5,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7148,0.718,0.0033,-0.551,0.5813,-0.0148,0.0083
5,RandomForest,grid,Structured,Structured+FinBERT-768,0.7113,0.7015,-0.0099,1.091,0.2755,-0.0079,0.0276
5,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.7113,0.7115,0.0002,-0.052,0.9587,-0.0067,0.0064
6,Logistic,fixed,Structured,Structured+FinBERT-768,0.6703,0.6655,-0.0048,0.522,0.6016,-0.0132,0.0229
6,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6703,0.68,0.0096,-2.427,0.0152,-0.0174,-0.0019
6,XGBoost,fixed,Structured,Structured+FinBERT-768,0.673,0.6744,0.0014,-0.154,0.8775,-0.0186,0.0159
6,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.673,0.6796,0.0066,-1.077,0.2817,-0.0186,0.0054
6,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6753,0.6417,-0.0336,2.827,0.0047,0.0103,0.0569
6,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6753,0.6779,0.0026,-0.553,0.58,-0.0117,0.0065
6,Logistic,grid,Structured,Structured+FinBERT-768,0.6704,0.6735,0.0032,-0.389,0.6971,-0.0191,0.0127
6,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6704,0.681,0.0106,-2.649,0.0081,-0.0184,-0.0028
6,XGBoost,grid,Structured,Structured+FinBERT-768,0.673,0.6788,0.0057,-0.784,0.4329,-0.0201,0.0086
6,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.673,0.6839,0.0109,-1.82,0.0687,-0.0226,0.0008
6,RandomForest,grid,Structured,Structured+FinBERT-768,0.6732,0.6644,-0.0088,0.947,0.3436,-0.0094,0.0269
6,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6732,0.6753,0.0021,-0.507,0.6123,-0.0104,0.0061
7,Logistic,fixed,Structured,Structured+FinBERT-768,0.7009,0.6929,-0.008,1.014,0.3106,-0.0074,0.0233
7,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.7009,0.7006,-0.0002,0.066,0.9477,-0.0069,0.0074
7,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7012,0.6952,-0.006,0.819,0.4125,-0.0083,0.0203
7,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7012,0.688,-0.0132,2.322,0.0202,0.0021,0.0244
7,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6908,0.658,-0.0327,3.138,0.0017,0.0123,0.0531
7,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6908,0.6872,-0.0036,0.783,0.4339,-0.0054,0.0126
7,Logistic,grid,Structured,Structured+FinBERT-768,0.7008,0.6972,-0.0036,0.492,0.623,-0.0108,0.018
7,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7008,0.7004,-0.0005,0.124,0.9012,-0.0068,0.0077
7,XGBoost,grid,Structured,Structured+FinBERT-768,0.7035,0.6945,-0.009,1.592,0.1113,-0.0021,0.0201
7,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7035,0.6928,-0.0107,2.299,0.0215,0.0016,0.0199
7,RandomForest,grid,Structured,Structured+FinBERT-768,0.6908,0.6734,-0.0173,2.18,0.0293,0.0017,0.0329
7,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6908,0.6872,-0.0035,0.955,0.3397,-0.0037,0.0108
8,Logistic,fixed,Structured,Structured+FinBERT-768,0.6855,0.67,-0.0154,2.54,0.0111,0.0035,0.0274
8,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6855,0.6888,0.0034,-1.204,0.2286,-0.0089,0.0021
8,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6928,0.6864,-0.0064,1.053,0.2926,-0.0055,0.0183
8,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6928,0.6917,-0.0011,0.222,0.824,-0.0083,0.0105
8,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6839,0.6493,-0.0346,4.092,0.0,0.018,0.0512
8,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6839,0.6821,-0.0018,0.522,0.6014,-0.0049,0.0085
8,Logistic,grid,Structured,Structured+FinBERT-768,0.6855,0.6741,-0.0114,2.021,0.0432,0.0003,0.0224
8,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6855,0.6888,0.0033,-1.189,0.2344,-0.0088,0.0022
8,XGBoost,grid,Structured,Structured+FinBERT-768,0.6923,0.6905,-0.0018,0.402,0.6879,-0.0072,0.0109
8,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6923,0.6924,0.0001,-0.019,0.9847,-0.0076,0.0074
8,RandomForest,grid,Structured,Structured+FinBERT-768,0.6857,0.6643,-0.0214,3.091,0.002,0.0078,0.035
8,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6857,0.6821,-0.0036,0.995,0.32,-0.0035,0.0108
9,Logistic,fixed,Structured,Structured+FinBERT-768,0.6995,0.6877,-0.0118,2.629,0.0086,0.003,0.0207
9,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6995,0.7015,0.002,-0.843,0.3992,-0.0067,0.0027
9,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7047,0.7035,-0.0012,0.22,0.8261,-0.0097,0.0122
9,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7047,0.7029,-0.0019,0.39,0.6963,-0.0075,0.0112
9,RandomForest,fixed,Structured,Structured+FinBERT-768,0.7043,0.6598,-0.0445,6.602,0.0,0.0313,0.0578
9,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.7043,0.6969,-0.0074,2.464,0.0137,0.0015,0.0133
9,Logistic,grid,Structured,Structured+FinBERT-768,0.6995,0.6888,-0.0107,2.381,0.0173,0.0019,0.0195
9,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6995,0.7015,0.002,-0.843,0.3992,-0.0067,0.0027
9,XGBoost,grid,Structured,Structured+FinBERT-768,0.7047,0.7088,0.0041,-0.781,0.4348,-0.0144,0.0062
9,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7047,0.709,0.0042,-0.907,0.3644,-0.0133,0.0049
9,RandomForest,grid,Structured,Structured+FinBERT-768,0.7046,0.6753,-0.0293,4.866,0.0,0.0175,0.0411
9,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.7046,0.6969,-0.0077,2.242,0.0249,0.001,0.0144
10,Logistic,fixed,Structured,Structured+FinBERT-768,0.6922,0.6896,-0.0026,0.658,0.5104,-0.0051,0.0102
10,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6922,0.6945,0.0023,-1.042,0.2974,-0.0066,0.002
10,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6927,0.6904,-0.0023,0.62,0.5351,-0.0049,0.0095
10,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6927,0.6936,0.0009,-0.321,0.7479,-0.0066,0.0047
10,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6926,0.6765,-0.0161,3.083,0.002,0.0059,0.0264
10,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6926,0.6939,0.0013,-0.569,0.5692,-0.0057,0.0032
10,Logistic,grid,Structured,Structured+FinBERT-768,0.6922,0.6901,-0.0021,0.545,0.5861,-0.0054,0.0096
10,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6922,0.6945,0.0023,-1.042,0.2972,-0.0066,0.002
10,XGBoost,grid,Structured,Structured+FinBERT-768,0.6934,0.6943,0.0009,-0.347,0.7288,-0.0062,0.0043
10,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6934,0.6946,0.0012,-0.605,0.545,-0.0052,0.0028
10,RandomForest,grid,Structured,Structured+FinBERT-768,0.6933,0.6868,-0.0064,1.372,0.1701,-0.0028,0.0156
10,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6933,0.6916,-0.0016,0.564,0.573,-0.004,0.0073
11,Logistic,fixed,Structured,Structured+FinBERT-768,0.6917,0.6929,0.0011,-0.388,0.698,-0.0069,0.0046
11,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6917,0.6955,0.0037,-2.229,0.0258,-0.007,-0.0005
11,XGBoost,fixed,Structured,Structured+FinBERT-768,0.696,0.6964,0.0004,-0.159,0.874,-0.0057,0.0049
11,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.696,0.696,-0.0,0.014,0.989,-0.0042,0.0043
11,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6909,0.6746,-0.0163,3.848,0.0001,0.008,0.0246
11,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6909,0.6911,0.0002,-0.134,0.8934,-0.0036,0.0031
11,Logistic,grid,Structured,Structured+FinBERT-768,0.6917,0.6929,0.0011,-0.389,0.6972,-0.0069,0.0046
11,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6917,0.6955,0.0037,-2.23,0.0258,-0.007,-0.0005
11,XGBoost,grid,Structured,Structured+FinBERT-768,0.698,0.6938,-0.0042,1.404,0.1603,-0.0017,0.01
11,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.698,0.6954,-0.0026,0.977,0.3286,-0.0026,0.0078
11,RandomForest,grid,Structured,Structured+FinBERT-768,0.6909,0.6831,-0.0078,2.364,0.0181,0.0013,0.0144
11,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6909,0.6901,-0.0008,0.498,0.6187,-0.0024,0.004
12,Logistic,fixed,Structured,Structured+FinBERT-768,0.7036,0.7031,-0.0006,0.295,0.7681,-0.0032,0.0043
12,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.7036,0.7054,0.0017,-1.491,0.136,-0.004,0.0005
12,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7056,0.7042,-0.0014,0.764,0.4448,-0.0022,0.005
12,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7056,0.7047,-0.0009,0.606,0.5442,-0.002,0.0038
12,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6999,0.6815,-0.0183,5.75,0.0,0.0121,0.0246
12,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6999,0.6995,-0.0004,0.326,0.7445,-0.002,0.0029
12,Logistic,grid,Structured,Structured+FinBERT-768,0.7036,0.7031,-0.0006,0.293,0.7698,-0.0032,0.0043
12,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7036,0.7054,0.0017,-1.491,0.136,-0.004,0.0005
12,XGBoost,grid,Structured,Structured+FinBERT-768,0.7046,0.705,0.0004,-0.17,0.8649,-0.0046,0.0038
12,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7046,0.7047,0.0001,-0.075,0.9405,-0.0037,0.0034
12,RandomForest,grid,Structured,Structured+FinBERT-768,0.6985,0.688,-0.0105,4.679,0.0,0.0061,0.0149
12,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6985,0.6995,0.001,-0.879,0.3795,-0.0033,0.0012
13,Logistic,fixed,Structured,Structured+FinBERT-768,0.6946,0.6931,-0.0014,0.839,0.4012,-0.0019,0.0048
13,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6946,0.6968,0.0023,-2.047,0.0407,-0.0044,-0.0001
13,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6968,0.6953,-0.0015,0.965,0.3344,-0.0015,0.0045
13,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6968,0.6969,0.0002,-0.119,0.9054,-0.0027,0.0024
13,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6895,0.6766,-0.0129,4.497,0.0,0.0073,0.0185
13,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6895,0.6893,-0.0002,0.138,0.89,-0.0021,0.0024
13,Logistic,grid,Structured,Structured+FinBERT-768,0.6946,0.6931,-0.0014,0.841,0.4002,-0.0019,0.0048
13,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6946,0.6968,0.0023,-2.039,0.0414,-0.0044,-0.0001
13,XGBoost,grid,Structured,Structured+FinBERT-768,0.6974,0.6953,-0.0021,1.152,0.2493,-0.0015,0.0058
13,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6974,0.6969,-0.0005,0.302,0.7625,-0.0027,0.0037
13,RandomForest,grid,Structured,Structured+FinBERT-768,0.6893,0.6823,-0.007,2.945,0.0032,0.0023,0.0116
13,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6893,0.6893,0.0,-0.029,0.9772,-0.0026,0.0025
14,Logistic,fixed,Structured,Structured+FinBERT-768,0.6997,0.6997,-0.0,0.026,0.9789,-0.0029,0.0029
14,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6997,0.7005,0.0007,-0.704,0.4814,-0.0027,0.0013
14,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7057,0.705,-0.0007,0.567,0.5705,-0.0017,0.0031
14,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7057,0.7066,0.0009,-0.881,0.3781,-0.0029,0.0011
14,RandomForest,fixed,Structured,Structured+FinBERT-768,0.704,0.6872,-0.0168,6.713,0.0,0.0119,0.0217
14,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.704,0.7024,-0.0016,1.667,0.0956,-0.0003,0.0036
14,Logistic,grid,Structured,Structured+FinBERT-768,0.6997,0.6997,-0.0,0.023,0.9816,-0.0029,0.0029
14,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6997,0.7004,0.0007,-0.7,0.4841,-0.0027,0.0013
14,XGBoost,grid,Structured,Structured+FinBERT-768,0.7064,0.705,-0.0015,0.969,0.3325,-0.0015,0.0044
14,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7064,0.7069,0.0005,-0.403,0.6872,-0.0029,0.0019
14,RandomForest,grid,Structured,Structured+FinBERT-768,0.704,0.6954,-0.0086,4.562,0.0,0.0049,0.0123
14,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.704,0.7024,-0.0016,1.667,0.0956,-0.0003,0.0036
