fold,arm,config,Model,n_train,n_test,n_defaults,AUC,PR_AUC,Brier,GINI
5,structured,fixed,RandomForest,23547,1979,286,0.7175,0.318,0.1783,0.4349
5,structured,grid,Logistic,23547,1979,286,0.7193,0.3039,0.216,0.4386
5,structured,grid,XGBoost,23547,1979,286,0.7148,0.3176,0.2049,0.4295
5,structured,grid,RandomForest,23547,1979,286,0.7113,0.3074,0.1972,0.4227
5,fb768,fixed,Logistic,23547,1979,286,0.7124,0.2758,0.2169,0.4248
5,fb768,fixed,XGBoost,23547,1979,286,0.7149,0.3047,0.1835,0.4298
5,fb768,fixed,RandomForest,23547,1979,286,0.6826,0.2666,0.1665,0.3652
5,fb768,grid,Logistic,23547,1979,286,0.7203,0.2883,0.2122,0.4407
5,fb768,grid,XGBoost,23547,1979,286,0.7161,0.3012,0.199,0.4323
5,fb768,grid,RandomForest,23547,1979,286,0.7015,0.2878,0.1868,0.403
5,pca50,fixed,Logistic,23547,1979,286,0.722,0.2956,0.2198,0.444
5,pca50,fixed,XGBoost,23547,1979,286,0.7189,0.3089,0.1899,0.4378
5,pca50,fixed,RandomForest,23547,1979,286,0.7101,0.2964,0.1604,0.4202
5,pca50,grid,Logistic,23547,1979,286,0.722,0.2972,0.2159,0.4439
5,pca50,grid,XGBoost,23547,1979,286,0.718,0.3075,0.2032,0.436
5,pca50,grid,RandomForest,23547,1979,286,0.7115,0.3045,0.1848,0.423
6,structured,fixed,Logistic,29671,2190,406,0.6703,0.2986,0.2595,0.3407
6,structured,fixed,XGBoost,29671,2190,406,0.673,0.3066,0.242,0.346
6,structured,fixed,RandomForest,29671,2190,406,0.6753,0.3084,0.2128,0.3506
6,structured,grid,Logistic,29671,2190,406,0.6704,0.2986,0.2595,0.3407
6,structured,grid,XGBoost,29671,2190,406,0.673,0.3066,0.242,0.346
6,structured,grid,RandomForest,29671,2190,406,0.6732,0.3107,0.1931,0.3464
