zip3,count
037,561
991,557
261,555
795,554
675,552
049,551
624,550
813,549
255,546
050,541
812,539
636,537
587,536
422,532
596,532
718,531
811,530
664,527
455,526
215,517
411,514
943,514
717,514
602,513
424,510
237,502
033,500
143,500
653,489
542,487
644,486
758,486
561,485
833,484
883,483
725,478
976,475
807,471
582,469
619,467
239,460
158,460
623,449
567,448
749,446
382,445
162,444
881,443
566,441
737,439
139,437
157,435
396,433
263,433
545,431
834,429
638,417
590,415
364,415
398,409
998,399
580,393
768,390
651,390
155,385
789,384
188,383
407,382
832,380
135,377
654,376
367,375
734,374
859,369
041,368
258,367
499,358
824,357
572,351
588,350
389,346
246,340
691,334
745,332
262,332
035,329
747,328
668,327
387,326
149,317
573,316
687,315
425,315
058,311
438,305
251,305
693,305
634,304
639,301
689,299
673,298
043,294
053,294
646,294
257,292
406,292
676,287
084,285
586,284
683,282
592,280
798,278
574,275
247,274
052,272
167,269
746,257
684,257
825,256
039,253
169,245
686,243
828,241
593,240
575,238
635,229
051,227
264,223
250,222
102,221
267,216
538,215
873,210
047,203
415,202
677,200
249,200
046,198
252,196
736,195
877,194
845,191
412,183
409,181
822,180
584,177
022,171
259,171
831,170
289,168
045,163
738,163
583,161
679,160
426,156
048,156
792,155
999,153
595,144
830,144
772,140
835,135
416,135
823,134
739,126
893,124
865,122
413,120
256,116
417,116
266,111
268,110
994,105
669,105
408,98
979,96
690,95
248,93
878,88
036,87
556,87
332,86
418,86
369,79
753,76
963,74
884,72
879,69
414,61
090,54
576,53
962,45
096,42
059,38
091,37
094,33
311,29
692,18
092,13
098,13
097,13
969,11
821,10
942,10
965,9
340,9
861,9
527,8
008,8
500,7
502,7
523,7
095,6
204,6
007,5
093,5
555,5
901,5
528,5
343,5
506,5
203,5
348,5
966,4
621,4
909,4
854,4
503,4
987,4
353,3
569,3
510,3
345,3
663,3
525,3
702,3
929,3
694,3
696,2
522,2
501,2
771,2
742,2
205,2
858,2
698,2
009,2
504,2
709,2
819,2
964,2
892,1
513,1
568,1
515,1
399,1
732,1
521,1
872,1
269,1
733,1
429,1
509,1
938,1
682,1
516,1
889,1
888,1
524,1
514,1
375,1
511,1
649,1
885,1
552,1
507,1
643,1
862,1
512,1
896,1
055,1
202,1
817,1
849,1
520,1
