,,AUC,AUC,PR_AUC,PR_AUC,Brier,Brier,GINI,GINI
,,mean,std,mean,std,mean,std,mean,std
Model,Variant,,,,,,,,
Logistic,Structured,0.6923,0.0155,0.276,0.0324,0.2312,0.0153,0.3845,0.031
Logistic,Structured+FinBERT,0.6942,0.0157,0.2783,0.0326,0.2309,0.0151,0.3885,0.0313
RandomForest,Structured,0.6874,0.0211,0.2735,0.036,0.189,0.014,0.3749,0.0422
RandomForest,Structured+FinBERT,0.6848,0.0207,0.2666,0.0358,0.1762,0.0116,0.3696,0.0415
XGBoost,Structured,0.6884,0.0217,0.2761,0.0375,0.2122,0.0165,0.3767,0.0433
XGBoost,Structured+FinBERT,0.6894,0.0213,0.2755,0.0402,0.2072,0.0207,0.3788,0.0426
