Arm,Model,Candidate,params,tuning_fold,inner_val_AUC,mean_AUC_over_tuning_folds,is_winner
Structured,RandomForest,min_leaf=50,"{""min_samples_leaf"": 50}",8,0.6873,0.6934,False
Structured,RandomForest,min_leaf=50,"{""min_samples_leaf"": 50}",12,0.6937,0.6934,False
Structured+FinBERT,Logistic,C=0.05,"{""C"": 0.05}",4,0.7049,0.6972,False
Structured+FinBERT,Logistic,C=0.05,"{""C"": 0.05}",8,0.6927,0.6972,False
Structured+FinBERT,Logistic,C=0.05,"{""C"": 0.05}",12,0.694,0.6972,False
Structured+FinBERT,Logistic,C=0.1,"{""C"": 0.1}",4,0.7051,0.6973,False
Structured+FinBERT,Logistic,C=0.1,"{""C"": 0.1}",8,0.6927,0.6973,False
Structured+FinBERT,Logistic,C=0.1,"{""C"": 0.1}",12,0.694,0.6973,False
Structured+FinBERT,Logistic,C=0.3 (old baseline),"{""C"": 0.3}",4,0.7051,0.6973,False
Structured+FinBERT,Logistic,C=0.3 (old baseline),"{""C"": 0.3}",8,0.6927,0.6973,False
Structured+FinBERT,Logistic,C=0.3 (old baseline),"{""C"": 0.3}",12,0.694,0.6973,False
Structured+FinBERT,Logistic,C=0.6,"{""C"": 0.6}",4,0.7052,0.6973,False
Structured+FinBERT,Logistic,C=0.6,"{""C"": 0.6}",8,0.6927,0.6973,False
Structured+FinBERT,Logistic,C=0.6,"{""C"": 0.6}",12,0.694,0.6973,False
Structured+FinBERT,Logistic,C=1.0,"{""C"": 1.0}",4,0.7052,0.6973,True
Structured+FinBERT,Logistic,C=1.0,"{""C"": 1.0}",8,0.6927,0.6973,True
Structured+FinBERT,Logistic,C=1.0,"{""C"": 1.0}",12,0.694,0.6973,True
Structured+FinBERT,XGBoost,"baseline (depth4, lr.05, a0, L1)","{""max_depth"": 4, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",4,0.6951,0.6931,False
Structured+FinBERT,XGBoost,"baseline (depth4, lr.05, a0, L1)","{""max_depth"": 4, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",8,0.69,0.6931,False
Structured+FinBERT,XGBoost,"baseline (depth4, lr.05, a0, L1)","{""max_depth"": 4, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",12,0.6942,0.6931,False
Structured+FinBERT,XGBoost,"shallow+L2 (depth3, lr.05, a0, L5)","{""max_depth"": 3, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",4,0.7035,0.697,True
Structured+FinBERT,XGBoost,"shallow+L2 (depth3, lr.05, a0, L5)","{""max_depth"": 3, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",8,0.6937,0.697,True
Structured+FinBERT,XGBoost,"shallow+L2 (depth3, lr.05, a0, L5)","{""max_depth"": 3, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",12,0.6939,0.697,True
Structured+FinBERT,XGBoost,"shallow+L1L2 (depth3, lr.05, a.5, L5)","{""max_depth"": 3, ""learning_rate"": 0.05, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",4,0.7033,0.697,False
Structured+FinBERT,XGBoost,"shallow+L1L2 (depth3, lr.05, a.5, L5)","{""max_depth"": 3, ""learning_rate"": 0.05, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",8,0.6937,0.697,False
Structured+FinBERT,XGBoost,"shallow+L1L2 (depth3, lr.05, a.5, L5)","{""max_depth"": 3, ""learning_rate"": 0.05, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",12,0.6939,0.697,False
Structured+FinBERT,XGBoost,"deeper light-reg (depth5, lr.05, a0, L1)","{""max_depth"": 5, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",4,0.6797,0.6856,False
Structured+FinBERT,XGBoost,"deeper light-reg (depth5, lr.05, a0, L1)","{""max_depth"": 5, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",8,0.6855,0.6856,False
Structured+FinBERT,XGBoost,"deeper light-reg (depth5, lr.05, a0, L1)","{""max_depth"": 5, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",12,0.6917,0.6856,False
